[1755, 1241]
[folio, [680.0, 105.0, 350.0, 36.0], So0vn_V0gk, 5759727]
[paragraph, [227.0, 166.0, 806.0, 36.0], shoonya_3sHCUER4W8YP02, 5759727]
[paragraph, [227.0, 202.0, 806.0, 36.0], shoonya_3sHCUER4W8YP02, 5759727]
[paragraph, [227.0, 238.0, 806.0, 36.0], shoonya_3sHCUER4W8YP02, 5759727]
[paragraph, [227.0, 274.0, 806.0, 36.0], shoonya_3sHCUER4W8YP02, 5759727]
[paragraph, [302.0, 375.0, 562.0, 36.0], _NwEMmTzuf, 5759727]
[paragraph, [302.0, 411.0, 562.0, 36.0], _NwEMmTzuf, 5759727]
[paragraph, [302.0, 447.0, 562.0, 36.0], _NwEMmTzuf, 5759727]
[paragraph, [302.0, 483.0, 562.0, 36.0], _NwEMmTzuf, 5759727]
[paragraph, [302.0, 519.0, 562.0, 36.0], _NwEMmTzuf, 5759727]
[paragraph, [302.0, 555.0, 562.0, 36.0], _NwEMmTzuf, 5759727]
[paragraph, [302.0, 591.0, 562.0, 36.0], _NwEMmTzuf, 5759727]
[paragraph, [302.0, 627.0, 562.0, 36.0], _NwEMmTzuf, 5759727]
[paragraph, [302.0, 663.0, 562.0, 36.0], _NwEMmTzuf, 5759727]
[paragraph, [302.0, 699.0, 562.0, 36.0], _NwEMmTzuf, 5759727]
[sidebar, [939.0, 512.0, 63.0, 36.0], Et3BKP3z82, 5759727]
[sidebar, [939.0, 683.0, 63.0, 36.0], VMiKEi8fZh, 5759727]
[paragraph, [225.0, 774.0, 803.0, 36.0], shoonya_4sI8GVL3Y68OFI, 5759727]
[paragraph, [225.0, 810.0, 803.0, 36.0], shoonya_4sI8GVL3Y68OFI, 5759727]
[paragraph, [225.0, 846.0, 803.0, 36.0], shoonya_4sI8GVL3Y68OFI, 5759727]
[paragraph, [225.0, 882.0, 803.0, 36.0], shoonya_4sI8GVL3Y68OFI, 5759727]
[paragraph, [225.0, 918.0, 803.0, 36.0], shoonya_4sI8GVL3Y68OFI, 5759727]
[paragraph, [225.0, 954.0, 803.0, 36.0], shoonya_4sI8GVL3Y68OFI, 5759727]
[paragraph, [225.0, 990.0, 803.0, 36.0], shoonya_4sI8GVL3Y68OFI, 5759727]
[paragraph, [225.0, 1026.0, 803.0, 36.0], shoonya_4sI8GVL3Y68OFI, 5759727]
[paragraph, [225.0, 1062.0, 803.0, 36.0], shoonya_4sI8GVL3Y68OFI, 5759727]
[paragraph, [226.0, 1108.0, 796.0, 36.0], XnMJg8VmQ0, 5759727]
[paragraph, [226.0, 1144.0, 796.0, 36.0], XnMJg8VmQ0, 5759727]
[paragraph, [226.0, 1180.0, 796.0, 36.0], XnMJg8VmQ0, 5759727]
[paragraph, [226.0, 1216.0, 796.0, 36.0], XnMJg8VmQ0, 5759727]
[paragraph, [226.0, 1252.0, 796.0, 36.0], XnMJg8VmQ0, 5759727]
[paragraph, [232.0, 1299.0, 796.0, 36.0], QHy8WSbu98, 5759727]
[paragraph, [232.0, 1335.0, 796.0, 36.0], QHy8WSbu98, 5759727]
[paragraph, [232.0, 1371.0, 796.0, 36.0], QHy8WSbu98, 5759727]
[paragraph, [232.0, 1407.0, 796.0, 36.0], QHy8WSbu98, 5759727]
[paragraph, [232.0, 1443.0, 796.0, 36.0], QHy8WSbu98, 5759727]
[paragraph, [232.0, 1479.0, 796.0, 36.0], QHy8WSbu98, 5759727]
[paragraph, [224.0, 1525.0, 804.0, 36.0], wEmJR0Yho6, 5759727]
[paragraph, [224.0, 1561.0, 804.0, 36.0], wEmJR0Yho6, 5759727]
[paragraph, [224.0, 1597.0, 804.0, 36.0], wEmJR0Yho6, 5759727]
