[1337, 839]
[headline, [351.0, 76.0, 137.0, 25.5], shoonya_0s994U0MLWQA0M, 5769873]
[paragraph, [425.0, 135.0, 337.0, 18.0], Cby0OxX21b, 5769873]
[paragraph, [425.0, 153.0, 337.0, 18.0], Cby0OxX21b, 5769873]
[paragraph, [425.0, 171.0, 337.0, 18.0], Cby0OxX21b, 5769873]
[paragraph, [425.0, 189.0, 337.0, 18.0], Cby0OxX21b, 5769873]
[paragraph, [425.0, 207.0, 337.0, 18.0], Cby0OxX21b, 5769873]
[paragraph, [425.0, 225.0, 337.0, 18.0], Cby0OxX21b, 5769873]
[paragraph, [425.0, 243.0, 337.0, 18.0], Cby0OxX21b, 5769873]
[paragraph, [425.0, 261.0, 337.0, 18.0], Cby0OxX21b, 5769873]
[paragraph, [425.0, 279.0, 337.0, 18.0], Cby0OxX21b, 5769873]
[paragraph, [425.0, 297.0, 337.0, 18.0], Cby0OxX21b, 5769873]
[paragraph, [76.0, 138.0, 342.0, 18.0], shoonya_2s3EVJP73AWOPB, 5769873]
[paragraph, [76.0, 156.0, 342.0, 18.0], shoonya_2s3EVJP73AWOPB, 5769873]
[paragraph, [76.0, 174.0, 342.0, 18.0], shoonya_2s3EVJP73AWOPB, 5769873]
[paragraph, [76.0, 192.0, 342.0, 18.0], shoonya_2s3EVJP73AWOPB, 5769873]
[paragraph, [76.0, 210.0, 342.0, 18.0], shoonya_2s3EVJP73AWOPB, 5769873]
[paragraph, [76.0, 228.0, 342.0, 18.0], shoonya_2s3EVJP73AWOPB, 5769873]
[paragraph, [76.0, 246.0, 342.0, 18.0], shoonya_2s3EVJP73AWOPB, 5769873]
[paragraph, [76.0, 264.0, 342.0, 18.0], shoonya_2s3EVJP73AWOPB, 5769873]
[paragraph, [76.0, 282.0, 342.0, 18.0], shoonya_2s3EVJP73AWOPB, 5769873]
[paragraph, [76.0, 300.0, 342.0, 18.0], shoonya_2s3EVJP73AWOPB, 5769873]
[paragraph, [105.0, 321.0, 281.0, 18.0], lpz0SoEItC, 5769873]
[paragraph, [105.0, 339.0, 281.0, 18.0], lpz0SoEItC, 5769873]
[paragraph, [105.0, 357.0, 281.0, 18.0], lpz0SoEItC, 5769873]
[paragraph, [105.0, 375.0, 281.0, 18.0], lpz0SoEItC, 5769873]
[paragraph, [105.0, 393.0, 281.0, 18.0], lpz0SoEItC, 5769873]
[paragraph, [105.0, 411.0, 281.0, 18.0], lpz0SoEItC, 5769873]
[paragraph, [105.0, 429.0, 281.0, 18.0], lpz0SoEItC, 5769873]
[paragraph, [105.0, 447.0, 281.0, 18.0], lpz0SoEItC, 5769873]
[paragraph, [105.0, 465.0, 281.0, 18.0], lpz0SoEItC, 5769873]
[paragraph, [449.0, 325.0, 272.0, 18.0], b8Q8ZSSyAC, 5769873]
[paragraph, [449.0, 343.0, 272.0, 18.0], b8Q8ZSSyAC, 5769873]
[paragraph, [449.0, 361.0, 272.0, 18.0], b8Q8ZSSyAC, 5769873]
[paragraph, [449.0, 379.0, 272.0, 18.0], b8Q8ZSSyAC, 5769873]
[paragraph, [449.0, 397.0, 272.0, 18.0], b8Q8ZSSyAC, 5769873]
[paragraph, [449.0, 415.0, 272.0, 18.0], b8Q8ZSSyAC, 5769873]
[paragraph, [449.0, 433.0, 272.0, 18.0], b8Q8ZSSyAC, 5769873]
[paragraph, [449.0, 451.0, 272.0, 18.0], b8Q8ZSSyAC, 5769873]
[paragraph, [449.0, 469.0, 272.0, 18.0], b8Q8ZSSyAC, 5769873]
[paragraph, [449.0, 487.0, 272.0, 18.0], b8Q8ZSSyAC, 5769873]
[paragraph, [449.0, 505.0, 272.0, 18.0], b8Q8ZSSyAC, 5769873]
[paragraph, [449.0, 523.0, 272.0, 18.0], b8Q8ZSSyAC, 5769873]
[paragraph, [449.0, 541.0, 272.0, 18.0], b8Q8ZSSyAC, 5769873]
[paragraph, [449.0, 559.0, 272.0, 18.0], b8Q8ZSSyAC, 5769873]
[paragraph, [449.0, 577.0, 272.0, 18.0], b8Q8ZSSyAC, 5769873]
[paragraph, [449.0, 595.0, 272.0, 18.0], b8Q8ZSSyAC, 5769873]
[paragraph, [449.0, 613.0, 272.0, 18.0], b8Q8ZSSyAC, 5769873]
[paragraph, [449.0, 631.0, 272.0, 18.0], b8Q8ZSSyAC, 5769873]
[paragraph, [449.0, 649.0, 272.0, 18.0], b8Q8ZSSyAC, 5769873]
[paragraph, [449.0, 667.0, 272.0, 18.0], b8Q8ZSSyAC, 5769873]
[paragraph, [449.0, 685.0, 272.0, 18.0], b8Q8ZSSyAC, 5769873]
[paragraph, [449.0, 703.0, 272.0, 18.0], b8Q8ZSSyAC, 5769873]
[paragraph, [449.0, 721.0, 272.0, 18.0], b8Q8ZSSyAC, 5769873]
[paragraph, [449.0, 739.0, 272.0, 18.0], b8Q8ZSSyAC, 5769873]
[paragraph, [449.0, 757.0, 272.0, 18.0], b8Q8ZSSyAC, 5769873]
[paragraph, [80.0, 479.0, 337.0, 18.0], OxidCVrmcR, 5769873]
[paragraph, [81.0, 503.0, 334.0, 18.0], a8VywPwu9r, 5769873]
[paragraph, [81.0, 521.0, 334.0, 18.0], a8VywPwu9r, 5769873]
[paragraph, [81.0, 539.0, 334.0, 18.0], a8VywPwu9r, 5769873]
[paragraph, [81.0, 557.0, 334.0, 18.0], a8VywPwu9r, 5769873]
[paragraph, [81.0, 575.0, 334.0, 18.0], a8VywPwu9r, 5769873]
[paragraph, [81.0, 593.0, 334.0, 18.0], a8VywPwu9r, 5769873]
[paragraph, [134.0, 608.0, 243.0, 18.0], 2azAXMrrci, 5769873]
[paragraph, [134.0, 626.0, 243.0, 18.0], 2azAXMrrci, 5769873]
[paragraph, [134.0, 644.0, 243.0, 18.0], 2azAXMrrci, 5769873]
[paragraph, [134.0, 662.0, 243.0, 18.0], 2azAXMrrci, 5769873]
[paragraph, [134.0, 680.0, 243.0, 18.0], 2azAXMrrci, 5769873]
[paragraph, [134.0, 698.0, 243.0, 18.0], 2azAXMrrci, 5769873]
[paragraph, [76.0, 712.0, 341.0, 18.0], HejR5OICrz, 5769873]
[paragraph, [76.0, 730.0, 341.0, 18.0], HejR5OICrz, 5769873]
[paragraph, [76.0, 748.0, 341.0, 18.0], HejR5OICrz, 5769873]
[paragraph, [76.0, 766.0, 341.0, 18.0], HejR5OICrz, 5769873]
[paragraph, [76.0, 784.0, 341.0, 18.0], HejR5OICrz, 5769873]
[paragraph, [76.0, 802.0, 341.0, 18.0], HejR5OICrz, 5769873]
[paragraph, [76.0, 820.0, 341.0, 18.0], HejR5OICrz, 5769873]
[paragraph, [76.0, 838.0, 341.0, 18.0], HejR5OICrz, 5769873]
