[1468, 909]
[headline, [274.0, 72.0, 353.0, 25.5], o2X5-ZKrIu, 5770039]
[headline, [274.0, 97.5, 353.0, 25.5], o2X5-ZKrIu, 5770039]
[paragraph, [78.0, 144.0, 367.0, 18.0], shoonya_0sJYTMXVF9TGJ7, 5770039]
[paragraph, [78.0, 162.0, 367.0, 18.0], shoonya_0sJYTMXVF9TGJ7, 5770039]
[paragraph, [78.0, 180.0, 367.0, 18.0], shoonya_0sJYTMXVF9TGJ7, 5770039]
[paragraph, [78.0, 198.0, 367.0, 18.0], shoonya_0sJYTMXVF9TGJ7, 5770039]
[paragraph, [78.0, 216.0, 367.0, 18.0], shoonya_0sJYTMXVF9TGJ7, 5770039]
[paragraph, [78.0, 234.0, 367.0, 18.0], shoonya_0sJYTMXVF9TGJ7, 5770039]
[paragraph, [78.0, 252.0, 367.0, 18.0], shoonya_0sJYTMXVF9TGJ7, 5770039]
[paragraph, [78.0, 270.0, 367.0, 18.0], shoonya_0sJYTMXVF9TGJ7, 5770039]
[paragraph, [78.0, 288.0, 367.0, 18.0], shoonya_0sJYTMXVF9TGJ7, 5770039]
[paragraph, [78.0, 306.0, 367.0, 18.0], shoonya_0sJYTMXVF9TGJ7, 5770039]
[paragraph, [78.0, 324.0, 367.0, 18.0], shoonya_0sJYTMXVF9TGJ7, 5770039]
[paragraph, [78.0, 342.0, 367.0, 18.0], shoonya_0sJYTMXVF9TGJ7, 5770039]
[paragraph, [78.0, 360.0, 367.0, 18.0], shoonya_0sJYTMXVF9TGJ7, 5770039]
[paragraph, [78.0, 378.0, 367.0, 18.0], shoonya_0sJYTMXVF9TGJ7, 5770039]
[paragraph, [78.0, 396.0, 367.0, 18.0], shoonya_0sJYTMXVF9TGJ7, 5770039]
[paragraph, [455.0, 144.0, 358.0, 18.0], c5I4S_0BVG, 5770039]
[paragraph, [455.0, 162.0, 358.0, 18.0], c5I4S_0BVG, 5770039]
[paragraph, [455.0, 180.0, 358.0, 18.0], c5I4S_0BVG, 5770039]
[paragraph, [455.0, 198.0, 358.0, 18.0], c5I4S_0BVG, 5770039]
[paragraph, [455.0, 216.0, 358.0, 18.0], c5I4S_0BVG, 5770039]
[paragraph, [455.0, 234.0, 358.0, 18.0], c5I4S_0BVG, 5770039]
[paragraph, [455.0, 252.0, 358.0, 18.0], c5I4S_0BVG, 5770039]
[paragraph, [452.0, 263.0, 371.0, 18.0], jPrTX0nCvr, 5770039]
[paragraph, [452.0, 281.0, 371.0, 18.0], jPrTX0nCvr, 5770039]
[paragraph, [452.0, 299.0, 371.0, 18.0], jPrTX0nCvr, 5770039]
[paragraph, [452.0, 317.0, 371.0, 18.0], jPrTX0nCvr, 5770039]
[paragraph, [452.0, 335.0, 371.0, 18.0], jPrTX0nCvr, 5770039]
[paragraph, [452.0, 353.0, 371.0, 18.0], jPrTX0nCvr, 5770039]
[paragraph, [452.0, 371.0, 371.0, 18.0], jPrTX0nCvr, 5770039]
[paragraph, [452.0, 389.0, 371.0, 18.0], jPrTX0nCvr, 5770039]
