[576, 360]
[paragraph, [29.0, 65.0, 114.0, 18.0], IOSmQXFGjV, 6514829]
[paragraph, [33.0, 107.0, 299.0, 18.0], shoonya_0sJ0UK43WUNGEW, 6514829]
[paragraph, [33.0, 125.0, 299.0, 18.0], shoonya_0sJ0UK43WUNGEW, 6514829]
[paragraph, [33.0, 143.0, 299.0, 18.0], shoonya_0sJ0UK43WUNGEW, 6514829]
[paragraph, [33.0, 161.0, 299.0, 18.0], shoonya_0sJ0UK43WUNGEW, 6514829]
[paragraph, [33.0, 179.0, 299.0, 18.0], shoonya_0sJ0UK43WUNGEW, 6514829]
[paragraph, [33.0, 197.0, 299.0, 18.0], shoonya_0sJ0UK43WUNGEW, 6514829]
[paragraph, [33.0, 215.0, 299.0, 18.0], shoonya_0sJ0UK43WUNGEW, 6514829]
[paragraph, [33.0, 233.0, 299.0, 18.0], shoonya_0sJ0UK43WUNGEW, 6514829]
[paragraph, [33.0, 282.0, 296.0, 18.0], shoonya_1sHFABUCILP2LQ, 6514829]
[paragraph, [33.0, 300.0, 296.0, 18.0], shoonya_1sHFABUCILP2LQ, 6514829]
[paragraph, [33.0, 318.0, 296.0, 18.0], shoonya_1sHFABUCILP2LQ, 6514829]
[paragraph, [33.0, 336.0, 296.0, 18.0], shoonya_1sHFABUCILP2LQ, 6514829]
[paragraph, [33.0, 354.0, 296.0, 18.0], shoonya_1sHFABUCILP2LQ, 6514829]
[paragraph, [33.0, 372.0, 296.0, 18.0], shoonya_1sHFABUCILP2LQ, 6514829]
[paragraph, [31.0, 411.0, 298.0, 18.0], shoonya_3sFADACLK7BY7H, 6514829]
[paragraph, [31.0, 429.0, 298.0, 18.0], shoonya_3sFADACLK7BY7H, 6514829]
[paragraph, [31.0, 447.0, 298.0, 18.0], shoonya_3sFADACLK7BY7H, 6514829]
[paragraph, [29.0, 499.0, 299.0, 18.0], mXFAvah2VR, 6514829]
