[1754, 1241]
[paragraph, [209.0, 144.0, 901.0, 36.0], shoonya_1sU0OTJW0YX5VE, 6470436]
[paragraph, [209.0, 180.0, 901.0, 36.0], shoonya_1sU0OTJW0YX5VE, 6470436]
[paragraph, [209.0, 216.0, 901.0, 36.0], shoonya_1sU0OTJW0YX5VE, 6470436]
[paragraph, [209.0, 252.0, 901.0, 36.0], shoonya_1sU0OTJW0YX5VE, 6470436]
[paragraph, [209.0, 288.0, 901.0, 36.0], shoonya_1sU0OTJW0YX5VE, 6470436]
[paragraph, [209.0, 324.0, 901.0, 36.0], shoonya_1sU0OTJW0YX5VE, 6470436]
[paragraph, [209.0, 360.0, 901.0, 36.0], shoonya_1sU0OTJW0YX5VE, 6470436]
[paragraph, [209.0, 396.0, 901.0, 36.0], shoonya_1sU0OTJW0YX5VE, 6470436]
[paragraph, [209.0, 432.0, 901.0, 36.0], shoonya_1sU0OTJW0YX5VE, 6470436]
[paragraph, [209.0, 468.0, 901.0, 36.0], shoonya_1sU0OTJW0YX5VE, 6470436]
[paragraph, [209.0, 504.0, 901.0, 36.0], shoonya_1sU0OTJW0YX5VE, 6470436]
[paragraph, [209.0, 540.0, 901.0, 36.0], shoonya_1sU0OTJW0YX5VE, 6470436]
[paragraph, [209.0, 576.0, 901.0, 36.0], shoonya_1sU0OTJW0YX5VE, 6470436]
[paragraph, [209.0, 612.0, 901.0, 36.0], shoonya_1sU0OTJW0YX5VE, 6470436]
[paragraph, [209.0, 648.0, 901.0, 36.0], shoonya_1sU0OTJW0YX5VE, 6470436]
[paragraph, [209.0, 684.0, 901.0, 36.0], shoonya_1sU0OTJW0YX5VE, 6470436]
[paragraph, [209.0, 720.0, 901.0, 36.0], shoonya_1sU0OTJW0YX5VE, 6470436]
[paragraph, [209.0, 756.0, 901.0, 36.0], shoonya_1sU0OTJW0YX5VE, 6470436]
[paragraph, [209.0, 792.0, 901.0, 36.0], shoonya_1sU0OTJW0YX5VE, 6470436]
[paragraph, [209.0, 828.0, 901.0, 36.0], shoonya_1sU0OTJW0YX5VE, 6470436]
[paragraph, [209.0, 864.0, 901.0, 36.0], shoonya_1sU0OTJW0YX5VE, 6470436]
[paragraph, [209.0, 900.0, 901.0, 36.0], shoonya_1sU0OTJW0YX5VE, 6470436]
[paragraph, [199.0, 970.0, 901.0, 36.0], shoonya_3s1UQF2P2OAFCU, 6470436]
[paragraph, [199.0, 1006.0, 901.0, 36.0], shoonya_3s1UQF2P2OAFCU, 6470436]
[paragraph, [199.0, 1042.0, 901.0, 36.0], shoonya_3s1UQF2P2OAFCU, 6470436]
[paragraph, [199.0, 1078.0, 901.0, 36.0], shoonya_3s1UQF2P2OAFCU, 6470436]
[paragraph, [199.0, 1114.0, 901.0, 36.0], shoonya_3s1UQF2P2OAFCU, 6470436]
[paragraph, [199.0, 1150.0, 901.0, 36.0], shoonya_3s1UQF2P2OAFCU, 6470436]
[paragraph, [199.0, 1186.0, 901.0, 36.0], shoonya_3s1UQF2P2OAFCU, 6470436]
[paragraph, [199.0, 1222.0, 901.0, 36.0], shoonya_3s1UQF2P2OAFCU, 6470436]
[paragraph, [199.0, 1258.0, 901.0, 36.0], shoonya_3s1UQF2P2OAFCU, 6470436]
[paragraph, [199.0, 1294.0, 901.0, 36.0], shoonya_3s1UQF2P2OAFCU, 6470436]
[paragraph, [199.0, 1330.0, 901.0, 36.0], shoonya_3s1UQF2P2OAFCU, 6470436]
[paragraph, [199.0, 1366.0, 901.0, 36.0], shoonya_3s1UQF2P2OAFCU, 6470436]
[paragraph, [199.0, 1402.0, 901.0, 36.0], shoonya_3s1UQF2P2OAFCU, 6470436]
[paragraph, [199.0, 1438.0, 901.0, 36.0], shoonya_3s1UQF2P2OAFCU, 6470436]
[paragraph, [199.0, 1474.0, 901.0, 36.0], shoonya_3s1UQF2P2OAFCU, 6470436]
[paragraph, [199.0, 1510.0, 901.0, 36.0], shoonya_3s1UQF2P2OAFCU, 6470436]
[paragraph, [199.0, 1546.0, 901.0, 36.0], shoonya_3s1UQF2P2OAFCU, 6470436]
