[792, 612]
[folio, [226.0, 49.0, 110.0, 18.0], AtjDLWX8IU, 6494498]
[section-title, [185.0, 88.0, 163.0, 30.0], 0uYRCauD7E, 6494498]
[author, [191.0, 126.0, 106.0, 18.0], n8afGwl33u, 6494498]
[paragraph, [185.0, 158.0, 159.0, 18.0], -sL71uPOOr, 6494498]
[paragraph, [185.0, 176.0, 159.0, 18.0], -sL71uPOOr, 6494498]
[paragraph, [185.0, 194.0, 159.0, 18.0], -sL71uPOOr, 6494498]
[paragraph, [185.0, 212.0, 159.0, 18.0], -sL71uPOOr, 6494498]
[paragraph, [185.0, 230.0, 159.0, 18.0], -sL71uPOOr, 6494498]
[paragraph, [181.0, 264.0, 158.0, 18.0], K9aMquC5Nh, 6494498]
[paragraph, [181.0, 282.0, 158.0, 18.0], K9aMquC5Nh, 6494498]
[paragraph, [181.0, 300.0, 158.0, 18.0], K9aMquC5Nh, 6494498]
[paragraph, [181.0, 318.0, 158.0, 18.0], K9aMquC5Nh, 6494498]
[paragraph, [187.0, 344.0, 194.0, 18.0], qrGf7cSuH8, 6494498]
[paragraph, [187.0, 362.0, 194.0, 18.0], qrGf7cSuH8, 6494498]
[paragraph, [187.0, 380.0, 194.0, 18.0], qrGf7cSuH8, 6494498]
[paragraph, [187.0, 398.0, 194.0, 18.0], qrGf7cSuH8, 6494498]
[paragraph, [187.0, 416.0, 194.0, 18.0], qrGf7cSuH8, 6494498]
[paragraph, [187.0, 434.0, 194.0, 18.0], qrGf7cSuH8, 6494498]
[paragraph, [187.0, 452.0, 194.0, 18.0], qrGf7cSuH8, 6494498]
[paragraph, [187.0, 470.0, 194.0, 18.0], qrGf7cSuH8, 6494498]
[paragraph, [187.0, 488.0, 194.0, 18.0], qrGf7cSuH8, 6494498]
[paragraph, [188.0, 508.0, 197.0, 18.0], jlwN9_xgHz, 6494498]
[paragraph, [188.0, 526.0, 197.0, 18.0], jlwN9_xgHz, 6494498]
[paragraph, [188.0, 544.0, 197.0, 18.0], jlwN9_xgHz, 6494498]
[paragraph, [188.0, 562.0, 197.0, 18.0], jlwN9_xgHz, 6494498]
[paragraph, [188.0, 580.0, 197.0, 18.0], jlwN9_xgHz, 6494498]
[paragraph, [189.0, 610.0, 187.0, 18.0], fI933Jdi8R, 6494498]
[paragraph, [189.0, 628.0, 187.0, 18.0], fI933Jdi8R, 6494498]
[paragraph, [189.0, 646.0, 187.0, 18.0], fI933Jdi8R, 6494498]
[paragraph, [193.0, 676.0, 166.0, 18.0], qM80V7sQNY, 6494498]
[paragraph, [193.0, 694.0, 166.0, 18.0], qM80V7sQNY, 6494498]
