[1601, 1158]
[ordered-list, [562.0, 80.0, 462.0, 36.0], shoonya_7sKWXK0JFHS3J2, 5695603]
[ordered-list, [562.0, 116.0, 462.0, 36.0], shoonya_7sKWXK0JFHS3J2, 5695603]
[ordered-list, [562.0, 152.0, 462.0, 36.0], shoonya_7sKWXK0JFHS3J2, 5695603]
[ordered-list, [562.0, 188.0, 462.0, 36.0], shoonya_7sKWXK0JFHS3J2, 5695603]
[ordered-list, [562.0, 224.0, 462.0, 36.0], shoonya_7sKWXK0JFHS3J2, 5695603]
[ordered-list, [562.0, 260.0, 462.0, 36.0], shoonya_7sKWXK0JFHS3J2, 5695603]
[ordered-list, [562.0, 296.0, 462.0, 36.0], shoonya_7sKWXK0JFHS3J2, 5695603]
[ordered-list, [562.0, 332.0, 462.0, 36.0], shoonya_7sKWXK0JFHS3J2, 5695603]
[ordered-list, [562.0, 368.0, 462.0, 36.0], shoonya_7sKWXK0JFHS3J2, 5695603]
[ordered-list, [562.0, 404.0, 462.0, 36.0], shoonya_7sKWXK0JFHS3J2, 5695603]
[ordered-list, [562.0, 440.0, 462.0, 36.0], shoonya_7sKWXK0JFHS3J2, 5695603]
[ordered-list, [562.0, 476.0, 462.0, 36.0], shoonya_7sKWXK0JFHS3J2, 5695603]
[ordered-list, [562.0, 512.0, 462.0, 36.0], shoonya_7sKWXK0JFHS3J2, 5695603]
[ordered-list, [562.0, 548.0, 462.0, 36.0], shoonya_7sKWXK0JFHS3J2, 5695603]
[ordered-list, [562.0, 584.0, 462.0, 36.0], shoonya_7sKWXK0JFHS3J2, 5695603]
[ordered-list, [562.0, 620.0, 462.0, 36.0], shoonya_7sKWXK0JFHS3J2, 5695603]
[ordered-list, [562.0, 656.0, 462.0, 36.0], shoonya_7sKWXK0JFHS3J2, 5695603]
[ordered-list, [562.0, 692.0, 462.0, 36.0], shoonya_7sKWXK0JFHS3J2, 5695603]
[ordered-list, [562.0, 728.0, 462.0, 36.0], shoonya_7sKWXK0JFHS3J2, 5695603]
[ordered-list, [562.0, 764.0, 462.0, 36.0], shoonya_7sKWXK0JFHS3J2, 5695603]
[ordered-list, [562.0, 800.0, 462.0, 36.0], shoonya_7sKWXK0JFHS3J2, 5695603]
[ordered-list, [562.0, 836.0, 462.0, 36.0], shoonya_7sKWXK0JFHS3J2, 5695603]
[ordered-list, [562.0, 872.0, 462.0, 36.0], shoonya_7sKWXK0JFHS3J2, 5695603]
[ordered-list, [562.0, 908.0, 462.0, 36.0], shoonya_7sKWXK0JFHS3J2, 5695603]
[ordered-list, [562.0, 944.0, 462.0, 36.0], shoonya_7sKWXK0JFHS3J2, 5695603]
