[1468, 909]
[folio, [368.0, 78.0, 162.0, 18.0], 8GiY-q_cFQ, 5770359]
[folio, [368.0, 96.0, 162.0, 18.0], 8GiY-q_cFQ, 5770359]
[paragraph, [68.0, 144.0, 382.0, 18.0], Dv7RQiSBjm, 5770359]
[paragraph, [68.0, 162.0, 382.0, 18.0], Dv7RQiSBjm, 5770359]
[paragraph, [68.0, 180.0, 382.0, 18.0], Dv7RQiSBjm, 5770359]
[paragraph, [68.0, 198.0, 382.0, 18.0], Dv7RQiSBjm, 5770359]
[paragraph, [68.0, 216.0, 382.0, 18.0], Dv7RQiSBjm, 5770359]
[paragraph, [68.0, 234.0, 382.0, 18.0], Dv7RQiSBjm, 5770359]
[paragraph, [68.0, 252.0, 382.0, 18.0], Dv7RQiSBjm, 5770359]
[paragraph, [68.0, 270.0, 382.0, 18.0], Dv7RQiSBjm, 5770359]
[paragraph, [68.0, 288.0, 382.0, 18.0], Dv7RQiSBjm, 5770359]
[paragraph, [68.0, 306.0, 382.0, 18.0], Dv7RQiSBjm, 5770359]
[paragraph, [68.0, 324.0, 382.0, 18.0], Dv7RQiSBjm, 5770359]
[paragraph, [68.0, 342.0, 382.0, 18.0], Dv7RQiSBjm, 5770359]
[paragraph, [68.0, 360.0, 382.0, 18.0], Dv7RQiSBjm, 5770359]
[paragraph, [459.0, 145.0, 361.0, 18.0], qKmBE9A6I2, 5770359]
[paragraph, [459.0, 163.0, 361.0, 18.0], qKmBE9A6I2, 5770359]
[paragraph, [459.0, 181.0, 361.0, 18.0], qKmBE9A6I2, 5770359]
[paragraph, [459.0, 199.0, 361.0, 18.0], qKmBE9A6I2, 5770359]
[paragraph, [459.0, 217.0, 361.0, 18.0], qKmBE9A6I2, 5770359]
[paragraph, [459.0, 235.0, 361.0, 18.0], qKmBE9A6I2, 5770359]
[paragraph, [459.0, 253.0, 361.0, 18.0], qKmBE9A6I2, 5770359]
[reference, [627.0, 265.0, 198.0, 18.0], CSJqyMCoee, 5770359]
[reference, [627.0, 283.0, 198.0, 18.0], CSJqyMCoee, 5770359]
[paragraph, [459.0, 293.0, 354.0, 18.0], d1wgqD2fMQ, 5770359]
[paragraph, [459.0, 311.0, 354.0, 18.0], d1wgqD2fMQ, 5770359]
[paragraph, [459.0, 329.0, 354.0, 18.0], d1wgqD2fMQ, 5770359]
[paragraph, [459.0, 347.0, 354.0, 18.0], d1wgqD2fMQ, 5770359]
[paragraph, [459.0, 365.0, 354.0, 18.0], d1wgqD2fMQ, 5770359]
[paragraph, [459.0, 383.0, 354.0, 18.0], d1wgqD2fMQ, 5770359]
[paragraph, [459.0, 401.0, 354.0, 18.0], d1wgqD2fMQ, 5770359]
[paragraph, [459.0, 419.0, 354.0, 18.0], d1wgqD2fMQ, 5770359]
[paragraph, [459.0, 437.0, 354.0, 18.0], d1wgqD2fMQ, 5770359]
[paragraph, [459.0, 455.0, 354.0, 18.0], d1wgqD2fMQ, 5770359]
[paragraph, [459.0, 473.0, 354.0, 18.0], d1wgqD2fMQ, 5770359]
[paragraph, [459.0, 491.0, 354.0, 18.0], d1wgqD2fMQ, 5770359]
[paragraph, [459.0, 509.0, 354.0, 18.0], d1wgqD2fMQ, 5770359]
[paragraph, [99.0, 386.0, 348.0, 18.0], qMdXUXKFqB, 5770359]
[paragraph, [99.0, 404.0, 348.0, 18.0], qMdXUXKFqB, 5770359]
[paragraph, [99.0, 422.0, 348.0, 18.0], qMdXUXKFqB, 5770359]
[paragraph, [99.0, 440.0, 348.0, 18.0], qMdXUXKFqB, 5770359]
[paragraph, [99.0, 458.0, 348.0, 18.0], qMdXUXKFqB, 5770359]
[paragraph, [99.0, 476.0, 348.0, 18.0], qMdXUXKFqB, 5770359]
[paragraph, [99.0, 494.0, 348.0, 18.0], qMdXUXKFqB, 5770359]
[paragraph, [99.0, 512.0, 348.0, 18.0], qMdXUXKFqB, 5770359]
[paragraph, [99.0, 530.0, 348.0, 18.0], qMdXUXKFqB, 5770359]
[paragraph, [99.0, 548.0, 348.0, 18.0], qMdXUXKFqB, 5770359]
[paragraph, [99.0, 566.0, 348.0, 18.0], qMdXUXKFqB, 5770359]
[paragraph, [99.0, 584.0, 348.0, 18.0], qMdXUXKFqB, 5770359]
[paragraph, [99.0, 602.0, 348.0, 18.0], qMdXUXKFqB, 5770359]
[paragraph, [99.0, 620.0, 348.0, 18.0], qMdXUXKFqB, 5770359]
[paragraph, [99.0, 638.0, 348.0, 18.0], qMdXUXKFqB, 5770359]
[paragraph, [99.0, 656.0, 348.0, 18.0], qMdXUXKFqB, 5770359]
[paragraph, [99.0, 674.0, 348.0, 18.0], qMdXUXKFqB, 5770359]
[paragraph, [99.0, 692.0, 348.0, 18.0], qMdXUXKFqB, 5770359]
[paragraph, [99.0, 710.0, 348.0, 18.0], qMdXUXKFqB, 5770359]
