[782, 595]
[section-title, [76.0, 37.0, 446.0, 30.0], shoonya_6sMM7PA9SSEMOR, 5707414]
[paragraph, [52.0, 150.0, 502.0, 18.0], shoonya_2sGH5CCJAI250D, 5707414]
[paragraph, [52.0, 168.0, 502.0, 18.0], shoonya_2sGH5CCJAI250D, 5707414]
[paragraph, [52.0, 186.0, 502.0, 18.0], shoonya_2sGH5CCJAI250D, 5707414]
[paragraph, [52.0, 204.0, 502.0, 18.0], shoonya_2sGH5CCJAI250D, 5707414]
[paragraph, [52.0, 222.0, 502.0, 18.0], shoonya_2sGH5CCJAI250D, 5707414]
[paragraph, [52.0, 240.0, 502.0, 18.0], shoonya_2sGH5CCJAI250D, 5707414]
[paragraph, [52.0, 258.0, 502.0, 18.0], shoonya_2sGH5CCJAI250D, 5707414]
[paragraph, [52.0, 276.0, 502.0, 18.0], shoonya_2sGH5CCJAI250D, 5707414]
[paragraph, [52.0, 294.0, 502.0, 18.0], shoonya_2sGH5CCJAI250D, 5707414]
[paragraph, [55.0, 318.0, 503.0, 18.0], shoonya_0sSI32TQEX1NMH, 5707414]
[paragraph, [55.0, 336.0, 503.0, 18.0], shoonya_0sSI32TQEX1NMH, 5707414]
[paragraph, [55.0, 354.0, 503.0, 18.0], shoonya_0sSI32TQEX1NMH, 5707414]
[paragraph, [55.0, 372.0, 503.0, 18.0], shoonya_0sSI32TQEX1NMH, 5707414]
[paragraph, [55.0, 390.0, 503.0, 18.0], shoonya_0sSI32TQEX1NMH, 5707414]
[paragraph, [55.0, 408.0, 503.0, 18.0], shoonya_0sSI32TQEX1NMH, 5707414]
[paragraph, [55.0, 426.0, 503.0, 18.0], shoonya_0sSI32TQEX1NMH, 5707414]
[paragraph, [55.0, 444.0, 503.0, 18.0], shoonya_0sSI32TQEX1NMH, 5707414]
[paragraph, [55.0, 462.0, 503.0, 18.0], shoonya_0sSI32TQEX1NMH, 5707414]
[paragraph, [55.0, 480.0, 503.0, 18.0], shoonya_0sSI32TQEX1NMH, 5707414]
[paragraph, [55.0, 498.0, 503.0, 18.0], shoonya_0sSI32TQEX1NMH, 5707414]
[paragraph, [55.0, 516.0, 503.0, 18.0], shoonya_0sSI32TQEX1NMH, 5707414]
[paragraph, [56.0, 553.0, 497.0, 18.0], shoonya_3sQJ4QANKNONC8, 5707414]
[paragraph, [56.0, 571.0, 497.0, 18.0], shoonya_3sQJ4QANKNONC8, 5707414]
[paragraph, [56.0, 589.0, 497.0, 18.0], shoonya_3sQJ4QANKNONC8, 5707414]
[author, [414.0, 646.0, 103.0, 18.0], vtsfjE8oUi, 5707414]
[contact-info, [389.0, 665.0, 157.0, 18.0], v7y_bISL_5, 5707414]
[contact-info, [389.0, 683.0, 157.0, 18.0], v7y_bISL_5, 5707414]
[contact-info, [389.0, 701.0, 157.0, 18.0], v7y_bISL_5, 5707414]
[contact-info, [389.0, 719.0, 157.0, 18.0], v7y_bISL_5, 5707414]
