[1606, 1056]
[folio, [458.0, 101.0, 159.0, 36.0], shoonya_1sJ5CX8W9VNJ7D, 5683605]
[folio, [130.0, 102.0, 212.0, 36.0], shoonya_4s5UUJCBZJTYZF, 5683605]
[paragraph, [118.0, 161.0, 838.0, 36.0], shoonya_2s6JKJC2KGB1HW, 5683605]
[paragraph, [118.0, 197.0, 838.0, 36.0], shoonya_2s6JKJC2KGB1HW, 5683605]
[paragraph, [118.0, 233.0, 838.0, 36.0], shoonya_2s6JKJC2KGB1HW, 5683605]
[paragraph, [118.0, 269.0, 838.0, 36.0], shoonya_2s6JKJC2KGB1HW, 5683605]
[paragraph, [118.0, 305.0, 838.0, 36.0], shoonya_2s6JKJC2KGB1HW, 5683605]
[paragraph, [118.0, 341.0, 838.0, 36.0], shoonya_2s6JKJC2KGB1HW, 5683605]
[paragraph, [116.0, 385.0, 839.0, 36.0], shoonya_3s230JCTSA6SWK, 5683605]
[paragraph, [116.0, 421.0, 839.0, 36.0], shoonya_3s230JCTSA6SWK, 5683605]
[paragraph, [116.0, 457.0, 839.0, 36.0], shoonya_3s230JCTSA6SWK, 5683605]
[paragraph, [105.0, 516.0, 849.0, 36.0], shoonya_0sOX1R33E7RFGR, 5683605]
[paragraph, [105.0, 552.0, 849.0, 36.0], shoonya_0sOX1R33E7RFGR, 5683605]
[paragraph, [105.0, 588.0, 849.0, 36.0], shoonya_0sOX1R33E7RFGR, 5683605]
[paragraph, [105.0, 624.0, 849.0, 36.0], shoonya_0sOX1R33E7RFGR, 5683605]
[paragraph, [105.0, 660.0, 849.0, 36.0], shoonya_0sOX1R33E7RFGR, 5683605]
[paragraph, [105.0, 696.0, 849.0, 36.0], shoonya_0sOX1R33E7RFGR, 5683605]
[paragraph, [105.0, 732.0, 849.0, 36.0], shoonya_0sOX1R33E7RFGR, 5683605]
[paragraph, [105.0, 768.0, 849.0, 36.0], shoonya_0sOX1R33E7RFGR, 5683605]
[paragraph, [105.0, 804.0, 849.0, 36.0], shoonya_0sOX1R33E7RFGR, 5683605]
[paragraph, [105.0, 840.0, 849.0, 36.0], shoonya_0sOX1R33E7RFGR, 5683605]
[paragraph, [105.0, 876.0, 849.0, 36.0], shoonya_0sOX1R33E7RFGR, 5683605]
[paragraph, [105.0, 912.0, 849.0, 36.0], shoonya_0sOX1R33E7RFGR, 5683605]
[paragraph, [105.0, 948.0, 849.0, 36.0], shoonya_0sOX1R33E7RFGR, 5683605]
[paragraph, [105.0, 984.0, 849.0, 36.0], shoonya_0sOX1R33E7RFGR, 5683605]
[paragraph, [105.0, 1020.0, 849.0, 36.0], shoonya_0sOX1R33E7RFGR, 5683605]
[paragraph, [105.0, 1056.0, 849.0, 36.0], shoonya_0sOX1R33E7RFGR, 5683605]
[paragraph, [105.0, 1092.0, 849.0, 36.0], shoonya_0sOX1R33E7RFGR, 5683605]
[paragraph, [105.0, 1128.0, 849.0, 36.0], shoonya_0sOX1R33E7RFGR, 5683605]
[paragraph, [105.0, 1164.0, 849.0, 36.0], shoonya_0sOX1R33E7RFGR, 5683605]
[paragraph, [105.0, 1200.0, 849.0, 36.0], shoonya_0sOX1R33E7RFGR, 5683605]
[paragraph, [105.0, 1236.0, 849.0, 36.0], shoonya_0sOX1R33E7RFGR, 5683605]
[paragraph, [105.0, 1272.0, 849.0, 36.0], shoonya_0sOX1R33E7RFGR, 5683605]
[paragraph, [105.0, 1308.0, 849.0, 36.0], shoonya_0sOX1R33E7RFGR, 5683605]
[paragraph, [105.0, 1344.0, 849.0, 36.0], shoonya_0sOX1R33E7RFGR, 5683605]
[paragraph, [105.0, 1380.0, 849.0, 36.0], shoonya_0sOX1R33E7RFGR, 5683605]
[paragraph, [105.0, 1416.0, 849.0, 36.0], shoonya_0sOX1R33E7RFGR, 5683605]
[paragraph, [105.0, 1452.0, 849.0, 36.0], shoonya_0sOX1R33E7RFGR, 5683605]
