[1755, 1240]
[folio, [644.0, 75.0, 487.0, 36.0], Z1qLSFriX0, 5744114]
[paragraph, [193.0, 204.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 240.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 276.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 312.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 348.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 384.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 420.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 456.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 492.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 528.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 564.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 600.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 636.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 672.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 708.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 744.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 780.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 816.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 852.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 888.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 924.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 960.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 996.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 1032.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 1068.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 1104.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 1140.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 1176.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 1212.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 1248.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 1284.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 1320.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 1356.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 1392.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 1428.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 1464.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 1500.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
[paragraph, [193.0, 1536.0, 933.0, 36.0], shoonya_2sKQ6OEEOB4DXY, 5744114]
