[2481, 1654]
[folio, [347.0, 109.0, 119.0, 36.0], bWJ6zkt-n6, 5721137]
[paragraph, [235.0, 221.0, 1254.0, 36.0], DQ5YYu9anV, 5721137]
[paragraph, [235.0, 257.0, 1254.0, 36.0], DQ5YYu9anV, 5721137]
[paragraph, [208.0, 322.0, 1283.0, 36.0], rfIW6lyeX_, 5721137]
[paragraph, [208.0, 358.0, 1283.0, 36.0], rfIW6lyeX_, 5721137]
[paragraph, [208.0, 394.0, 1283.0, 36.0], rfIW6lyeX_, 5721137]
[paragraph, [208.0, 430.0, 1283.0, 36.0], rfIW6lyeX_, 5721137]
[paragraph, [233.0, 485.0, 1263.0, 36.0], sJi-_w0imR, 5721137]
[paragraph, [233.0, 521.0, 1263.0, 36.0], sJi-_w0imR, 5721137]
[paragraph, [217.0, 578.0, 1275.0, 36.0], 6b7tYdJl1k, 5721137]
[paragraph, [217.0, 614.0, 1275.0, 36.0], 6b7tYdJl1k, 5721137]
[paragraph, [217.0, 650.0, 1275.0, 36.0], 6b7tYdJl1k, 5721137]
[paragraph, [217.0, 686.0, 1275.0, 36.0], 6b7tYdJl1k, 5721137]
[paragraph, [217.0, 722.0, 1275.0, 36.0], 6b7tYdJl1k, 5721137]
[paragraph, [221.0, 791.0, 1269.0, 36.0], zsOV_2knpv, 5721137]
[paragraph, [221.0, 827.0, 1269.0, 36.0], zsOV_2knpv, 5721137]
[paragraph, [221.0, 863.0, 1269.0, 36.0], zsOV_2knpv, 5721137]
[paragraph, [221.0, 899.0, 1269.0, 36.0], zsOV_2knpv, 5721137]
[paragraph, [221.0, 935.0, 1269.0, 36.0], zsOV_2knpv, 5721137]
[paragraph, [221.0, 971.0, 1269.0, 36.0], zsOV_2knpv, 5721137]
[paragraph, [221.0, 1007.0, 1269.0, 36.0], zsOV_2knpv, 5721137]
[paragraph, [221.0, 1043.0, 1269.0, 36.0], zsOV_2knpv, 5721137]
[paragraph, [221.0, 1079.0, 1269.0, 36.0], zsOV_2knpv, 5721137]
[paragraph, [223.0, 1151.0, 1269.0, 36.0], 2bdYwMADOQ, 5721137]
[paragraph, [223.0, 1187.0, 1269.0, 36.0], 2bdYwMADOQ, 5721137]
[paragraph, [223.0, 1223.0, 1269.0, 36.0], 2bdYwMADOQ, 5721137]
[paragraph, [223.0, 1259.0, 1269.0, 36.0], 2bdYwMADOQ, 5721137]
[paragraph, [223.0, 1295.0, 1269.0, 36.0], 2bdYwMADOQ, 5721137]
[paragraph, [212.0, 1364.0, 1285.0, 36.0], fLKlMld440, 5721137]
[paragraph, [212.0, 1400.0, 1285.0, 36.0], fLKlMld440, 5721137]
[paragraph, [212.0, 1436.0, 1285.0, 36.0], fLKlMld440, 5721137]
[paragraph, [212.0, 1472.0, 1285.0, 36.0], fLKlMld440, 5721137]
[paragraph, [212.0, 1508.0, 1285.0, 36.0], fLKlMld440, 5721137]
[paragraph, [212.0, 1544.0, 1285.0, 36.0], fLKlMld440, 5721137]
[paragraph, [212.0, 1580.0, 1285.0, 36.0], fLKlMld440, 5721137]
[paragraph, [219.0, 1625.0, 1273.0, 36.0], HGvjrKjrQJ, 5721137]
[paragraph, [219.0, 1661.0, 1273.0, 36.0], HGvjrKjrQJ, 5721137]
[paragraph, [219.0, 1697.0, 1273.0, 36.0], HGvjrKjrQJ, 5721137]
[paragraph, [219.0, 1733.0, 1273.0, 36.0], HGvjrKjrQJ, 5721137]
[paragraph, [227.0, 1778.0, 1263.0, 36.0], vU5q0SDBaW, 5721137]
[paragraph, [227.0, 1814.0, 1263.0, 36.0], vU5q0SDBaW, 5721137]
[paragraph, [227.0, 1850.0, 1263.0, 36.0], vU5q0SDBaW, 5721137]
[paragraph, [289.0, 1888.0, 186.0, 36.0], shoonya_1s3KXL23BTBCY6, 5721137]
[paragraph, [223.0, 1933.0, 1271.0, 36.0], XI-sGhKpUg, 5721137]
[paragraph, [223.0, 1969.0, 1271.0, 36.0], XI-sGhKpUg, 5721137]
[paragraph, [223.0, 2005.0, 1271.0, 36.0], XI-sGhKpUg, 5721137]
[paragraph, [223.0, 2042.0, 1271.0, 36.0], Jo3NTftSEa, 5721137]
[paragraph, [223.0, 2078.0, 1271.0, 36.0], Jo3NTftSEa, 5721137]
[paragraph, [289.0, 2148.0, 1199.0, 36.0], M9zi6bEaEi, 5721137]
