[2278, 1778]
[section-title, [657.0, 144.0, 492.0, 52.5], GS5Rj0kWBA, 5757830]
[paragraph, [180.0, 253.0, 505.0, 36.0], 8M0J5SlRH3, 5757830]
[section-title, [140.0, 316.0, 724.0, 52.5], Z-XgkPzq4G, 5757830]
[sub-section-title, [479.0, 398.0, 142.0, 55.5], mKRyafs-L7, 5757830]
[ordered-list, [167.0, 434.0, 735.0, 36.0], SQJ95eXGbx, 5757830]
[ordered-list, [167.0, 470.0, 735.0, 36.0], SQJ95eXGbx, 5757830]
[ordered-list, [167.0, 506.0, 735.0, 36.0], SQJ95eXGbx, 5757830]
[ordered-list, [167.0, 542.0, 735.0, 36.0], SQJ95eXGbx, 5757830]
[ordered-list, [167.0, 578.0, 735.0, 36.0], SQJ95eXGbx, 5757830]
[ordered-list, [167.0, 614.0, 735.0, 36.0], SQJ95eXGbx, 5757830]
[ordered-list, [167.0, 650.0, 735.0, 36.0], SQJ95eXGbx, 5757830]
[ordered-list, [167.0, 686.0, 735.0, 36.0], SQJ95eXGbx, 5757830]
[ordered-list, [167.0, 722.0, 735.0, 36.0], SQJ95eXGbx, 5757830]
[ordered-list, [167.0, 758.0, 735.0, 36.0], SQJ95eXGbx, 5757830]
[ordered-list, [167.0, 794.0, 735.0, 36.0], SQJ95eXGbx, 5757830]
[ordered-list, [167.0, 830.0, 735.0, 36.0], SQJ95eXGbx, 5757830]
[section-title, [271.0, 939.0, 1245.0, 52.5], brOdoZbE8C, 5757830]
[ordered-list, [173.0, 1077.0, 766.0, 36.0], 0w-Qulg2HF, 5757830]
[ordered-list, [173.0, 1113.0, 766.0, 36.0], 0w-Qulg2HF, 5757830]
[ordered-list, [173.0, 1149.0, 766.0, 36.0], 0w-Qulg2HF, 5757830]
[ordered-list, [173.0, 1185.0, 766.0, 36.0], 0w-Qulg2HF, 5757830]
[ordered-list, [173.0, 1221.0, 766.0, 36.0], 0w-Qulg2HF, 5757830]
[ordered-list, [173.0, 1257.0, 766.0, 36.0], 0w-Qulg2HF, 5757830]
[ordered-list, [173.0, 1293.0, 766.0, 36.0], 0w-Qulg2HF, 5757830]
[ordered-list, [173.0, 1329.0, 766.0, 36.0], 0w-Qulg2HF, 5757830]
[ordered-list, [173.0, 1365.0, 766.0, 36.0], 0w-Qulg2HF, 5757830]
[ordered-list, [173.0, 1401.0, 766.0, 36.0], 0w-Qulg2HF, 5757830]
[ordered-list, [173.0, 1437.0, 766.0, 36.0], 0w-Qulg2HF, 5757830]
[ordered-list, [173.0, 1473.0, 766.0, 36.0], 0w-Qulg2HF, 5757830]
[ordered-list, [173.0, 1509.0, 766.0, 36.0], 0w-Qulg2HF, 5757830]
[ordered-list, [173.0, 1545.0, 766.0, 36.0], 0w-Qulg2HF, 5757830]
[ordered-list, [173.0, 1581.0, 766.0, 36.0], 0w-Qulg2HF, 5757830]
[section-title, [568.0, 1687.0, 626.0, 52.5], Qf6jIelHo-, 5757830]
[sub-section-title, [434.0, 1790.0, 106.0, 55.5], fyuz852Mr3, 5757830]
[ordered-list, [176.0, 1848.0, 637.0, 36.0], UE4A14LOD-, 5757830]
[ordered-list, [176.0, 1884.0, 637.0, 36.0], UE4A14LOD-, 5757830]
[ordered-list, [176.0, 1920.0, 637.0, 36.0], UE4A14LOD-, 5757830]
[ordered-list, [176.0, 1956.0, 637.0, 36.0], UE4A14LOD-, 5757830]
[ordered-list, [176.0, 1992.0, 637.0, 36.0], UE4A14LOD-, 5757830]
[ordered-list, [176.0, 2028.0, 637.0, 36.0], UE4A14LOD-, 5757830]
[ordered-list, [176.0, 2064.0, 637.0, 36.0], UE4A14LOD-, 5757830]
