[1211, 798]
[folio, [345.0, 57.0, 97.0, 18.0], shoonya_1sZRGVX9XNHWQZ, 5740963]
[folio, [345.0, 75.0, 97.0, 18.0], shoonya_1sZRGVX9XNHWQZ, 5740963]
[paragraph, [50.0, 115.0, 689.0, 18.0], shoonya_0sRLURBWZZUP71, 5740963]
[paragraph, [50.0, 133.0, 689.0, 18.0], shoonya_0sRLURBWZZUP71, 5740963]
[paragraph, [50.0, 151.0, 689.0, 18.0], shoonya_0sRLURBWZZUP71, 5740963]
[paragraph, [50.0, 169.0, 689.0, 18.0], shoonya_0sRLURBWZZUP71, 5740963]
[paragraph, [50.0, 187.0, 689.0, 18.0], shoonya_0sRLURBWZZUP71, 5740963]
[paragraph, [50.0, 205.0, 689.0, 18.0], shoonya_0sRLURBWZZUP71, 5740963]
[paragraph, [50.0, 223.0, 689.0, 18.0], shoonya_0sRLURBWZZUP71, 5740963]
[paragraph, [50.0, 241.0, 689.0, 18.0], shoonya_0sRLURBWZZUP71, 5740963]
[paragraph, [50.0, 259.0, 689.0, 18.0], shoonya_0sRLURBWZZUP71, 5740963]
[paragraph, [50.0, 277.0, 689.0, 18.0], shoonya_0sRLURBWZZUP71, 5740963]
[paragraph, [50.0, 295.0, 689.0, 18.0], shoonya_0sRLURBWZZUP71, 5740963]
[paragraph, [50.0, 313.0, 689.0, 18.0], shoonya_0sRLURBWZZUP71, 5740963]
[paragraph, [50.0, 331.0, 689.0, 18.0], shoonya_0sRLURBWZZUP71, 5740963]
[paragraph, [50.0, 349.0, 689.0, 18.0], shoonya_0sRLURBWZZUP71, 5740963]
[paragraph, [50.0, 367.0, 689.0, 18.0], shoonya_0sRLURBWZZUP71, 5740963]
[paragraph, [50.0, 385.0, 689.0, 18.0], shoonya_0sRLURBWZZUP71, 5740963]
[paragraph, [50.0, 403.0, 689.0, 18.0], shoonya_0sRLURBWZZUP71, 5740963]
[paragraph, [50.0, 421.0, 689.0, 18.0], shoonya_0sRLURBWZZUP71, 5740963]
[paragraph, [50.0, 439.0, 689.0, 18.0], shoonya_0sRLURBWZZUP71, 5740963]
[paragraph, [50.0, 457.0, 689.0, 18.0], shoonya_0sRLURBWZZUP71, 5740963]
[paragraph, [50.0, 475.0, 689.0, 18.0], shoonya_0sRLURBWZZUP71, 5740963]
[paragraph, [50.0, 493.0, 689.0, 18.0], shoonya_0sRLURBWZZUP71, 5740963]
[paragraph, [50.0, 534.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 552.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 570.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 588.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 606.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 624.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 642.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 660.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 678.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 696.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 714.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 732.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 750.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 768.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 786.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 804.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 822.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 840.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 858.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 876.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 894.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 912.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 930.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 948.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 966.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 984.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 1002.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 1020.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 1038.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 1056.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[paragraph, [50.0, 1074.0, 712.0, 18.0], iBPRU2sou9, 5740963]
[footnote, [418.0, 1174.0, 321.0, 18.0], B6oeb4zzup, 5740963]
