[2200, 1700]
[chapter-title, [477.0, 446.0, 784.0, 70.5], shoonya_4sYDBY53LUB87M, 5730828]
[section-title, [474.0, 548.0, 798.0, 52.5], JWs5cDOX15, 5730828]
[section-title, [474.0, 600.5, 798.0, 52.5], JWs5cDOX15, 5730828]
[section-title, [474.0, 653.0, 798.0, 52.5], JWs5cDOX15, 5730828]
[section-title, [474.0, 705.5, 798.0, 52.5], JWs5cDOX15, 5730828]
[paragraph, [617.0, 769.0, 794.0, 36.0], shoonya_3sUKTHP0TO9DM2, 5730828]
[paragraph, [617.0, 805.0, 794.0, 36.0], shoonya_3sUKTHP0TO9DM2, 5730828]
[paragraph, [617.0, 841.0, 794.0, 36.0], shoonya_3sUKTHP0TO9DM2, 5730828]
[paragraph, [329.0, 1099.0, 1090.0, 36.0], shoonya_0s9DSTOLPZPSDY, 5730828]
[paragraph, [329.0, 1135.0, 1090.0, 36.0], shoonya_0s9DSTOLPZPSDY, 5730828]
[paragraph, [329.0, 1171.0, 1090.0, 36.0], shoonya_0s9DSTOLPZPSDY, 5730828]
[paragraph, [329.0, 1207.0, 1090.0, 36.0], shoonya_0s9DSTOLPZPSDY, 5730828]
[paragraph, [329.0, 1243.0, 1090.0, 36.0], shoonya_0s9DSTOLPZPSDY, 5730828]
[paragraph, [329.0, 1279.0, 1090.0, 36.0], shoonya_0s9DSTOLPZPSDY, 5730828]
[paragraph, [329.0, 1315.0, 1090.0, 36.0], shoonya_0s9DSTOLPZPSDY, 5730828]
[paragraph, [329.0, 1351.0, 1090.0, 36.0], shoonya_0s9DSTOLPZPSDY, 5730828]
[paragraph, [329.0, 1387.0, 1090.0, 36.0], shoonya_0s9DSTOLPZPSDY, 5730828]
[paragraph, [329.0, 1423.0, 1090.0, 36.0], shoonya_0s9DSTOLPZPSDY, 5730828]
[paragraph, [329.0, 1459.0, 1090.0, 36.0], shoonya_0s9DSTOLPZPSDY, 5730828]
[paragraph, [329.0, 1495.0, 1090.0, 36.0], shoonya_0s9DSTOLPZPSDY, 5730828]
[paragraph, [329.0, 1531.0, 1090.0, 36.0], shoonya_0s9DSTOLPZPSDY, 5730828]
[paragraph, [329.0, 1567.0, 1090.0, 36.0], shoonya_0s9DSTOLPZPSDY, 5730828]
[section-title, [325.0, 1631.0, 545.0, 52.5], shoonya_2s9YYOEYZ3MIJG, 5730828]
[paragraph, [443.0, 1711.0, 965.0, 36.0], 4zqzRQpNuS, 5730828]
[footnote, [335.0, 1844.0, 1067.0, 36.0], shoonya_1sEX4CTKJ16PZ0, 5730828]
[footnote, [335.0, 1880.0, 1067.0, 36.0], shoonya_1sEX4CTKJ16PZ0, 5730828]
[footnote, [335.0, 1916.0, 1067.0, 36.0], shoonya_1sEX4CTKJ16PZ0, 5730828]
[folio, [437.0, 2044.0, 371.0, 36.0], ix3UDvWJ2m, 5730828]
