[2338, 1654]
[paragraph, [284.0, 186.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 222.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 258.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 294.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 330.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 366.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 402.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 438.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 474.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 510.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 546.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 582.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 618.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 654.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 690.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 726.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 762.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 798.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 834.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 870.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 906.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 942.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 978.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 1014.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 1050.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 1086.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 1122.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 1158.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 1194.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 1230.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 1266.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [284.0, 1302.0, 1177.0, 36.0], shoonya_1sUFWGKGDQM08L, 5753838]
[paragraph, [286.0, 1369.0, 1174.0, 36.0], shoonya_0sRHWC7JD501Z8, 5753838]
[paragraph, [286.0, 1405.0, 1174.0, 36.0], shoonya_0sRHWC7JD501Z8, 5753838]
[paragraph, [286.0, 1441.0, 1174.0, 36.0], shoonya_0sRHWC7JD501Z8, 5753838]
[paragraph, [286.0, 1477.0, 1174.0, 36.0], shoonya_0sRHWC7JD501Z8, 5753838]
[paragraph, [286.0, 1513.0, 1174.0, 36.0], shoonya_0sRHWC7JD501Z8, 5753838]
[paragraph, [286.0, 1549.0, 1174.0, 36.0], shoonya_0sRHWC7JD501Z8, 5753838]
[paragraph, [286.0, 1585.0, 1174.0, 36.0], shoonya_0sRHWC7JD501Z8, 5753838]
[paragraph, [286.0, 1621.0, 1174.0, 36.0], shoonya_0sRHWC7JD501Z8, 5753838]
[paragraph, [286.0, 1657.0, 1174.0, 36.0], shoonya_0sRHWC7JD501Z8, 5753838]
[paragraph, [286.0, 1693.0, 1174.0, 36.0], shoonya_0sRHWC7JD501Z8, 5753838]
[paragraph, [286.0, 1729.0, 1174.0, 36.0], shoonya_0sRHWC7JD501Z8, 5753838]
[paragraph, [286.0, 1765.0, 1174.0, 36.0], shoonya_0sRHWC7JD501Z8, 5753838]
[paragraph, [286.0, 1801.0, 1174.0, 36.0], shoonya_0sRHWC7JD501Z8, 5753838]
[paragraph, [286.0, 1837.0, 1174.0, 36.0], shoonya_0sRHWC7JD501Z8, 5753838]
[paragraph, [286.0, 1873.0, 1174.0, 36.0], shoonya_0sRHWC7JD501Z8, 5753838]
[paragraph, [286.0, 1909.0, 1174.0, 36.0], shoonya_0sRHWC7JD501Z8, 5753838]
[paragraph, [286.0, 1945.0, 1174.0, 36.0], shoonya_0sRHWC7JD501Z8, 5753838]
[paragraph, [286.0, 1981.0, 1174.0, 36.0], shoonya_0sRHWC7JD501Z8, 5753838]
[paragraph, [286.0, 2017.0, 1174.0, 36.0], shoonya_0sRHWC7JD501Z8, 5753838]
