[1806, 1262]
[chapter-title, [335.0, 384.0, 563.0, 58.5], shoonya_0sD8JG0KNU103L, 5680661]
[chapter-title, [335.0, 442.5, 563.0, 58.5], shoonya_0sD8JG0KNU103L, 5680661]
[author, [501.0, 546.0, 219.0, 36.0], shoonya_2sS8BGUM93E4ZT, 5680661]
[paragraph, [99.0, 613.0, 492.0, 36.0], w_LUHJeIR9, 5680661]
[paragraph, [99.0, 649.0, 492.0, 36.0], w_LUHJeIR9, 5680661]
[paragraph, [99.0, 685.0, 492.0, 36.0], w_LUHJeIR9, 5680661]
[paragraph, [99.0, 721.0, 492.0, 36.0], w_LUHJeIR9, 5680661]
[paragraph, [99.0, 757.0, 492.0, 36.0], w_LUHJeIR9, 5680661]
[paragraph, [99.0, 793.0, 492.0, 36.0], w_LUHJeIR9, 5680661]
[paragraph, [99.0, 829.0, 492.0, 36.0], w_LUHJeIR9, 5680661]
[paragraph, [99.0, 865.0, 492.0, 36.0], w_LUHJeIR9, 5680661]
[paragraph, [634.0, 613.0, 479.0, 36.0], jkeKst4Gm4, 5680661]
[paragraph, [634.0, 649.0, 479.0, 36.0], jkeKst4Gm4, 5680661]
[paragraph, [634.0, 685.0, 479.0, 36.0], jkeKst4Gm4, 5680661]
[paragraph, [634.0, 721.0, 479.0, 36.0], jkeKst4Gm4, 5680661]
[paragraph, [634.0, 757.0, 479.0, 36.0], jkeKst4Gm4, 5680661]
[paragraph, [640.0, 831.0, 470.0, 36.0], yxaVL34HuZ, 5680661]
[paragraph, [640.0, 867.0, 470.0, 36.0], yxaVL34HuZ, 5680661]
[figure-caption, [263.0, 908.0, 651.0, 36.0], hXUEWmRCrf, 5680661]
[figure-caption, [263.0, 944.0, 651.0, 36.0], hXUEWmRCrf, 5680661]
[footnote, [82.0, 1605.0, 1055.0, 36.0], EJhW5Rq-Cq, 5680661]
