[2200, 1700]
[paragraph, [280.0, 220.0, 1136.0, 36.0], shoonya_3sY19LMCBHPUFQ, 5687107]
[paragraph, [278.0, 315.0, 512.0, 36.0], DQkgh3Ow96, 5687107]
[reference, [795.0, 320.0, 359.0, 36.0], h98Nxed2y6, 5687107]
[paragraph, [282.0, 404.0, 1137.0, 36.0], shoonya_2s636QL6VH4DVC, 5687107]
[paragraph, [282.0, 440.0, 1137.0, 36.0], shoonya_2s636QL6VH4DVC, 5687107]
[paragraph, [282.0, 476.0, 1137.0, 36.0], shoonya_2s636QL6VH4DVC, 5687107]
[paragraph, [282.0, 512.0, 1137.0, 36.0], shoonya_2s636QL6VH4DVC, 5687107]
[paragraph, [282.0, 548.0, 1137.0, 36.0], shoonya_2s636QL6VH4DVC, 5687107]
[paragraph, [282.0, 584.0, 1137.0, 36.0], shoonya_2s636QL6VH4DVC, 5687107]
[section-title, [284.0, 679.0, 588.0, 52.5], 0pogECA5NN, 5687107]
[paragraph, [265.0, 779.0, 1165.0, 36.0], shoonya_0sAA2SDMOX64LJ, 5687107]
[paragraph, [265.0, 815.0, 1165.0, 36.0], shoonya_0sAA2SDMOX64LJ, 5687107]
[paragraph, [265.0, 851.0, 1165.0, 36.0], shoonya_0sAA2SDMOX64LJ, 5687107]
[paragraph, [265.0, 887.0, 1165.0, 36.0], shoonya_0sAA2SDMOX64LJ, 5687107]
[paragraph, [265.0, 923.0, 1165.0, 36.0], shoonya_0sAA2SDMOX64LJ, 5687107]
[paragraph, [265.0, 959.0, 1165.0, 36.0], shoonya_0sAA2SDMOX64LJ, 5687107]
[paragraph, [265.0, 995.0, 1165.0, 36.0], shoonya_0sAA2SDMOX64LJ, 5687107]
[paragraph, [265.0, 1031.0, 1165.0, 36.0], shoonya_0sAA2SDMOX64LJ, 5687107]
[paragraph, [265.0, 1067.0, 1165.0, 36.0], shoonya_0sAA2SDMOX64LJ, 5687107]
[paragraph, [265.0, 1103.0, 1165.0, 36.0], shoonya_0sAA2SDMOX64LJ, 5687107]
[paragraph, [265.0, 1139.0, 1165.0, 36.0], shoonya_0sAA2SDMOX64LJ, 5687107]
[paragraph, [265.0, 1175.0, 1165.0, 36.0], shoonya_0sAA2SDMOX64LJ, 5687107]
[paragraph, [265.0, 1211.0, 1165.0, 36.0], shoonya_0sAA2SDMOX64LJ, 5687107]
[paragraph, [265.0, 1247.0, 1165.0, 36.0], shoonya_0sAA2SDMOX64LJ, 5687107]
[paragraph, [265.0, 1283.0, 1165.0, 36.0], shoonya_0sAA2SDMOX64LJ, 5687107]
[paragraph, [265.0, 1319.0, 1165.0, 36.0], shoonya_0sAA2SDMOX64LJ, 5687107]
[paragraph, [265.0, 1355.0, 1165.0, 36.0], shoonya_0sAA2SDMOX64LJ, 5687107]
[paragraph, [265.0, 1391.0, 1165.0, 36.0], shoonya_0sAA2SDMOX64LJ, 5687107]
[paragraph, [265.0, 1427.0, 1165.0, 36.0], shoonya_0sAA2SDMOX64LJ, 5687107]
[paragraph, [265.0, 1463.0, 1165.0, 36.0], shoonya_0sAA2SDMOX64LJ, 5687107]
[paragraph, [265.0, 1499.0, 1165.0, 36.0], shoonya_0sAA2SDMOX64LJ, 5687107]
[paragraph, [265.0, 1535.0, 1165.0, 36.0], shoonya_0sAA2SDMOX64LJ, 5687107]
[paragraph, [265.0, 1571.0, 1165.0, 36.0], shoonya_0sAA2SDMOX64LJ, 5687107]
[paragraph, [265.0, 1607.0, 1165.0, 36.0], shoonya_0sAA2SDMOX64LJ, 5687107]
[reference, [755.0, 1699.0, 332.0, 36.0], IN-D3jygCt, 5687107]
[paragraph, [287.0, 1702.0, 460.0, 36.0], CVcwOhoZB6, 5687107]
