[1951, 1219]
[folio, [799.0, 120.0, 210.0, 36.0], KjXQdFu0nh, 5683187]
[paragraph, [123.0, 211.0, 527.0, 36.0], 5zOmdpAMnl, 5683187]
[paragraph, [198.0, 268.0, 312.0, 36.0], IYfb3AEvLf, 5683187]
[paragraph, [118.0, 323.0, 970.0, 36.0], lnFDAjcPF7, 5683187]
[paragraph, [118.0, 359.0, 970.0, 36.0], lnFDAjcPF7, 5683187]
[paragraph, [118.0, 395.0, 970.0, 36.0], lnFDAjcPF7, 5683187]
[paragraph, [118.0, 431.0, 970.0, 36.0], lnFDAjcPF7, 5683187]
[paragraph, [121.0, 499.0, 972.0, 36.0], 5q1C9vHikG, 5683187]
[paragraph, [121.0, 535.0, 972.0, 36.0], 5q1C9vHikG, 5683187]
[paragraph, [121.0, 571.0, 972.0, 36.0], 5q1C9vHikG, 5683187]
[paragraph, [121.0, 607.0, 972.0, 36.0], 5q1C9vHikG, 5683187]
[paragraph, [121.0, 643.0, 972.0, 36.0], 5q1C9vHikG, 5683187]
[paragraph, [121.0, 679.0, 972.0, 36.0], 5q1C9vHikG, 5683187]
[paragraph, [121.0, 728.0, 970.0, 36.0], Hvmm89G2eB, 5683187]
[paragraph, [121.0, 764.0, 970.0, 36.0], Hvmm89G2eB, 5683187]
[paragraph, [121.0, 800.0, 970.0, 36.0], Hvmm89G2eB, 5683187]
[paragraph, [121.0, 836.0, 970.0, 36.0], Hvmm89G2eB, 5683187]
[paragraph, [121.0, 872.0, 970.0, 36.0], Hvmm89G2eB, 5683187]
[paragraph, [121.0, 908.0, 970.0, 36.0], Hvmm89G2eB, 5683187]
[paragraph, [121.0, 944.0, 970.0, 36.0], Hvmm89G2eB, 5683187]
[paragraph, [120.0, 1016.0, 975.0, 36.0], 3LGJk-5in4, 5683187]
[paragraph, [120.0, 1052.0, 975.0, 36.0], 3LGJk-5in4, 5683187]
[paragraph, [120.0, 1088.0, 975.0, 36.0], 3LGJk-5in4, 5683187]
[paragraph, [120.0, 1124.0, 975.0, 36.0], 3LGJk-5in4, 5683187]
[paragraph, [120.0, 1190.0, 976.0, 36.0], nNLdsmexhj, 5683187]
[paragraph, [120.0, 1226.0, 976.0, 36.0], nNLdsmexhj, 5683187]
[paragraph, [120.0, 1262.0, 976.0, 36.0], nNLdsmexhj, 5683187]
[paragraph, [120.0, 1298.0, 976.0, 36.0], nNLdsmexhj, 5683187]
[paragraph, [120.0, 1334.0, 976.0, 36.0], nNLdsmexhj, 5683187]
[paragraph, [120.0, 1370.0, 976.0, 36.0], nNLdsmexhj, 5683187]
[paragraph, [120.0, 1406.0, 976.0, 36.0], nNLdsmexhj, 5683187]
[paragraph, [120.0, 1442.0, 976.0, 36.0], nNLdsmexhj, 5683187]
[paragraph, [120.0, 1478.0, 976.0, 36.0], nNLdsmexhj, 5683187]
[paragraph, [120.0, 1514.0, 976.0, 36.0], nNLdsmexhj, 5683187]
[paragraph, [204.0, 1606.0, 594.0, 36.0], 6j-9Y0tHAx, 5683187]
[paragraph, [117.0, 1667.0, 981.0, 36.0], MSEh-k2Tg0, 5683187]
[paragraph, [117.0, 1703.0, 981.0, 36.0], MSEh-k2Tg0, 5683187]
[paragraph, [198.0, 1781.0, 897.0, 36.0], uEUjKFJHlV, 5683187]
