[2339, 1653]
[paragraph, [246.0, 246.0, 1157.0, 36.0], shoonya_0s0E3GWXFVOD5B, 5687418]
[paragraph, [246.0, 282.0, 1157.0, 36.0], shoonya_0s0E3GWXFVOD5B, 5687418]
[paragraph, [246.0, 318.0, 1157.0, 36.0], shoonya_0s0E3GWXFVOD5B, 5687418]
[paragraph, [246.0, 354.0, 1157.0, 36.0], shoonya_0s0E3GWXFVOD5B, 5687418]
[paragraph, [246.0, 390.0, 1157.0, 36.0], shoonya_0s0E3GWXFVOD5B, 5687418]
[paragraph, [246.0, 426.0, 1157.0, 36.0], shoonya_0s0E3GWXFVOD5B, 5687418]
[paragraph, [246.0, 462.0, 1157.0, 36.0], shoonya_0s0E3GWXFVOD5B, 5687418]
[paragraph, [246.0, 498.0, 1157.0, 36.0], shoonya_0s0E3GWXFVOD5B, 5687418]
[paragraph, [246.0, 534.0, 1157.0, 36.0], shoonya_0s0E3GWXFVOD5B, 5687418]
[paragraph, [246.0, 570.0, 1157.0, 36.0], shoonya_0s0E3GWXFVOD5B, 5687418]
[paragraph, [246.0, 606.0, 1157.0, 36.0], shoonya_0s0E3GWXFVOD5B, 5687418]
[paragraph, [246.0, 642.0, 1157.0, 36.0], shoonya_0s0E3GWXFVOD5B, 5687418]
[paragraph, [246.0, 678.0, 1157.0, 36.0], shoonya_0s0E3GWXFVOD5B, 5687418]
[paragraph, [246.0, 714.0, 1157.0, 36.0], shoonya_0s0E3GWXFVOD5B, 5687418]
[paragraph, [246.0, 750.0, 1157.0, 36.0], shoonya_0s0E3GWXFVOD5B, 5687418]
[paragraph, [246.0, 786.0, 1157.0, 36.0], shoonya_0s0E3GWXFVOD5B, 5687418]
[paragraph, [246.0, 822.0, 1157.0, 36.0], shoonya_0s0E3GWXFVOD5B, 5687418]
[paragraph, [246.0, 858.0, 1157.0, 36.0], shoonya_0s0E3GWXFVOD5B, 5687418]
[paragraph, [247.0, 1078.0, 1154.0, 36.0], shoonya_1s119NHDUZY4PL, 5687418]
[paragraph, [247.0, 1114.0, 1154.0, 36.0], shoonya_1s119NHDUZY4PL, 5687418]
[paragraph, [247.0, 1150.0, 1154.0, 36.0], shoonya_1s119NHDUZY4PL, 5687418]
[paragraph, [247.0, 1186.0, 1154.0, 36.0], shoonya_1s119NHDUZY4PL, 5687418]
[paragraph, [247.0, 1222.0, 1154.0, 36.0], shoonya_1s119NHDUZY4PL, 5687418]
[paragraph, [247.0, 1258.0, 1154.0, 36.0], shoonya_1s119NHDUZY4PL, 5687418]
[paragraph, [247.0, 1294.0, 1154.0, 36.0], shoonya_1s119NHDUZY4PL, 5687418]
[paragraph, [247.0, 1330.0, 1154.0, 36.0], shoonya_1s119NHDUZY4PL, 5687418]
[paragraph, [247.0, 1366.0, 1154.0, 36.0], shoonya_1s119NHDUZY4PL, 5687418]
[paragraph, [247.0, 1402.0, 1154.0, 36.0], shoonya_1s119NHDUZY4PL, 5687418]
[paragraph, [247.0, 1438.0, 1154.0, 36.0], shoonya_1s119NHDUZY4PL, 5687418]
[paragraph, [247.0, 1474.0, 1154.0, 36.0], shoonya_1s119NHDUZY4PL, 5687418]
[paragraph, [247.0, 1510.0, 1154.0, 36.0], shoonya_1s119NHDUZY4PL, 5687418]
[paragraph, [247.0, 1546.0, 1154.0, 36.0], shoonya_1s119NHDUZY4PL, 5687418]
[paragraph, [247.0, 1582.0, 1154.0, 36.0], shoonya_1s119NHDUZY4PL, 5687418]
[paragraph, [247.0, 1618.0, 1154.0, 36.0], shoonya_1s119NHDUZY4PL, 5687418]
[paragraph, [247.0, 1654.0, 1154.0, 36.0], shoonya_1s119NHDUZY4PL, 5687418]
[paragraph, [247.0, 1690.0, 1154.0, 36.0], shoonya_1s119NHDUZY4PL, 5687418]
[paragraph, [247.0, 1726.0, 1154.0, 36.0], shoonya_1s119NHDUZY4PL, 5687418]
[paragraph, [247.0, 1762.0, 1154.0, 36.0], shoonya_1s119NHDUZY4PL, 5687418]
[paragraph, [247.0, 1798.0, 1154.0, 36.0], shoonya_1s119NHDUZY4PL, 5687418]
[paragraph, [247.0, 1834.0, 1154.0, 36.0], shoonya_1s119NHDUZY4PL, 5687418]
[paragraph, [247.0, 1870.0, 1154.0, 36.0], shoonya_1s119NHDUZY4PL, 5687418]
[paragraph, [247.0, 1906.0, 1154.0, 36.0], shoonya_1s119NHDUZY4PL, 5687418]
[paragraph, [247.0, 1942.0, 1154.0, 36.0], shoonya_1s119NHDUZY4PL, 5687418]
[paragraph, [247.0, 1978.0, 1154.0, 36.0], shoonya_1s119NHDUZY4PL, 5687418]
[paragraph, [247.0, 2014.0, 1154.0, 36.0], shoonya_1s119NHDUZY4PL, 5687418]
[paragraph, [247.0, 2050.0, 1154.0, 36.0], shoonya_1s119NHDUZY4PL, 5687418]
