[1755, 1240]
[section-title, [200.0, 281.0, 257.0, 49.5], shoonya_0sZO0719XN8UGY, 5778580]
[paragraph, [195.0, 335.0, 901.0, 36.0], n452EXuWVo, 5778580]
[paragraph, [195.0, 371.0, 901.0, 36.0], n452EXuWVo, 5778580]
[paragraph, [195.0, 407.0, 901.0, 36.0], n452EXuWVo, 5778580]
[paragraph, [193.0, 488.0, 839.0, 36.0], oS_mj4VRDJ, 5778580]
[paragraph, [200.0, 565.0, 837.0, 36.0], MxwIxDGzuV, 5778580]
[paragraph, [200.0, 601.0, 837.0, 36.0], MxwIxDGzuV, 5778580]
[paragraph, [200.0, 637.0, 837.0, 36.0], MxwIxDGzuV, 5778580]
[sub-section-title, [197.0, 713.0, 165.0, 36.0], UQVjH5ydi4, 5778580]
[reference, [160.0, 750.0, 878.0, 36.0], hpx1vUk5PK, 5778580]
[reference, [160.0, 786.0, 878.0, 36.0], hpx1vUk5PK, 5778580]
[reference, [160.0, 822.0, 878.0, 36.0], hpx1vUk5PK, 5778580]
[reference, [160.0, 858.0, 878.0, 36.0], hpx1vUk5PK, 5778580]
[reference, [160.0, 894.0, 878.0, 36.0], hpx1vUk5PK, 5778580]
[reference, [160.0, 930.0, 878.0, 36.0], hpx1vUk5PK, 5778580]
[reference, [160.0, 966.0, 878.0, 36.0], hpx1vUk5PK, 5778580]
[reference, [160.0, 1002.0, 878.0, 36.0], hpx1vUk5PK, 5778580]
[reference, [160.0, 1038.0, 878.0, 36.0], hpx1vUk5PK, 5778580]
[reference, [160.0, 1074.0, 878.0, 36.0], hpx1vUk5PK, 5778580]
[reference, [160.0, 1110.0, 878.0, 36.0], hpx1vUk5PK, 5778580]
[reference, [160.0, 1146.0, 878.0, 36.0], hpx1vUk5PK, 5778580]
[reference, [160.0, 1182.0, 878.0, 36.0], hpx1vUk5PK, 5778580]
[reference, [160.0, 1218.0, 878.0, 36.0], hpx1vUk5PK, 5778580]
[reference, [160.0, 1254.0, 878.0, 36.0], hpx1vUk5PK, 5778580]
[reference, [160.0, 1290.0, 878.0, 36.0], hpx1vUk5PK, 5778580]
[reference, [160.0, 1326.0, 878.0, 36.0], hpx1vUk5PK, 5778580]
[reference, [160.0, 1362.0, 878.0, 36.0], hpx1vUk5PK, 5778580]
[reference, [160.0, 1398.0, 878.0, 36.0], hpx1vUk5PK, 5778580]
