[2339, 1653]
[paragraph, [237.0, 209.0, 1179.0, 36.0], shoonya_0s6WLOROBA4VGH, 5686032]
[paragraph, [237.0, 245.0, 1179.0, 36.0], shoonya_0s6WLOROBA4VGH, 5686032]
[paragraph, [237.0, 281.0, 1179.0, 36.0], shoonya_0s6WLOROBA4VGH, 5686032]
[paragraph, [237.0, 317.0, 1179.0, 36.0], shoonya_0s6WLOROBA4VGH, 5686032]
[paragraph, [237.0, 353.0, 1179.0, 36.0], shoonya_0s6WLOROBA4VGH, 5686032]
[paragraph, [237.0, 389.0, 1179.0, 36.0], shoonya_0s6WLOROBA4VGH, 5686032]
[paragraph, [237.0, 425.0, 1179.0, 36.0], shoonya_0s6WLOROBA4VGH, 5686032]
[paragraph, [237.0, 461.0, 1179.0, 36.0], shoonya_0s6WLOROBA4VGH, 5686032]
[paragraph, [237.0, 497.0, 1179.0, 36.0], shoonya_0s6WLOROBA4VGH, 5686032]
[paragraph, [237.0, 533.0, 1179.0, 36.0], shoonya_0s6WLOROBA4VGH, 5686032]
[paragraph, [237.0, 569.0, 1179.0, 36.0], shoonya_0s6WLOROBA4VGH, 5686032]
[paragraph, [237.0, 605.0, 1179.0, 36.0], shoonya_0s6WLOROBA4VGH, 5686032]
[paragraph, [237.0, 641.0, 1179.0, 36.0], shoonya_0s6WLOROBA4VGH, 5686032]
[paragraph, [237.0, 677.0, 1179.0, 36.0], shoonya_0s6WLOROBA4VGH, 5686032]
[paragraph, [237.0, 713.0, 1179.0, 36.0], shoonya_0s6WLOROBA4VGH, 5686032]
[paragraph, [237.0, 749.0, 1179.0, 36.0], shoonya_0s6WLOROBA4VGH, 5686032]
[paragraph, [234.0, 808.0, 1186.0, 36.0], shoonya_1sHOA5RIZUJ179, 5686032]
[paragraph, [234.0, 844.0, 1186.0, 36.0], shoonya_1sHOA5RIZUJ179, 5686032]
[paragraph, [234.0, 880.0, 1186.0, 36.0], shoonya_1sHOA5RIZUJ179, 5686032]
[paragraph, [234.0, 916.0, 1186.0, 36.0], shoonya_1sHOA5RIZUJ179, 5686032]
[paragraph, [234.0, 952.0, 1186.0, 36.0], shoonya_1sHOA5RIZUJ179, 5686032]
[paragraph, [234.0, 988.0, 1186.0, 36.0], shoonya_1sHOA5RIZUJ179, 5686032]
[paragraph, [234.0, 1024.0, 1186.0, 36.0], shoonya_1sHOA5RIZUJ179, 5686032]
[paragraph, [234.0, 1060.0, 1186.0, 36.0], shoonya_1sHOA5RIZUJ179, 5686032]
[paragraph, [234.0, 1096.0, 1186.0, 36.0], shoonya_1sHOA5RIZUJ179, 5686032]
[paragraph, [234.0, 1132.0, 1186.0, 36.0], shoonya_1sHOA5RIZUJ179, 5686032]
