[2000, 1414]
[headline, [81.0, 69.0, 800.0, 67.5], shoonya_1sB3IYQN4U6N10, 6515412]
[headline, [81.0, 136.5, 800.0, 67.5], shoonya_1sB3IYQN4U6N10, 6515412]
[headline, [81.0, 204.0, 800.0, 67.5], shoonya_1sB3IYQN4U6N10, 6515412]
[headline, [81.0, 271.5, 800.0, 67.5], shoonya_1sB3IYQN4U6N10, 6515412]
[headline, [81.0, 339.0, 800.0, 67.5], shoonya_1sB3IYQN4U6N10, 6515412]
[headline, [81.0, 406.5, 800.0, 67.5], shoonya_1sB3IYQN4U6N10, 6515412]
[headline, [81.0, 474.0, 800.0, 67.5], shoonya_1sB3IYQN4U6N10, 6515412]
[unordered-list, [72.0, 891.0, 1142.0, 36.0], JN3tByKD7Y, 6515412]
[unordered-list, [72.0, 927.0, 1142.0, 36.0], JN3tByKD7Y, 6515412]
[unordered-list, [72.0, 963.0, 1142.0, 36.0], JN3tByKD7Y, 6515412]
[unordered-list, [72.0, 999.0, 1142.0, 36.0], JN3tByKD7Y, 6515412]
[unordered-list, [72.0, 1035.0, 1142.0, 36.0], JN3tByKD7Y, 6515412]
[unordered-list, [72.0, 1071.0, 1142.0, 36.0], JN3tByKD7Y, 6515412]
[unordered-list, [72.0, 1107.0, 1142.0, 36.0], JN3tByKD7Y, 6515412]
[unordered-list, [72.0, 1143.0, 1142.0, 36.0], JN3tByKD7Y, 6515412]
[unordered-list, [72.0, 1179.0, 1142.0, 36.0], JN3tByKD7Y, 6515412]
[unordered-list, [72.0, 1215.0, 1142.0, 36.0], JN3tByKD7Y, 6515412]
[unordered-list, [72.0, 1251.0, 1142.0, 36.0], JN3tByKD7Y, 6515412]
[unordered-list, [72.0, 1287.0, 1142.0, 36.0], JN3tByKD7Y, 6515412]
[unordered-list, [72.0, 1323.0, 1142.0, 36.0], JN3tByKD7Y, 6515412]
[unordered-list, [72.0, 1359.0, 1142.0, 36.0], JN3tByKD7Y, 6515412]
[unordered-list, [72.0, 1395.0, 1142.0, 36.0], JN3tByKD7Y, 6515412]
[unordered-list, [72.0, 1431.0, 1142.0, 36.0], JN3tByKD7Y, 6515412]
[unordered-list, [72.0, 1467.0, 1142.0, 36.0], JN3tByKD7Y, 6515412]
[unordered-list, [72.0, 1503.0, 1142.0, 36.0], JN3tByKD7Y, 6515412]
[unordered-list, [72.0, 1539.0, 1142.0, 36.0], JN3tByKD7Y, 6515412]
[unordered-list, [72.0, 1575.0, 1142.0, 36.0], JN3tByKD7Y, 6515412]
[unordered-list, [72.0, 1611.0, 1142.0, 36.0], JN3tByKD7Y, 6515412]
[unordered-list, [72.0, 1647.0, 1142.0, 36.0], JN3tByKD7Y, 6515412]
[unordered-list, [72.0, 1683.0, 1142.0, 36.0], JN3tByKD7Y, 6515412]
[unordered-list, [72.0, 1719.0, 1142.0, 36.0], JN3tByKD7Y, 6515412]
[unordered-list, [72.0, 1755.0, 1142.0, 36.0], JN3tByKD7Y, 6515412]
[unordered-list, [72.0, 1791.0, 1142.0, 36.0], JN3tByKD7Y, 6515412]
