[842, 595]
[folio, [135.0, 20.0, 346.0, 18.0], shoonya_0sKS83HSSN0SYN, 5757631]
[folio, [135.0, 38.0, 346.0, 18.0], shoonya_0sKS83HSSN0SYN, 5757631]
[options, [362.0, 67.0, 72.0, 18.0], KcL8drE3A0, 5757631]
[options, [362.0, 85.0, 72.0, 18.0], KcL8drE3A0, 5757631]
[options, [362.0, 103.0, 72.0, 18.0], KcL8drE3A0, 5757631]
[options, [362.0, 121.0, 72.0, 18.0], KcL8drE3A0, 5757631]
[options, [362.0, 139.0, 72.0, 18.0], KcL8drE3A0, 5757631]
[options, [116.0, 110.0, 168.0, 18.0], 1OR_6g6RCW, 5757631]
[options, [116.0, 128.0, 168.0, 18.0], 1OR_6g6RCW, 5757631]
[options, [116.0, 146.0, 168.0, 18.0], 1OR_6g6RCW, 5757631]
[options, [116.0, 164.0, 168.0, 18.0], 1OR_6g6RCW, 5757631]
[options, [116.0, 182.0, 168.0, 18.0], 1OR_6g6RCW, 5757631]
[options, [359.0, 219.0, 67.0, 18.0], cJSWmQM5CE, 5757631]
[options, [359.0, 237.0, 67.0, 18.0], cJSWmQM5CE, 5757631]
[options, [359.0, 255.0, 67.0, 18.0], cJSWmQM5CE, 5757631]
[options, [359.0, 273.0, 67.0, 18.0], cJSWmQM5CE, 5757631]
[options, [359.0, 291.0, 67.0, 18.0], cJSWmQM5CE, 5757631]
[options, [120.0, 267.0, 59.0, 18.0], fpMGkANm_f, 5757631]
[options, [120.0, 285.0, 59.0, 18.0], fpMGkANm_f, 5757631]
[options, [120.0, 303.0, 59.0, 18.0], fpMGkANm_f, 5757631]
[options, [120.0, 321.0, 59.0, 18.0], fpMGkANm_f, 5757631]
[options, [120.0, 339.0, 59.0, 18.0], fpMGkANm_f, 5757631]
[options, [362.0, 373.0, 91.0, 18.0], nS2cz2-6pY, 5757631]
[options, [362.0, 391.0, 91.0, 18.0], nS2cz2-6pY, 5757631]
[options, [362.0, 409.0, 91.0, 18.0], nS2cz2-6pY, 5757631]
[options, [362.0, 427.0, 91.0, 18.0], nS2cz2-6pY, 5757631]
[options, [362.0, 445.0, 91.0, 18.0], nS2cz2-6pY, 5757631]
[options, [122.0, 399.0, 67.0, 18.0], q1azYqOnlP, 5757631]
[options, [122.0, 417.0, 67.0, 18.0], q1azYqOnlP, 5757631]
[options, [122.0, 435.0, 67.0, 18.0], q1azYqOnlP, 5757631]
[options, [122.0, 453.0, 67.0, 18.0], q1azYqOnlP, 5757631]
[options, [117.0, 528.0, 57.0, 18.0], ib7CT4ZcyT, 5757631]
[options, [117.0, 546.0, 57.0, 18.0], ib7CT4ZcyT, 5757631]
[options, [117.0, 564.0, 57.0, 18.0], ib7CT4ZcyT, 5757631]
[options, [117.0, 582.0, 57.0, 18.0], ib7CT4ZcyT, 5757631]
[options, [364.0, 554.0, 75.0, 18.0], Awajum_oqc, 5757631]
[options, [364.0, 572.0, 75.0, 18.0], Awajum_oqc, 5757631]
[options, [364.0, 590.0, 75.0, 18.0], Awajum_oqc, 5757631]
[options, [364.0, 608.0, 75.0, 18.0], Awajum_oqc, 5757631]
[options, [118.0, 659.0, 74.0, 18.0], c_yvyDXE2a, 5757631]
[options, [118.0, 677.0, 74.0, 18.0], c_yvyDXE2a, 5757631]
[options, [118.0, 695.0, 74.0, 18.0], c_yvyDXE2a, 5757631]
[options, [118.0, 713.0, 74.0, 18.0], c_yvyDXE2a, 5757631]
[options, [118.0, 731.0, 74.0, 18.0], c_yvyDXE2a, 5757631]
[options, [365.0, 683.0, 62.0, 18.0], 3rqK2I2znc, 5757631]
[options, [365.0, 701.0, 62.0, 18.0], 3rqK2I2znc, 5757631]
[options, [365.0, 719.0, 62.0, 18.0], 3rqK2I2znc, 5757631]
[options, [365.0, 737.0, 62.0, 18.0], 3rqK2I2znc, 5757631]
[options, [365.0, 755.0, 62.0, 18.0], 3rqK2I2znc, 5757631]
