[2339, 1653]
[folio, [243.0, 322.0, 311.0, 36.0], 0i6_LjsT1N, 5735420]
[folio, [1269.0, 334.0, 148.0, 36.0], cgdAS_tVXc, 5735420]
[paragraph, [831.0, 387.0, 588.0, 36.0], Nv_s_KbxlC, 5735420]
[paragraph, [831.0, 423.0, 588.0, 36.0], Nv_s_KbxlC, 5735420]
[paragraph, [831.0, 459.0, 588.0, 36.0], Nv_s_KbxlC, 5735420]
[paragraph, [831.0, 495.0, 588.0, 36.0], Nv_s_KbxlC, 5735420]
[paragraph, [831.0, 531.0, 588.0, 36.0], Nv_s_KbxlC, 5735420]
[paragraph, [831.0, 567.0, 588.0, 36.0], Nv_s_KbxlC, 5735420]
[paragraph, [831.0, 603.0, 588.0, 36.0], Nv_s_KbxlC, 5735420]
[paragraph, [831.0, 639.0, 588.0, 36.0], Nv_s_KbxlC, 5735420]
[paragraph, [831.0, 675.0, 588.0, 36.0], Nv_s_KbxlC, 5735420]
[paragraph, [831.0, 711.0, 588.0, 36.0], Nv_s_KbxlC, 5735420]
[paragraph, [831.0, 747.0, 588.0, 36.0], Nv_s_KbxlC, 5735420]
[paragraph, [831.0, 783.0, 588.0, 36.0], Nv_s_KbxlC, 5735420]
[paragraph, [831.0, 819.0, 588.0, 36.0], Nv_s_KbxlC, 5735420]
[paragraph, [831.0, 855.0, 588.0, 36.0], Nv_s_KbxlC, 5735420]
[paragraph, [831.0, 891.0, 588.0, 36.0], Nv_s_KbxlC, 5735420]
[paragraph, [831.0, 927.0, 588.0, 36.0], Nv_s_KbxlC, 5735420]
[paragraph, [831.0, 963.0, 588.0, 36.0], Nv_s_KbxlC, 5735420]
[paragraph, [831.0, 999.0, 588.0, 36.0], Nv_s_KbxlC, 5735420]
[paragraph, [831.0, 1035.0, 588.0, 36.0], Nv_s_KbxlC, 5735420]
[paragraph, [831.0, 1071.0, 588.0, 36.0], Nv_s_KbxlC, 5735420]
[paragraph, [831.0, 1107.0, 588.0, 36.0], Nv_s_KbxlC, 5735420]
[paragraph, [831.0, 1143.0, 588.0, 36.0], Nv_s_KbxlC, 5735420]
[paragraph, [831.0, 1179.0, 588.0, 36.0], Nv_s_KbxlC, 5735420]
[paragraph, [236.0, 388.0, 580.0, 36.0], shoonya_3sKRWNLJP6FL0F, 5735420]
[paragraph, [236.0, 424.0, 580.0, 36.0], shoonya_3sKRWNLJP6FL0F, 5735420]
[paragraph, [236.0, 460.0, 580.0, 36.0], shoonya_3sKRWNLJP6FL0F, 5735420]
[paragraph, [236.0, 496.0, 580.0, 36.0], shoonya_3sKRWNLJP6FL0F, 5735420]
[paragraph, [236.0, 532.0, 580.0, 36.0], shoonya_3sKRWNLJP6FL0F, 5735420]
[paragraph, [236.0, 568.0, 580.0, 36.0], shoonya_3sKRWNLJP6FL0F, 5735420]
[paragraph, [236.0, 604.0, 580.0, 36.0], shoonya_3sKRWNLJP6FL0F, 5735420]
[paragraph, [236.0, 640.0, 580.0, 36.0], shoonya_3sKRWNLJP6FL0F, 5735420]
[sidebar, [55.0, 441.0, 144.0, 36.0], 5OwFkgwdkm, 5735420]
[author, [633.0, 702.0, 181.0, 36.0], shoonya_6sJU5BEHBA0KOX, 5735420]
[paragraph, [229.0, 840.0, 173.0, 36.0], ljd6gYg6il, 5735420]
[paragraph, [489.0, 927.0, 325.0, 36.0], shoonya_4sYXRYTDSK533C, 5735420]
[paragraph, [489.0, 963.0, 325.0, 36.0], shoonya_4sYXRYTDSK533C, 5735420]
[paragraph, [489.0, 999.0, 325.0, 36.0], shoonya_4sYXRYTDSK533C, 5735420]
[paragraph, [489.0, 1035.0, 325.0, 36.0], shoonya_4sYXRYTDSK533C, 5735420]
[paragraph, [489.0, 1071.0, 325.0, 36.0], shoonya_4sYXRYTDSK533C, 5735420]
[paragraph, [489.0, 1107.0, 325.0, 36.0], shoonya_4sYXRYTDSK533C, 5735420]
[paragraph, [489.0, 1143.0, 325.0, 36.0], shoonya_4sYXRYTDSK533C, 5735420]
[paragraph, [489.0, 1179.0, 325.0, 36.0], shoonya_4sYXRYTDSK533C, 5735420]
[paragraph, [489.0, 1215.0, 325.0, 36.0], shoonya_4sYXRYTDSK533C, 5735420]
[author, [1232.0, 1232.0, 183.0, 36.0], shoonya_10s4RZEVN4NS58, 5735420]
[paragraph, [235.0, 1279.0, 581.0, 36.0], shoonya_1sNNB0FMNSV7YI, 5735420]
[paragraph, [235.0, 1315.0, 581.0, 36.0], shoonya_1sNNB0FMNSV7YI, 5735420]
[paragraph, [235.0, 1351.0, 581.0, 36.0], shoonya_1sNNB0FMNSV7YI, 5735420]
[paragraph, [235.0, 1387.0, 581.0, 36.0], shoonya_1sNNB0FMNSV7YI, 5735420]
[paragraph, [235.0, 1423.0, 581.0, 36.0], shoonya_1sNNB0FMNSV7YI, 5735420]
[paragraph, [235.0, 1459.0, 581.0, 36.0], shoonya_1sNNB0FMNSV7YI, 5735420]
[paragraph, [235.0, 1495.0, 581.0, 36.0], shoonya_1sNNB0FMNSV7YI, 5735420]
[paragraph, [235.0, 1531.0, 581.0, 36.0], shoonya_1sNNB0FMNSV7YI, 5735420]
[paragraph, [235.0, 1567.0, 581.0, 36.0], shoonya_1sNNB0FMNSV7YI, 5735420]
[paragraph, [235.0, 1603.0, 581.0, 36.0], shoonya_1sNNB0FMNSV7YI, 5735420]
[paragraph, [235.0, 1639.0, 581.0, 36.0], shoonya_1sNNB0FMNSV7YI, 5735420]
[paragraph, [235.0, 1675.0, 581.0, 36.0], shoonya_1sNNB0FMNSV7YI, 5735420]
[paragraph, [235.0, 1711.0, 581.0, 36.0], shoonya_1sNNB0FMNSV7YI, 5735420]
[paragraph, [235.0, 1747.0, 581.0, 36.0], shoonya_1sNNB0FMNSV7YI, 5735420]
