[1200, 825]
[paragraph, [136.0, 100.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 118.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 136.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 154.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 172.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 190.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 208.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 226.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 244.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 262.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 280.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 298.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 316.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 334.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 352.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 370.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 388.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 406.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 424.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 442.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 460.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 478.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 496.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 514.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 532.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 550.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 568.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 586.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 604.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 622.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 640.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 658.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 676.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 694.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 712.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 730.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 748.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 766.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 784.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 802.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 820.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 838.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 856.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 874.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 892.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [136.0, 910.0, 549.0, 18.0], shoonya_0s3AW4BFC4PQQJ, 5691420]
[paragraph, [132.0, 941.0, 554.0, 18.0], shoonya_1s32ITC77NBRPX, 5691420]
[paragraph, [132.0, 959.0, 554.0, 18.0], shoonya_1s32ITC77NBRPX, 5691420]
[paragraph, [132.0, 977.0, 554.0, 18.0], shoonya_1s32ITC77NBRPX, 5691420]
[paragraph, [132.0, 995.0, 554.0, 18.0], shoonya_1s32ITC77NBRPX, 5691420]
[paragraph, [132.0, 1013.0, 554.0, 18.0], shoonya_1s32ITC77NBRPX, 5691420]
[paragraph, [132.0, 1031.0, 554.0, 18.0], shoonya_1s32ITC77NBRPX, 5691420]
