[1468, 909]
[folio, [349.0, 72.0, 187.0, 18.0], c-hnfRv_N8, 5770485]
[folio, [349.0, 90.0, 187.0, 18.0], c-hnfRv_N8, 5770485]
[paragraph, [494.0, 144.0, 338.0, 18.0], yH6L9XquJ4, 5770485]
[paragraph, [494.0, 162.0, 338.0, 18.0], yH6L9XquJ4, 5770485]
[paragraph, [494.0, 180.0, 338.0, 18.0], yH6L9XquJ4, 5770485]
[paragraph, [494.0, 198.0, 338.0, 18.0], yH6L9XquJ4, 5770485]
[paragraph, [494.0, 216.0, 338.0, 18.0], yH6L9XquJ4, 5770485]
[paragraph, [494.0, 234.0, 338.0, 18.0], yH6L9XquJ4, 5770485]
[paragraph, [494.0, 252.0, 338.0, 18.0], yH6L9XquJ4, 5770485]
[paragraph, [100.0, 148.0, 351.0, 18.0], 7R1R4WFY10, 5770485]
[paragraph, [100.0, 166.0, 351.0, 18.0], 7R1R4WFY10, 5770485]
[paragraph, [100.0, 184.0, 351.0, 18.0], 7R1R4WFY10, 5770485]
[paragraph, [79.0, 202.0, 381.0, 18.0], blgS0RAY0p, 5770485]
[paragraph, [79.0, 220.0, 381.0, 18.0], blgS0RAY0p, 5770485]
[paragraph, [79.0, 238.0, 381.0, 18.0], blgS0RAY0p, 5770485]
[paragraph, [79.0, 256.0, 381.0, 18.0], blgS0RAY0p, 5770485]
[paragraph, [465.0, 263.0, 47.0, 18.0], hwfE5MFEoa, 5770485]
[paragraph, [84.0, 292.0, 372.0, 18.0], W5qnpqLa3z, 5770485]
[paragraph, [84.0, 310.0, 372.0, 18.0], W5qnpqLa3z, 5770485]
[paragraph, [84.0, 328.0, 372.0, 18.0], W5qnpqLa3z, 5770485]
[paragraph, [84.0, 346.0, 372.0, 18.0], W5qnpqLa3z, 5770485]
[paragraph, [84.0, 364.0, 372.0, 18.0], W5qnpqLa3z, 5770485]
[paragraph, [84.0, 382.0, 372.0, 18.0], W5qnpqLa3z, 5770485]
[paragraph, [84.0, 400.0, 372.0, 18.0], W5qnpqLa3z, 5770485]
[paragraph, [84.0, 418.0, 372.0, 18.0], W5qnpqLa3z, 5770485]
[paragraph, [84.0, 436.0, 372.0, 18.0], W5qnpqLa3z, 5770485]
[paragraph, [84.0, 454.0, 372.0, 18.0], W5qnpqLa3z, 5770485]
[paragraph, [84.0, 472.0, 372.0, 18.0], W5qnpqLa3z, 5770485]
[paragraph, [84.0, 490.0, 372.0, 18.0], W5qnpqLa3z, 5770485]
[paragraph, [84.0, 508.0, 372.0, 18.0], W5qnpqLa3z, 5770485]
[paragraph, [84.0, 526.0, 372.0, 18.0], W5qnpqLa3z, 5770485]
[paragraph, [84.0, 544.0, 372.0, 18.0], W5qnpqLa3z, 5770485]
[paragraph, [84.0, 562.0, 372.0, 18.0], W5qnpqLa3z, 5770485]
[paragraph, [84.0, 580.0, 372.0, 18.0], W5qnpqLa3z, 5770485]
[paragraph, [84.0, 598.0, 372.0, 18.0], W5qnpqLa3z, 5770485]
[paragraph, [84.0, 616.0, 372.0, 18.0], W5qnpqLa3z, 5770485]
[paragraph, [84.0, 634.0, 372.0, 18.0], W5qnpqLa3z, 5770485]
[paragraph, [84.0, 652.0, 372.0, 18.0], W5qnpqLa3z, 5770485]
[paragraph, [84.0, 670.0, 372.0, 18.0], W5qnpqLa3z, 5770485]
[paragraph, [494.0, 293.0, 333.0, 18.0], H3_dG2nChl, 5770485]
[paragraph, [494.0, 311.0, 333.0, 18.0], H3_dG2nChl, 5770485]
[paragraph, [494.0, 329.0, 333.0, 18.0], H3_dG2nChl, 5770485]
[paragraph, [494.0, 347.0, 333.0, 18.0], H3_dG2nChl, 5770485]
[paragraph, [494.0, 365.0, 333.0, 18.0], H3_dG2nChl, 5770485]
[paragraph, [494.0, 383.0, 333.0, 18.0], H3_dG2nChl, 5770485]
[paragraph, [461.0, 412.0, 365.0, 18.0], Y0cQyYc2wR, 5770485]
[paragraph, [461.0, 430.0, 365.0, 18.0], Y0cQyYc2wR, 5770485]
[paragraph, [461.0, 448.0, 365.0, 18.0], Y0cQyYc2wR, 5770485]
[paragraph, [461.0, 466.0, 365.0, 18.0], Y0cQyYc2wR, 5770485]
[paragraph, [461.0, 484.0, 365.0, 18.0], Y0cQyYc2wR, 5770485]
[paragraph, [461.0, 502.0, 365.0, 18.0], Y0cQyYc2wR, 5770485]
[paragraph, [461.0, 530.0, 373.0, 18.0], hHJwAqmjKn, 5770485]
[paragraph, [461.0, 548.0, 373.0, 18.0], hHJwAqmjKn, 5770485]
[paragraph, [461.0, 566.0, 373.0, 18.0], hHJwAqmjKn, 5770485]
[paragraph, [461.0, 584.0, 373.0, 18.0], hHJwAqmjKn, 5770485]
[paragraph, [461.0, 602.0, 373.0, 18.0], hHJwAqmjKn, 5770485]
[paragraph, [461.0, 620.0, 373.0, 18.0], hHJwAqmjKn, 5770485]
[paragraph, [461.0, 638.0, 373.0, 18.0], hHJwAqmjKn, 5770485]
[paragraph, [461.0, 656.0, 373.0, 18.0], hHJwAqmjKn, 5770485]
[paragraph, [461.0, 674.0, 373.0, 18.0], hHJwAqmjKn, 5770485]
[paragraph, [461.0, 692.0, 373.0, 18.0], hHJwAqmjKn, 5770485]
[paragraph, [461.0, 710.0, 373.0, 18.0], hHJwAqmjKn, 5770485]
[paragraph, [461.0, 728.0, 373.0, 18.0], hHJwAqmjKn, 5770485]
[paragraph, [461.0, 746.0, 373.0, 18.0], hHJwAqmjKn, 5770485]
[paragraph, [461.0, 764.0, 373.0, 18.0], hHJwAqmjKn, 5770485]
[paragraph, [461.0, 782.0, 373.0, 18.0], hHJwAqmjKn, 5770485]
[paragraph, [461.0, 800.0, 373.0, 18.0], hHJwAqmjKn, 5770485]
