[1300, 900]
[folio, [405.0, 25.0, 117.0, 18.0], _lTipGJ0Px, 5732674]
[folio, [405.0, 43.0, 117.0, 18.0], _lTipGJ0Px, 5732674]
[paragraph, [111.0, 90.0, 695.0, 18.0], shoonya_8sTN5GM2C3JXSI, 5732674]
[paragraph, [111.0, 108.0, 695.0, 18.0], shoonya_8sTN5GM2C3JXSI, 5732674]
[paragraph, [111.0, 147.0, 692.0, 18.0], shoonya_2sA39JPDF9CAM3, 5732674]
[paragraph, [111.0, 165.0, 692.0, 18.0], shoonya_2sA39JPDF9CAM3, 5732674]
[paragraph, [111.0, 183.0, 692.0, 18.0], shoonya_2sA39JPDF9CAM3, 5732674]
[paragraph, [111.0, 201.0, 692.0, 18.0], shoonya_2sA39JPDF9CAM3, 5732674]
[paragraph, [111.0, 219.0, 692.0, 18.0], shoonya_2sA39JPDF9CAM3, 5732674]
[paragraph, [111.0, 237.0, 692.0, 18.0], shoonya_2sA39JPDF9CAM3, 5732674]
[paragraph, [111.0, 255.0, 692.0, 18.0], shoonya_2sA39JPDF9CAM3, 5732674]
[paragraph, [113.0, 280.0, 694.0, 18.0], shoonya_1sZ9XKM43D8QKB, 5732674]
[paragraph, [113.0, 298.0, 694.0, 18.0], shoonya_1sZ9XKM43D8QKB, 5732674]
[paragraph, [113.0, 316.0, 694.0, 18.0], shoonya_1sZ9XKM43D8QKB, 5732674]
[paragraph, [113.0, 334.0, 694.0, 18.0], shoonya_1sZ9XKM43D8QKB, 5732674]
[paragraph, [113.0, 352.0, 694.0, 18.0], shoonya_1sZ9XKM43D8QKB, 5732674]
[paragraph, [108.0, 375.0, 701.0, 18.0], shoonya_0sE4XAWYQJALKC, 5732674]
[paragraph, [108.0, 393.0, 701.0, 18.0], shoonya_0sE4XAWYQJALKC, 5732674]
[paragraph, [108.0, 411.0, 701.0, 18.0], shoonya_0sE4XAWYQJALKC, 5732674]
[paragraph, [108.0, 429.0, 701.0, 18.0], shoonya_0sE4XAWYQJALKC, 5732674]
[paragraph, [108.0, 447.0, 701.0, 18.0], shoonya_0sE4XAWYQJALKC, 5732674]
[paragraph, [108.0, 465.0, 701.0, 18.0], shoonya_0sE4XAWYQJALKC, 5732674]
[paragraph, [108.0, 483.0, 701.0, 18.0], shoonya_0sE4XAWYQJALKC, 5732674]
[paragraph, [108.0, 501.0, 701.0, 18.0], shoonya_0sE4XAWYQJALKC, 5732674]
[paragraph, [108.0, 519.0, 701.0, 18.0], shoonya_0sE4XAWYQJALKC, 5732674]
[paragraph, [115.0, 553.0, 693.0, 18.0], shoonya_5sHTAN549ZD6PM, 5732674]
[paragraph, [115.0, 571.0, 693.0, 18.0], shoonya_5sHTAN549ZD6PM, 5732674]
[paragraph, [115.0, 589.0, 693.0, 18.0], shoonya_5sHTAN549ZD6PM, 5732674]
[paragraph, [115.0, 607.0, 693.0, 18.0], shoonya_5sHTAN549ZD6PM, 5732674]
[paragraph, [115.0, 643.0, 693.0, 18.0], shoonya_6s2DBR4XHKDLEN, 5732674]
