[596, 421]
[section-title, [48.0, 21.0, 53.0, 30.0], F66uFA3kx4, 6533979]
[paragraph, [0.0, 70.0, 123.0, 18.0], shoonya_0sLBGRJVOTMZJQ, 6533979]
[paragraph, [0.0, 88.0, 123.0, 18.0], shoonya_0sLBGRJVOTMZJQ, 6533979]
[paragraph, [3.0, 118.0, 126.0, 18.0], sJAfxduC7G, 6533979]
[paragraph, [3.0, 136.0, 126.0, 18.0], sJAfxduC7G, 6533979]
[paragraph, [0.0, 163.0, 133.0, 18.0], tWuimTq2dZ, 6533979]
[paragraph, [0.0, 181.0, 133.0, 18.0], tWuimTq2dZ, 6533979]
[section-title, [175.0, 354.0, 180.0, 30.0], OBKdZdYhaq, 6533979]
[paragraph, [138.0, 406.0, 241.0, 18.0], Kipy1Fl0PT, 6533979]
[paragraph, [138.0, 424.0, 241.0, 18.0], Kipy1Fl0PT, 6533979]
[paragraph, [138.0, 442.0, 241.0, 18.0], Kipy1Fl0PT, 6533979]
[paragraph, [137.0, 466.0, 226.0, 18.0], fIk9A757Bj, 6533979]
[paragraph, [137.0, 484.0, 226.0, 18.0], fIk9A757Bj, 6533979]
[paragraph, [137.0, 502.0, 226.0, 18.0], fIk9A757Bj, 6533979]
