[576, 360]
[folio, [67.0, 32.0, 69.0, 18.0], SSGuDIV6xn, 6515566]
[section-title, [36.0, 55.0, 294.0, 30.0], bCaNkjckDT, 6515566]
[paragraph, [30.0, 146.0, 298.0, 18.0], shoonya_5sWR28KC9Z9REL, 6515566]
[paragraph, [30.0, 164.0, 298.0, 18.0], shoonya_5sWR28KC9Z9REL, 6515566]
[paragraph, [30.0, 182.0, 298.0, 18.0], shoonya_5sWR28KC9Z9REL, 6515566]
[paragraph, [30.0, 200.0, 298.0, 18.0], shoonya_5sWR28KC9Z9REL, 6515566]
[paragraph, [30.0, 218.0, 298.0, 18.0], shoonya_5sWR28KC9Z9REL, 6515566]
[paragraph, [30.0, 236.0, 298.0, 18.0], shoonya_5sWR28KC9Z9REL, 6515566]
[paragraph, [30.0, 254.0, 298.0, 18.0], shoonya_5sWR28KC9Z9REL, 6515566]
[paragraph, [30.0, 272.0, 298.0, 18.0], shoonya_5sWR28KC9Z9REL, 6515566]
[paragraph, [30.0, 290.0, 298.0, 18.0], shoonya_5sWR28KC9Z9REL, 6515566]
[paragraph, [32.0, 341.0, 295.0, 18.0], shoonya_0sXOQSJNFU09UF, 6515566]
[paragraph, [32.0, 359.0, 295.0, 18.0], shoonya_0sXOQSJNFU09UF, 6515566]
[paragraph, [32.0, 377.0, 295.0, 18.0], shoonya_0sXOQSJNFU09UF, 6515566]
[paragraph, [32.0, 395.0, 295.0, 18.0], shoonya_0sXOQSJNFU09UF, 6515566]
[paragraph, [32.0, 413.0, 295.0, 18.0], shoonya_0sXOQSJNFU09UF, 6515566]
[paragraph, [32.0, 431.0, 295.0, 18.0], shoonya_0sXOQSJNFU09UF, 6515566]
[paragraph, [32.0, 449.0, 295.0, 18.0], shoonya_0sXOQSJNFU09UF, 6515566]
[paragraph, [32.0, 467.0, 295.0, 18.0], shoonya_0sXOQSJNFU09UF, 6515566]
[paragraph, [32.0, 485.0, 295.0, 18.0], shoonya_0sXOQSJNFU09UF, 6515566]
[paragraph, [32.0, 503.0, 295.0, 18.0], shoonya_0sXOQSJNFU09UF, 6515566]
