[1162, 749]
[section-title, [292.0, 118.0, 167.0, 30.0], shoonya_6s3DS65ULFCZKR, 5700312]
[sub-section-title, [244.0, 159.0, 249.0, 25.5], aG7Q5WV3Ad, 5700312]
[paragraph, [74.0, 199.0, 615.0, 18.0], 7A_PtXXb1-, 5700312]
[paragraph, [74.0, 217.0, 615.0, 18.0], 7A_PtXXb1-, 5700312]
[paragraph, [74.0, 235.0, 615.0, 18.0], 7A_PtXXb1-, 5700312]
[paragraph, [74.0, 253.0, 615.0, 18.0], 7A_PtXXb1-, 5700312]
[sub-section-title, [229.0, 313.0, 305.0, 25.5], shoonya_10sATF30D61U89, 5700312]
[paragraph, [61.0, 353.0, 622.0, 18.0], shoonya_2sFYUT0PS08YHQ, 5700312]
[paragraph, [61.0, 371.0, 622.0, 18.0], shoonya_2sFYUT0PS08YHQ, 5700312]
[paragraph, [61.0, 389.0, 622.0, 18.0], shoonya_2sFYUT0PS08YHQ, 5700312]
[paragraph, [61.0, 407.0, 622.0, 18.0], shoonya_2sFYUT0PS08YHQ, 5700312]
[paragraph, [61.0, 425.0, 622.0, 18.0], shoonya_2sFYUT0PS08YHQ, 5700312]
[paragraph, [61.0, 443.0, 622.0, 18.0], shoonya_2sFYUT0PS08YHQ, 5700312]
[paragraph, [61.0, 461.0, 622.0, 18.0], shoonya_2sFYUT0PS08YHQ, 5700312]
[paragraph, [61.0, 479.0, 622.0, 18.0], shoonya_2sFYUT0PS08YHQ, 5700312]
[paragraph, [61.0, 497.0, 622.0, 18.0], shoonya_2sFYUT0PS08YHQ, 5700312]
[section-title, [283.0, 536.0, 167.0, 30.0], shoonya_4sX9BULTEP7P3Y, 5700312]
[sub-section-title, [253.0, 581.0, 221.0, 25.5], shoonya_3sCYZOIKKUV0OF, 5700312]
[paragraph, [68.0, 620.0, 615.0, 18.0], shoonya_0s6VYC8GXOE05K, 5700312]
[paragraph, [68.0, 638.0, 615.0, 18.0], shoonya_0s6VYC8GXOE05K, 5700312]
[paragraph, [68.0, 656.0, 615.0, 18.0], shoonya_0s6VYC8GXOE05K, 5700312]
[paragraph, [68.0, 674.0, 615.0, 18.0], shoonya_0s6VYC8GXOE05K, 5700312]
[paragraph, [68.0, 692.0, 615.0, 18.0], shoonya_0s6VYC8GXOE05K, 5700312]
[paragraph, [68.0, 710.0, 615.0, 18.0], shoonya_0s6VYC8GXOE05K, 5700312]
[paragraph, [68.0, 728.0, 615.0, 18.0], shoonya_0s6VYC8GXOE05K, 5700312]
[paragraph, [68.0, 746.0, 615.0, 18.0], shoonya_0s6VYC8GXOE05K, 5700312]
[paragraph, [68.0, 764.0, 615.0, 18.0], shoonya_0s6VYC8GXOE05K, 5700312]
[section-title, [295.0, 801.0, 152.0, 30.0], shoonya_7s8R3QTXTR04M4, 5700312]
[sub-section-title, [239.0, 843.0, 250.0, 25.5], shoonya_8sQPV5LUI73NZQ, 5700312]
[paragraph, [69.0, 883.0, 607.0, 18.0], shoonya_1sMKZ21EY8TV30, 5700312]
[paragraph, [69.0, 901.0, 607.0, 18.0], shoonya_1sMKZ21EY8TV30, 5700312]
[paragraph, [69.0, 919.0, 607.0, 18.0], shoonya_1sMKZ21EY8TV30, 5700312]
[paragraph, [69.0, 937.0, 607.0, 18.0], shoonya_1sMKZ21EY8TV30, 5700312]
[paragraph, [69.0, 955.0, 607.0, 18.0], shoonya_1sMKZ21EY8TV30, 5700312]
[paragraph, [69.0, 973.0, 607.0, 18.0], shoonya_1sMKZ21EY8TV30, 5700312]
[paragraph, [69.0, 991.0, 607.0, 18.0], shoonya_1sMKZ21EY8TV30, 5700312]
[paragraph, [69.0, 1009.0, 607.0, 18.0], shoonya_1sMKZ21EY8TV30, 5700312]
[paragraph, [69.0, 1027.0, 607.0, 18.0], shoonya_1sMKZ21EY8TV30, 5700312]
[paragraph, [69.0, 1045.0, 607.0, 18.0], shoonya_1sMKZ21EY8TV30, 5700312]
[paragraph, [69.0, 1063.0, 607.0, 18.0], shoonya_1sMKZ21EY8TV30, 5700312]
