[1634, 1040]
[folio, [421.0, 94.0, 183.0, 36.0], shoonya_5sPLV2Z0LOPM19, 5730581]
[paragraph, [93.0, 166.0, 850.0, 36.0], shoonya_0sWLSLL2NO85L4, 5730581]
[paragraph, [93.0, 202.0, 850.0, 36.0], shoonya_0sWLSLL2NO85L4, 5730581]
[paragraph, [93.0, 238.0, 850.0, 36.0], shoonya_0sWLSLL2NO85L4, 5730581]
[paragraph, [93.0, 274.0, 850.0, 36.0], shoonya_0sWLSLL2NO85L4, 5730581]
[paragraph, [93.0, 310.0, 850.0, 36.0], shoonya_0sWLSLL2NO85L4, 5730581]
[paragraph, [93.0, 346.0, 850.0, 36.0], shoonya_0sWLSLL2NO85L4, 5730581]
[paragraph, [93.0, 382.0, 850.0, 36.0], shoonya_0sWLSLL2NO85L4, 5730581]
[paragraph, [93.0, 418.0, 850.0, 36.0], shoonya_0sWLSLL2NO85L4, 5730581]
[paragraph, [93.0, 454.0, 850.0, 36.0], shoonya_0sWLSLL2NO85L4, 5730581]
[paragraph, [93.0, 490.0, 850.0, 36.0], shoonya_0sWLSLL2NO85L4, 5730581]
[paragraph, [93.0, 526.0, 850.0, 36.0], shoonya_0sWLSLL2NO85L4, 5730581]
[paragraph, [93.0, 562.0, 850.0, 36.0], shoonya_0sWLSLL2NO85L4, 5730581]
[paragraph, [93.0, 598.0, 850.0, 36.0], shoonya_0sWLSLL2NO85L4, 5730581]
[paragraph, [93.0, 634.0, 850.0, 36.0], shoonya_0sWLSLL2NO85L4, 5730581]
[paragraph, [93.0, 670.0, 850.0, 36.0], shoonya_0sWLSLL2NO85L4, 5730581]
[paragraph, [93.0, 706.0, 850.0, 36.0], shoonya_0sWLSLL2NO85L4, 5730581]
[paragraph, [93.0, 742.0, 850.0, 36.0], shoonya_0sWLSLL2NO85L4, 5730581]
[paragraph, [93.0, 778.0, 850.0, 36.0], shoonya_0sWLSLL2NO85L4, 5730581]
[paragraph, [93.0, 855.0, 851.0, 36.0], shoonya_2s433WD4PIEPP0, 5730581]
[paragraph, [93.0, 891.0, 851.0, 36.0], shoonya_2s433WD4PIEPP0, 5730581]
[paragraph, [93.0, 927.0, 851.0, 36.0], shoonya_2s433WD4PIEPP0, 5730581]
[paragraph, [93.0, 963.0, 851.0, 36.0], shoonya_2s433WD4PIEPP0, 5730581]
[paragraph, [93.0, 999.0, 851.0, 36.0], shoonya_2s433WD4PIEPP0, 5730581]
[paragraph, [93.0, 1035.0, 851.0, 36.0], shoonya_2s433WD4PIEPP0, 5730581]
[paragraph, [93.0, 1071.0, 851.0, 36.0], shoonya_2s433WD4PIEPP0, 5730581]
[paragraph, [93.0, 1107.0, 851.0, 36.0], shoonya_2s433WD4PIEPP0, 5730581]
[paragraph, [93.0, 1143.0, 851.0, 36.0], shoonya_2s433WD4PIEPP0, 5730581]
[paragraph, [95.0, 1223.0, 860.0, 36.0], shoonya_1sJW853C1G1BBX, 5730581]
[paragraph, [95.0, 1259.0, 860.0, 36.0], shoonya_1sJW853C1G1BBX, 5730581]
[paragraph, [95.0, 1295.0, 860.0, 36.0], shoonya_1sJW853C1G1BBX, 5730581]
[paragraph, [95.0, 1331.0, 860.0, 36.0], shoonya_1sJW853C1G1BBX, 5730581]
[paragraph, [95.0, 1367.0, 860.0, 36.0], shoonya_1sJW853C1G1BBX, 5730581]
[paragraph, [95.0, 1403.0, 860.0, 36.0], shoonya_1sJW853C1G1BBX, 5730581]
[paragraph, [95.0, 1439.0, 860.0, 36.0], shoonya_1sJW853C1G1BBX, 5730581]
[paragraph, [95.0, 1475.0, 860.0, 36.0], shoonya_1sJW853C1G1BBX, 5730581]
