[2150, 1329]
[folio, [537.0, 127.0, 274.0, 36.0], L19AMJLtep, 5691836]
[folio, [537.0, 163.0, 274.0, 36.0], L19AMJLtep, 5691836]
[folio, [998.0, 137.0, 204.0, 36.0], 19hiBvqS-k, 5691836]
[paragraph, [377.0, 217.0, 600.0, 36.0], shoonya_0sZWQWP8T2902N, 5691836]
[paragraph, [377.0, 253.0, 600.0, 36.0], shoonya_0sZWQWP8T2902N, 5691836]
[paragraph, [377.0, 289.0, 600.0, 36.0], shoonya_0sZWQWP8T2902N, 5691836]
[paragraph, [377.0, 325.0, 600.0, 36.0], shoonya_0sZWQWP8T2902N, 5691836]
[paragraph, [377.0, 361.0, 600.0, 36.0], shoonya_0sZWQWP8T2902N, 5691836]
[paragraph, [377.0, 397.0, 600.0, 36.0], shoonya_0sZWQWP8T2902N, 5691836]
[paragraph, [377.0, 433.0, 600.0, 36.0], shoonya_0sZWQWP8T2902N, 5691836]
[paragraph, [377.0, 469.0, 600.0, 36.0], shoonya_0sZWQWP8T2902N, 5691836]
[paragraph, [377.0, 505.0, 600.0, 36.0], shoonya_0sZWQWP8T2902N, 5691836]
[paragraph, [377.0, 541.0, 600.0, 36.0], shoonya_0sZWQWP8T2902N, 5691836]
[paragraph, [377.0, 577.0, 600.0, 36.0], shoonya_0sZWQWP8T2902N, 5691836]
[paragraph, [377.0, 613.0, 600.0, 36.0], shoonya_0sZWQWP8T2902N, 5691836]
[paragraph, [377.0, 649.0, 600.0, 36.0], shoonya_0sZWQWP8T2902N, 5691836]
[paragraph, [377.0, 685.0, 600.0, 36.0], shoonya_0sZWQWP8T2902N, 5691836]
[paragraph, [377.0, 721.0, 600.0, 36.0], shoonya_0sZWQWP8T2902N, 5691836]
[paragraph, [377.0, 757.0, 600.0, 36.0], shoonya_0sZWQWP8T2902N, 5691836]
[paragraph, [377.0, 793.0, 600.0, 36.0], shoonya_0sZWQWP8T2902N, 5691836]
[paragraph, [377.0, 829.0, 600.0, 36.0], shoonya_0sZWQWP8T2902N, 5691836]
[paragraph, [367.0, 880.0, 599.0, 36.0], KakT4b4wUQ, 5691836]
[paragraph, [367.0, 916.0, 599.0, 36.0], KakT4b4wUQ, 5691836]
[paragraph, [367.0, 952.0, 599.0, 36.0], KakT4b4wUQ, 5691836]
[paragraph, [367.0, 988.0, 599.0, 36.0], KakT4b4wUQ, 5691836]
[paragraph, [367.0, 1024.0, 599.0, 36.0], KakT4b4wUQ, 5691836]
[paragraph, [367.0, 1060.0, 599.0, 36.0], KakT4b4wUQ, 5691836]
[paragraph, [367.0, 1096.0, 599.0, 36.0], KakT4b4wUQ, 5691836]
[paragraph, [367.0, 1132.0, 599.0, 36.0], KakT4b4wUQ, 5691836]
[paragraph, [367.0, 1168.0, 599.0, 36.0], KakT4b4wUQ, 5691836]
[paragraph, [367.0, 1204.0, 599.0, 36.0], KakT4b4wUQ, 5691836]
[paragraph, [367.0, 1240.0, 599.0, 36.0], KakT4b4wUQ, 5691836]
[paragraph, [367.0, 1276.0, 599.0, 36.0], KakT4b4wUQ, 5691836]
[paragraph, [367.0, 1312.0, 599.0, 36.0], KakT4b4wUQ, 5691836]
[paragraph, [367.0, 1348.0, 599.0, 36.0], KakT4b4wUQ, 5691836]
[paragraph, [367.0, 1384.0, 599.0, 36.0], KakT4b4wUQ, 5691836]
[paragraph, [367.0, 1420.0, 599.0, 36.0], KakT4b4wUQ, 5691836]
[paragraph, [367.0, 1456.0, 599.0, 36.0], KakT4b4wUQ, 5691836]
[paragraph, [367.0, 1492.0, 599.0, 36.0], KakT4b4wUQ, 5691836]
[paragraph, [367.0, 1528.0, 599.0, 36.0], KakT4b4wUQ, 5691836]
[paragraph, [367.0, 1564.0, 599.0, 36.0], KakT4b4wUQ, 5691836]
[paragraph, [367.0, 1600.0, 599.0, 36.0], KakT4b4wUQ, 5691836]
[paragraph, [367.0, 1636.0, 599.0, 36.0], KakT4b4wUQ, 5691836]
[paragraph, [365.0, 1707.0, 640.0, 36.0], OZT07h3tR3, 5691836]
[paragraph, [365.0, 1743.0, 640.0, 36.0], OZT07h3tR3, 5691836]
[paragraph, [365.0, 1779.0, 640.0, 36.0], OZT07h3tR3, 5691836]
[paragraph, [365.0, 1815.0, 640.0, 36.0], OZT07h3tR3, 5691836]
[paragraph, [355.0, 1883.0, 628.0, 36.0], qOJli71zWc, 5691836]
[paragraph, [355.0, 1919.0, 628.0, 36.0], qOJli71zWc, 5691836]
[paragraph, [355.0, 1955.0, 628.0, 36.0], qOJli71zWc, 5691836]
