[2200, 1700]
[paragraph, [305.0, 104.0, 1097.0, 36.0], shoonya_0sD0CYB4FSAKN3, 5731784]
[paragraph, [305.0, 140.0, 1097.0, 36.0], shoonya_0sD0CYB4FSAKN3, 5731784]
[paragraph, [305.0, 176.0, 1097.0, 36.0], shoonya_0sD0CYB4FSAKN3, 5731784]
[paragraph, [305.0, 212.0, 1097.0, 36.0], shoonya_0sD0CYB4FSAKN3, 5731784]
[paragraph, [305.0, 248.0, 1097.0, 36.0], shoonya_0sD0CYB4FSAKN3, 5731784]
[paragraph, [305.0, 284.0, 1097.0, 36.0], shoonya_0sD0CYB4FSAKN3, 5731784]
[paragraph, [305.0, 320.0, 1097.0, 36.0], shoonya_0sD0CYB4FSAKN3, 5731784]
[paragraph, [305.0, 356.0, 1097.0, 36.0], shoonya_0sD0CYB4FSAKN3, 5731784]
[paragraph, [305.0, 392.0, 1097.0, 36.0], shoonya_0sD0CYB4FSAKN3, 5731784]
[paragraph, [305.0, 428.0, 1097.0, 36.0], shoonya_0sD0CYB4FSAKN3, 5731784]
[paragraph, [305.0, 464.0, 1097.0, 36.0], shoonya_0sD0CYB4FSAKN3, 5731784]
[paragraph, [305.0, 500.0, 1097.0, 36.0], shoonya_0sD0CYB4FSAKN3, 5731784]
[paragraph, [305.0, 536.0, 1097.0, 36.0], shoonya_0sD0CYB4FSAKN3, 5731784]
[paragraph, [305.0, 572.0, 1097.0, 36.0], shoonya_0sD0CYB4FSAKN3, 5731784]
[paragraph, [305.0, 608.0, 1097.0, 36.0], shoonya_0sD0CYB4FSAKN3, 5731784]
[paragraph, [305.0, 644.0, 1097.0, 36.0], shoonya_0sD0CYB4FSAKN3, 5731784]
[paragraph, [305.0, 680.0, 1097.0, 36.0], shoonya_0sD0CYB4FSAKN3, 5731784]
[paragraph, [305.0, 716.0, 1097.0, 36.0], shoonya_0sD0CYB4FSAKN3, 5731784]
[paragraph, [305.0, 752.0, 1097.0, 36.0], shoonya_0sD0CYB4FSAKN3, 5731784]
[paragraph, [305.0, 788.0, 1097.0, 36.0], shoonya_0sD0CYB4FSAKN3, 5731784]
[paragraph, [301.0, 844.0, 1106.0, 36.0], shoonya_1s48ZM2WZW0PF3, 5731784]
[paragraph, [301.0, 880.0, 1106.0, 36.0], shoonya_1s48ZM2WZW0PF3, 5731784]
[paragraph, [301.0, 916.0, 1106.0, 36.0], shoonya_1s48ZM2WZW0PF3, 5731784]
[paragraph, [301.0, 952.0, 1106.0, 36.0], shoonya_1s48ZM2WZW0PF3, 5731784]
[paragraph, [301.0, 988.0, 1106.0, 36.0], shoonya_1s48ZM2WZW0PF3, 5731784]
[paragraph, [301.0, 1024.0, 1106.0, 36.0], shoonya_1s48ZM2WZW0PF3, 5731784]
[paragraph, [301.0, 1060.0, 1106.0, 36.0], shoonya_1s48ZM2WZW0PF3, 5731784]
[paragraph, [301.0, 1096.0, 1106.0, 36.0], shoonya_1s48ZM2WZW0PF3, 5731784]
[paragraph, [301.0, 1132.0, 1106.0, 36.0], shoonya_1s48ZM2WZW0PF3, 5731784]
[paragraph, [301.0, 1168.0, 1106.0, 36.0], shoonya_1s48ZM2WZW0PF3, 5731784]
[paragraph, [301.0, 1204.0, 1106.0, 36.0], shoonya_1s48ZM2WZW0PF3, 5731784]
[paragraph, [301.0, 1240.0, 1106.0, 36.0], shoonya_1s48ZM2WZW0PF3, 5731784]
[paragraph, [301.0, 1276.0, 1106.0, 36.0], shoonya_1s48ZM2WZW0PF3, 5731784]
[paragraph, [301.0, 1312.0, 1106.0, 36.0], shoonya_1s48ZM2WZW0PF3, 5731784]
[paragraph, [301.0, 1348.0, 1106.0, 36.0], shoonya_1s48ZM2WZW0PF3, 5731784]
[paragraph, [309.0, 1421.0, 1089.0, 36.0], shoonya_2sUBPTVOXKSRQB, 5731784]
[paragraph, [309.0, 1457.0, 1089.0, 36.0], shoonya_2sUBPTVOXKSRQB, 5731784]
[paragraph, [309.0, 1493.0, 1089.0, 36.0], shoonya_2sUBPTVOXKSRQB, 5731784]
[paragraph, [309.0, 1529.0, 1089.0, 36.0], shoonya_2sUBPTVOXKSRQB, 5731784]
[paragraph, [309.0, 1565.0, 1089.0, 36.0], shoonya_2sUBPTVOXKSRQB, 5731784]
[paragraph, [309.0, 1601.0, 1089.0, 36.0], shoonya_2sUBPTVOXKSRQB, 5731784]
[paragraph, [309.0, 1637.0, 1089.0, 36.0], shoonya_2sUBPTVOXKSRQB, 5731784]
[paragraph, [309.0, 1673.0, 1089.0, 36.0], shoonya_2sUBPTVOXKSRQB, 5731784]
[paragraph, [309.0, 1709.0, 1089.0, 36.0], shoonya_2sUBPTVOXKSRQB, 5731784]
[section-title, [331.0, 1768.0, 715.0, 52.5], 8c_kuyVCFG, 5731784]
[paragraph, [311.0, 1834.0, 1105.0, 36.0], v9XsdYCQHJ, 5731784]
[paragraph, [311.0, 1870.0, 1105.0, 36.0], v9XsdYCQHJ, 5731784]
[paragraph, [311.0, 1906.0, 1105.0, 36.0], v9XsdYCQHJ, 5731784]
[paragraph, [311.0, 1942.0, 1105.0, 36.0], v9XsdYCQHJ, 5731784]
[folio, [952.0, 2047.0, 358.0, 36.0], 4DSJE0Q1Zl, 5731784]
