[1625, 1211]
[headline, [390.0, 149.0, 504.0, 37.5], shoonya_2s4XGCL7YOM8XV, 5742929]
[paragraph, [429.0, 229.0, 341.0, 36.0], XAQOPKyGVX, 5742929]
[paragraph, [429.0, 265.0, 341.0, 36.0], XAQOPKyGVX, 5742929]
[paragraph, [429.0, 301.0, 341.0, 36.0], XAQOPKyGVX, 5742929]
[paragraph, [429.0, 337.0, 341.0, 36.0], XAQOPKyGVX, 5742929]
[paragraph, [429.0, 373.0, 341.0, 36.0], XAQOPKyGVX, 5742929]
[paragraph, [789.0, 231.0, 358.0, 36.0], gJoLFJpTFR, 5742929]
[paragraph, [789.0, 267.0, 358.0, 36.0], gJoLFJpTFR, 5742929]
[paragraph, [789.0, 303.0, 358.0, 36.0], gJoLFJpTFR, 5742929]
[paragraph, [789.0, 339.0, 358.0, 36.0], gJoLFJpTFR, 5742929]
[paragraph, [789.0, 375.0, 358.0, 36.0], gJoLFJpTFR, 5742929]
[paragraph, [789.0, 411.0, 358.0, 36.0], gJoLFJpTFR, 5742929]
[paragraph, [789.0, 447.0, 358.0, 36.0], gJoLFJpTFR, 5742929]
[paragraph, [789.0, 483.0, 358.0, 36.0], gJoLFJpTFR, 5742929]
[paragraph, [69.0, 232.0, 338.0, 36.0], FrMka_Bx34, 5742929]
[paragraph, [69.0, 268.0, 338.0, 36.0], FrMka_Bx34, 5742929]
[paragraph, [69.0, 304.0, 338.0, 36.0], FrMka_Bx34, 5742929]
[paragraph, [69.0, 340.0, 338.0, 36.0], FrMka_Bx34, 5742929]
[paragraph, [69.0, 376.0, 338.0, 36.0], FrMka_Bx34, 5742929]
[paragraph, [69.0, 412.0, 338.0, 36.0], FrMka_Bx34, 5742929]
[paragraph, [424.0, 442.0, 346.0, 36.0], 2_A2gdI76b, 5742929]
[paragraph, [424.0, 478.0, 346.0, 36.0], 2_A2gdI76b, 5742929]
[paragraph, [424.0, 514.0, 346.0, 36.0], 2_A2gdI76b, 5742929]
[paragraph, [69.0, 474.0, 344.0, 36.0], qfbszYpfrx, 5742929]
[section-title, [399.0, 589.0, 391.0, 49.5], V-IDd8ryEv, 5742929]
[paragraph, [796.0, 643.0, 340.0, 36.0], XcKoHProOP, 5742929]
[paragraph, [796.0, 679.0, 340.0, 36.0], XcKoHProOP, 5742929]
[paragraph, [796.0, 715.0, 340.0, 36.0], XcKoHProOP, 5742929]
[paragraph, [796.0, 751.0, 340.0, 36.0], XcKoHProOP, 5742929]
[paragraph, [796.0, 787.0, 340.0, 36.0], XcKoHProOP, 5742929]
[paragraph, [796.0, 823.0, 340.0, 36.0], XcKoHProOP, 5742929]
[paragraph, [796.0, 859.0, 340.0, 36.0], XcKoHProOP, 5742929]
[paragraph, [68.0, 653.0, 338.0, 36.0], kOIMZmOvRv, 5742929]
[paragraph, [68.0, 689.0, 338.0, 36.0], kOIMZmOvRv, 5742929]
[paragraph, [68.0, 725.0, 338.0, 36.0], kOIMZmOvRv, 5742929]
[paragraph, [68.0, 761.0, 338.0, 36.0], kOIMZmOvRv, 5742929]
[paragraph, [429.0, 692.0, 340.0, 36.0], u2Qz6BMGoS, 5742929]
[paragraph, [429.0, 728.0, 340.0, 36.0], u2Qz6BMGoS, 5742929]
[paragraph, [429.0, 764.0, 340.0, 36.0], u2Qz6BMGoS, 5742929]
[paragraph, [429.0, 800.0, 340.0, 36.0], u2Qz6BMGoS, 5742929]
[paragraph, [429.0, 836.0, 340.0, 36.0], u2Qz6BMGoS, 5742929]
[paragraph, [66.0, 829.0, 347.0, 36.0], RaX-0CboVi, 5742929]
[paragraph, [433.0, 964.0, 340.0, 36.0], ORQXcMMyOK, 5742929]
[paragraph, [433.0, 1000.0, 340.0, 36.0], ORQXcMMyOK, 5742929]
[paragraph, [433.0, 1036.0, 340.0, 36.0], ORQXcMMyOK, 5742929]
[paragraph, [433.0, 1072.0, 340.0, 36.0], ORQXcMMyOK, 5742929]
[paragraph, [433.0, 1108.0, 340.0, 36.0], ORQXcMMyOK, 5742929]
[paragraph, [433.0, 1144.0, 340.0, 36.0], ORQXcMMyOK, 5742929]
[paragraph, [433.0, 1180.0, 340.0, 36.0], ORQXcMMyOK, 5742929]
[paragraph, [433.0, 1216.0, 340.0, 36.0], ORQXcMMyOK, 5742929]
[paragraph, [433.0, 1252.0, 340.0, 36.0], ORQXcMMyOK, 5742929]
[paragraph, [433.0, 1288.0, 340.0, 36.0], ORQXcMMyOK, 5742929]
[paragraph, [796.0, 967.0, 353.0, 36.0], wx4KZtRUiQ, 5742929]
[paragraph, [796.0, 1003.0, 353.0, 36.0], wx4KZtRUiQ, 5742929]
[paragraph, [66.0, 1000.0, 343.0, 36.0], NJlwC5VmEV, 5742929]
[paragraph, [71.0, 1068.0, 338.0, 36.0], 6vpuWD69Pg, 5742929]
[paragraph, [71.0, 1104.0, 338.0, 36.0], 6vpuWD69Pg, 5742929]
[paragraph, [71.0, 1140.0, 338.0, 36.0], 6vpuWD69Pg, 5742929]
[paragraph, [71.0, 1176.0, 338.0, 36.0], 6vpuWD69Pg, 5742929]
[paragraph, [71.0, 1212.0, 338.0, 36.0], 6vpuWD69Pg, 5742929]
[paragraph, [71.0, 1248.0, 338.0, 36.0], 6vpuWD69Pg, 5742929]
[paragraph, [71.0, 1284.0, 338.0, 36.0], 6vpuWD69Pg, 5742929]
[paragraph, [795.0, 1076.0, 344.0, 36.0], J4NVHFniYu, 5742929]
[paragraph, [795.0, 1112.0, 344.0, 36.0], J4NVHFniYu, 5742929]
[paragraph, [795.0, 1148.0, 344.0, 36.0], J4NVHFniYu, 5742929]
[paragraph, [795.0, 1184.0, 344.0, 36.0], J4NVHFniYu, 5742929]
[paragraph, [795.0, 1220.0, 344.0, 36.0], J4NVHFniYu, 5742929]
[paragraph, [795.0, 1256.0, 344.0, 36.0], J4NVHFniYu, 5742929]
[paragraph, [795.0, 1292.0, 344.0, 36.0], J4NVHFniYu, 5742929]
[paragraph, [795.0, 1328.0, 344.0, 36.0], J4NVHFniYu, 5742929]
[paragraph, [795.0, 1364.0, 344.0, 36.0], J4NVHFniYu, 5742929]
[paragraph, [430.0, 1354.0, 344.0, 36.0], ZhHLOYGmf6, 5742929]
[paragraph, [69.0, 1355.0, 341.0, 36.0], AD3gTE-oqH, 5742929]
