[1387, 987]
[paragraph, [87.0, 99.0, 797.0, 18.0], xUmS5srGrc, 5652259]
[paragraph, [87.0, 117.0, 797.0, 18.0], xUmS5srGrc, 5652259]
[paragraph, [87.0, 135.0, 797.0, 18.0], xUmS5srGrc, 5652259]
[paragraph, [87.0, 153.0, 797.0, 18.0], xUmS5srGrc, 5652259]
[paragraph, [87.0, 171.0, 797.0, 18.0], xUmS5srGrc, 5652259]
[paragraph, [87.0, 189.0, 797.0, 18.0], xUmS5srGrc, 5652259]
[paragraph, [87.0, 207.0, 797.0, 18.0], xUmS5srGrc, 5652259]
[paragraph, [87.0, 225.0, 797.0, 18.0], xUmS5srGrc, 5652259]
[paragraph, [87.0, 243.0, 797.0, 18.0], xUmS5srGrc, 5652259]
[paragraph, [87.0, 261.0, 797.0, 18.0], xUmS5srGrc, 5652259]
[paragraph, [87.0, 279.0, 797.0, 18.0], xUmS5srGrc, 5652259]
[paragraph, [87.0, 297.0, 797.0, 18.0], xUmS5srGrc, 5652259]
[paragraph, [87.0, 315.0, 797.0, 18.0], xUmS5srGrc, 5652259]
[paragraph, [87.0, 333.0, 797.0, 18.0], xUmS5srGrc, 5652259]
[paragraph, [87.0, 351.0, 797.0, 18.0], xUmS5srGrc, 5652259]
[paragraph, [87.0, 369.0, 797.0, 18.0], xUmS5srGrc, 5652259]
[paragraph, [87.0, 387.0, 797.0, 18.0], xUmS5srGrc, 5652259]
[paragraph, [87.0, 405.0, 797.0, 18.0], xUmS5srGrc, 5652259]
[paragraph, [87.0, 423.0, 797.0, 18.0], xUmS5srGrc, 5652259]
[paragraph, [86.0, 455.0, 817.0, 18.0], shoonya_0sR6SC310T04E0, 5652259]
[paragraph, [86.0, 473.0, 817.0, 18.0], shoonya_0sR6SC310T04E0, 5652259]
[paragraph, [86.0, 491.0, 817.0, 18.0], shoonya_0sR6SC310T04E0, 5652259]
[paragraph, [86.0, 509.0, 817.0, 18.0], shoonya_0sR6SC310T04E0, 5652259]
