[1650, 1275]
[paragraph, [185.0, 141.0, 899.0, 36.0], shoonya_3sAWAG4N6FUW2B, 5703986]
[paragraph, [185.0, 177.0, 899.0, 36.0], shoonya_3sAWAG4N6FUW2B, 5703986]
[paragraph, [185.0, 213.0, 899.0, 36.0], shoonya_3sAWAG4N6FUW2B, 5703986]
[paragraph, [185.0, 249.0, 899.0, 36.0], shoonya_3sAWAG4N6FUW2B, 5703986]
[paragraph, [185.0, 285.0, 899.0, 36.0], shoonya_3sAWAG4N6FUW2B, 5703986]
[paragraph, [185.0, 321.0, 899.0, 36.0], shoonya_3sAWAG4N6FUW2B, 5703986]
[paragraph, [187.0, 383.0, 893.0, 36.0], shoonya_0sJSOAVL4ZCK45, 5703986]
[paragraph, [187.0, 419.0, 893.0, 36.0], shoonya_0sJSOAVL4ZCK45, 5703986]
[paragraph, [187.0, 455.0, 893.0, 36.0], shoonya_0sJSOAVL4ZCK45, 5703986]
[paragraph, [187.0, 491.0, 893.0, 36.0], shoonya_0sJSOAVL4ZCK45, 5703986]
[paragraph, [187.0, 527.0, 893.0, 36.0], shoonya_0sJSOAVL4ZCK45, 5703986]
[paragraph, [187.0, 563.0, 893.0, 36.0], shoonya_0sJSOAVL4ZCK45, 5703986]
[paragraph, [187.0, 599.0, 893.0, 36.0], shoonya_0sJSOAVL4ZCK45, 5703986]
[paragraph, [187.0, 635.0, 893.0, 36.0], shoonya_0sJSOAVL4ZCK45, 5703986]
[paragraph, [187.0, 671.0, 893.0, 36.0], shoonya_0sJSOAVL4ZCK45, 5703986]
[paragraph, [187.0, 707.0, 893.0, 36.0], shoonya_0sJSOAVL4ZCK45, 5703986]
[paragraph, [187.0, 743.0, 893.0, 36.0], shoonya_0sJSOAVL4ZCK45, 5703986]
[paragraph, [187.0, 779.0, 893.0, 36.0], shoonya_0sJSOAVL4ZCK45, 5703986]
[paragraph, [187.0, 815.0, 893.0, 36.0], shoonya_0sJSOAVL4ZCK45, 5703986]
[paragraph, [187.0, 851.0, 893.0, 36.0], shoonya_0sJSOAVL4ZCK45, 5703986]
[paragraph, [187.0, 887.0, 893.0, 36.0], shoonya_0sJSOAVL4ZCK45, 5703986]
[paragraph, [187.0, 923.0, 893.0, 36.0], shoonya_0sJSOAVL4ZCK45, 5703986]
[paragraph, [187.0, 959.0, 893.0, 36.0], shoonya_0sJSOAVL4ZCK45, 5703986]
[paragraph, [184.0, 1034.0, 902.0, 36.0], shoonya_1sS6I0SYJEYLW1, 5703986]
[paragraph, [184.0, 1070.0, 902.0, 36.0], shoonya_1sS6I0SYJEYLW1, 5703986]
[paragraph, [184.0, 1106.0, 902.0, 36.0], shoonya_1sS6I0SYJEYLW1, 5703986]
[paragraph, [184.0, 1142.0, 902.0, 36.0], shoonya_1sS6I0SYJEYLW1, 5703986]
[paragraph, [184.0, 1178.0, 902.0, 36.0], shoonya_1sS6I0SYJEYLW1, 5703986]
[paragraph, [184.0, 1214.0, 902.0, 36.0], shoonya_1sS6I0SYJEYLW1, 5703986]
[paragraph, [184.0, 1250.0, 902.0, 36.0], shoonya_1sS6I0SYJEYLW1, 5703986]
[paragraph, [184.0, 1286.0, 902.0, 36.0], shoonya_1sS6I0SYJEYLW1, 5703986]
[paragraph, [184.0, 1322.0, 902.0, 36.0], shoonya_1sS6I0SYJEYLW1, 5703986]
[paragraph, [184.0, 1358.0, 902.0, 36.0], shoonya_1sS6I0SYJEYLW1, 5703986]
[paragraph, [184.0, 1394.0, 902.0, 36.0], shoonya_1sS6I0SYJEYLW1, 5703986]
[paragraph, [184.0, 1430.0, 902.0, 36.0], shoonya_1sS6I0SYJEYLW1, 5703986]
