[1754, 1241]
[paragraph, [209.0, 143.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 179.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 215.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 251.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 287.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 323.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 359.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 395.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 431.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 467.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 503.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 539.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 575.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 611.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 647.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 683.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 719.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 755.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 791.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 827.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 863.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 899.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 935.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 971.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 1007.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 1043.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 1079.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 1115.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 1151.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 1187.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 1223.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 1259.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 1295.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 1331.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 1367.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 1403.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 1439.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
[paragraph, [209.0, 1475.0, 905.0, 36.0], shoonya_0s2GXUNFJWVOQM, 6470366]
