[1261, 723]
[folio, [545.0, 26.0, 123.0, 18.0], shoonya_0sIJN86I42KUVQ, 5782188]
[folio, [545.0, 44.0, 123.0, 18.0], shoonya_0sIJN86I42KUVQ, 5782188]
[folio, [545.0, 62.0, 123.0, 18.0], shoonya_0sIJN86I42KUVQ, 5782188]
[ordered-list, [9.0, 119.0, 661.0, 18.0], 6ZHVafV9D2, 5782188]
[ordered-list, [9.0, 137.0, 661.0, 18.0], 6ZHVafV9D2, 5782188]
[ordered-list, [9.0, 155.0, 661.0, 18.0], 6ZHVafV9D2, 5782188]
[ordered-list, [9.0, 173.0, 661.0, 18.0], 6ZHVafV9D2, 5782188]
[ordered-list, [9.0, 191.0, 661.0, 18.0], 6ZHVafV9D2, 5782188]
[ordered-list, [9.0, 209.0, 661.0, 18.0], 6ZHVafV9D2, 5782188]
[ordered-list, [9.0, 227.0, 661.0, 18.0], 6ZHVafV9D2, 5782188]
[ordered-list, [9.0, 245.0, 661.0, 18.0], 6ZHVafV9D2, 5782188]
[ordered-list, [9.0, 263.0, 661.0, 18.0], 6ZHVafV9D2, 5782188]
[ordered-list, [9.0, 281.0, 661.0, 18.0], 6ZHVafV9D2, 5782188]
[ordered-list, [9.0, 299.0, 661.0, 18.0], 6ZHVafV9D2, 5782188]
[ordered-list, [9.0, 317.0, 661.0, 18.0], 6ZHVafV9D2, 5782188]
[ordered-list, [9.0, 335.0, 661.0, 18.0], 6ZHVafV9D2, 5782188]
[ordered-list, [9.0, 353.0, 661.0, 18.0], 6ZHVafV9D2, 5782188]
[ordered-list, [9.0, 371.0, 661.0, 18.0], 6ZHVafV9D2, 5782188]
[ordered-list, [9.0, 389.0, 661.0, 18.0], 6ZHVafV9D2, 5782188]
[ordered-list, [6.0, 428.0, 670.0, 18.0], Z7tGCg0fVZ, 5782188]
[ordered-list, [6.0, 446.0, 670.0, 18.0], Z7tGCg0fVZ, 5782188]
[ordered-list, [6.0, 464.0, 670.0, 18.0], Z7tGCg0fVZ, 5782188]
[ordered-list, [6.0, 482.0, 670.0, 18.0], Z7tGCg0fVZ, 5782188]
[ordered-list, [6.0, 500.0, 670.0, 18.0], Z7tGCg0fVZ, 5782188]
[ordered-list, [6.0, 518.0, 670.0, 18.0], Z7tGCg0fVZ, 5782188]
[ordered-list, [6.0, 536.0, 670.0, 18.0], Z7tGCg0fVZ, 5782188]
[ordered-list, [6.0, 554.0, 670.0, 18.0], Z7tGCg0fVZ, 5782188]
[ordered-list, [6.0, 572.0, 670.0, 18.0], Z7tGCg0fVZ, 5782188]
[ordered-list, [6.0, 590.0, 670.0, 18.0], Z7tGCg0fVZ, 5782188]
