[6000, 4167]
[folio, [1140.0, 609.0, 1734.0, 52.5], -h1UzmkksU, 5721558]
[folio, [1140.0, 661.5, 1734.0, 52.5], -h1UzmkksU, 5721558]
[folio, [1140.0, 714.0, 1734.0, 52.5], -h1UzmkksU, 5721558]
[folio, [1140.0, 766.5, 1734.0, 52.5], -h1UzmkksU, 5721558]
[paragraph, [543.0, 926.0, 3100.0, 52.5], shoonya_0sE05NRN6OWJHC, 5721558]
[paragraph, [543.0, 978.5, 3100.0, 52.5], shoonya_0sE05NRN6OWJHC, 5721558]
[paragraph, [543.0, 1031.0, 3100.0, 52.5], shoonya_0sE05NRN6OWJHC, 5721558]
[paragraph, [543.0, 1083.5, 3100.0, 52.5], shoonya_0sE05NRN6OWJHC, 5721558]
[paragraph, [543.0, 1136.0, 3100.0, 52.5], shoonya_0sE05NRN6OWJHC, 5721558]
[paragraph, [531.0, 1364.0, 3104.0, 52.5], _8nMv_O0b8, 5721558]
[paragraph, [531.0, 1416.5, 3104.0, 52.5], _8nMv_O0b8, 5721558]
[paragraph, [531.0, 1469.0, 3104.0, 52.5], _8nMv_O0b8, 5721558]
[paragraph, [531.0, 1521.5, 3104.0, 52.5], _8nMv_O0b8, 5721558]
[paragraph, [531.0, 1574.0, 3104.0, 52.5], _8nMv_O0b8, 5721558]
[paragraph, [531.0, 1626.5, 3104.0, 52.5], _8nMv_O0b8, 5721558]
[paragraph, [531.0, 1679.0, 3104.0, 52.5], _8nMv_O0b8, 5721558]
[paragraph, [531.0, 1731.5, 3104.0, 52.5], _8nMv_O0b8, 5721558]
[paragraph, [531.0, 1784.0, 3104.0, 52.5], _8nMv_O0b8, 5721558]
[paragraph, [531.0, 1836.5, 3104.0, 52.5], _8nMv_O0b8, 5721558]
[paragraph, [531.0, 1889.0, 3104.0, 52.5], _8nMv_O0b8, 5721558]
[paragraph, [531.0, 1941.5, 3104.0, 52.5], _8nMv_O0b8, 5721558]
[paragraph, [531.0, 1994.0, 3104.0, 52.5], _8nMv_O0b8, 5721558]
[paragraph, [531.0, 2046.5, 3104.0, 52.5], _8nMv_O0b8, 5721558]
[paragraph, [531.0, 2099.0, 3104.0, 52.5], _8nMv_O0b8, 5721558]
[paragraph, [531.0, 2151.5, 3104.0, 52.5], _8nMv_O0b8, 5721558]
[paragraph, [531.0, 2204.0, 3104.0, 52.5], _8nMv_O0b8, 5721558]
[paragraph, [531.0, 2256.5, 3104.0, 52.5], _8nMv_O0b8, 5721558]
[paragraph, [531.0, 2309.0, 3104.0, 52.5], _8nMv_O0b8, 5721558]
[paragraph, [531.0, 2361.5, 3104.0, 52.5], _8nMv_O0b8, 5721558]
[paragraph, [531.0, 2414.0, 3104.0, 52.5], _8nMv_O0b8, 5721558]
