[842, 595]
[paragraph, [393.0, 136.0, 147.0, 18.0], l-tGhb4VQV, 5742155]
[paragraph, [393.0, 154.0, 147.0, 18.0], l-tGhb4VQV, 5742155]
[paragraph, [393.0, 172.0, 147.0, 18.0], l-tGhb4VQV, 5742155]
[paragraph, [393.0, 190.0, 147.0, 18.0], l-tGhb4VQV, 5742155]
[paragraph, [52.0, 137.0, 154.0, 18.0], yjsr4F4Ss6, 5742155]
[paragraph, [52.0, 155.0, 154.0, 18.0], yjsr4F4Ss6, 5742155]
[paragraph, [52.0, 173.0, 154.0, 18.0], yjsr4F4Ss6, 5742155]
[paragraph, [52.0, 191.0, 154.0, 18.0], yjsr4F4Ss6, 5742155]
[paragraph, [52.0, 209.0, 154.0, 18.0], yjsr4F4Ss6, 5742155]
[paragraph, [381.0, 219.0, 161.0, 18.0], pQ6-IC1NgD, 5742155]
[paragraph, [299.0, 290.0, 243.0, 18.0], ul9XC-Ilp5, 5742155]
[paragraph, [299.0, 308.0, 243.0, 18.0], ul9XC-Ilp5, 5742155]
[paragraph, [299.0, 326.0, 243.0, 18.0], ul9XC-Ilp5, 5742155]
[paragraph, [299.0, 344.0, 243.0, 18.0], ul9XC-Ilp5, 5742155]
[paragraph, [299.0, 362.0, 243.0, 18.0], ul9XC-Ilp5, 5742155]
[paragraph, [299.0, 380.0, 243.0, 18.0], ul9XC-Ilp5, 5742155]
[paragraph, [299.0, 398.0, 243.0, 18.0], ul9XC-Ilp5, 5742155]
[paragraph, [299.0, 416.0, 243.0, 18.0], ul9XC-Ilp5, 5742155]
[paragraph, [299.0, 434.0, 243.0, 18.0], ul9XC-Ilp5, 5742155]
[paragraph, [299.0, 452.0, 243.0, 18.0], ul9XC-Ilp5, 5742155]
[paragraph, [299.0, 470.0, 243.0, 18.0], ul9XC-Ilp5, 5742155]
[paragraph, [54.0, 304.0, 243.0, 18.0], shoonya_0sFM4C5LW6EELU, 5742155]
[paragraph, [54.0, 322.0, 243.0, 18.0], shoonya_0sFM4C5LW6EELU, 5742155]
[paragraph, [54.0, 340.0, 243.0, 18.0], shoonya_0sFM4C5LW6EELU, 5742155]
[paragraph, [54.0, 358.0, 243.0, 18.0], shoonya_0sFM4C5LW6EELU, 5742155]
[paragraph, [54.0, 376.0, 243.0, 18.0], shoonya_0sFM4C5LW6EELU, 5742155]
[paragraph, [54.0, 394.0, 243.0, 18.0], shoonya_0sFM4C5LW6EELU, 5742155]
[paragraph, [54.0, 412.0, 243.0, 18.0], shoonya_0sFM4C5LW6EELU, 5742155]
[paragraph, [54.0, 430.0, 243.0, 18.0], shoonya_0sFM4C5LW6EELU, 5742155]
[paragraph, [54.0, 448.0, 243.0, 18.0], shoonya_0sFM4C5LW6EELU, 5742155]
[paragraph, [54.0, 466.0, 243.0, 18.0], shoonya_0sFM4C5LW6EELU, 5742155]
[paragraph, [54.0, 484.0, 243.0, 18.0], shoonya_0sFM4C5LW6EELU, 5742155]
[paragraph, [54.0, 502.0, 243.0, 18.0], shoonya_0sFM4C5LW6EELU, 5742155]
[paragraph, [54.0, 520.0, 243.0, 18.0], shoonya_0sFM4C5LW6EELU, 5742155]
[paragraph, [54.0, 538.0, 243.0, 18.0], shoonya_0sFM4C5LW6EELU, 5742155]
[paragraph, [54.0, 556.0, 243.0, 18.0], shoonya_0sFM4C5LW6EELU, 5742155]
[paragraph, [301.0, 516.0, 249.0, 18.0], 6maSk1SOOd, 5742155]
[paragraph, [301.0, 534.0, 249.0, 18.0], 6maSk1SOOd, 5742155]
[paragraph, [301.0, 552.0, 249.0, 18.0], 6maSk1SOOd, 5742155]
[paragraph, [301.0, 570.0, 249.0, 18.0], 6maSk1SOOd, 5742155]
[paragraph, [301.0, 588.0, 249.0, 18.0], 6maSk1SOOd, 5742155]
[paragraph, [301.0, 606.0, 249.0, 18.0], 6maSk1SOOd, 5742155]
[paragraph, [301.0, 624.0, 249.0, 18.0], 6maSk1SOOd, 5742155]
[paragraph, [301.0, 642.0, 249.0, 18.0], 6maSk1SOOd, 5742155]
[paragraph, [301.0, 660.0, 249.0, 18.0], 6maSk1SOOd, 5742155]
[paragraph, [301.0, 678.0, 249.0, 18.0], 6maSk1SOOd, 5742155]
[paragraph, [301.0, 696.0, 249.0, 18.0], 6maSk1SOOd, 5742155]
[paragraph, [53.0, 585.0, 246.0, 18.0], sG4gEv4H-l, 5742155]
[paragraph, [53.0, 603.0, 246.0, 18.0], sG4gEv4H-l, 5742155]
[paragraph, [53.0, 621.0, 246.0, 18.0], sG4gEv4H-l, 5742155]
[paragraph, [53.0, 639.0, 246.0, 18.0], sG4gEv4H-l, 5742155]
[paragraph, [53.0, 657.0, 246.0, 18.0], sG4gEv4H-l, 5742155]
[paragraph, [53.0, 675.0, 246.0, 18.0], sG4gEv4H-l, 5742155]
[paragraph, [53.0, 693.0, 246.0, 18.0], sG4gEv4H-l, 5742155]
[paragraph, [53.0, 711.0, 246.0, 18.0], sG4gEv4H-l, 5742155]
[folio, [473.0, 744.0, 67.0, 18.0], shoonya_8sADJ8XZ4S2TV9, 5742155]
