[2175, 1462]
[folio, [171.0, 138.0, 166.0, 36.0], iwdGwXMfWz, 5655290]
[paragraph, [155.0, 254.0, 1160.0, 36.0], shoonya_7s66I0ARGTTD2T, 5655290]
[paragraph, [155.0, 290.0, 1160.0, 36.0], shoonya_7s66I0ARGTTD2T, 5655290]
[paragraph, [155.0, 326.0, 1160.0, 36.0], shoonya_7s66I0ARGTTD2T, 5655290]
[paragraph, [155.0, 362.0, 1160.0, 36.0], shoonya_7s66I0ARGTTD2T, 5655290]
[paragraph, [155.0, 398.0, 1160.0, 36.0], shoonya_7s66I0ARGTTD2T, 5655290]
[paragraph, [156.0, 482.0, 1165.0, 36.0], shoonya_3s96X7Q5CKPXQI, 5655290]
[paragraph, [156.0, 518.0, 1165.0, 36.0], shoonya_3s96X7Q5CKPXQI, 5655290]
[paragraph, [156.0, 554.0, 1165.0, 36.0], shoonya_3s96X7Q5CKPXQI, 5655290]
[paragraph, [156.0, 590.0, 1165.0, 36.0], shoonya_3s96X7Q5CKPXQI, 5655290]
[paragraph, [156.0, 626.0, 1165.0, 36.0], shoonya_3s96X7Q5CKPXQI, 5655290]
[paragraph, [156.0, 662.0, 1165.0, 36.0], shoonya_3s96X7Q5CKPXQI, 5655290]
[paragraph, [156.0, 698.0, 1165.0, 36.0], shoonya_3s96X7Q5CKPXQI, 5655290]
[paragraph, [156.0, 734.0, 1165.0, 36.0], shoonya_3s96X7Q5CKPXQI, 5655290]
[paragraph, [156.0, 770.0, 1165.0, 36.0], shoonya_3s96X7Q5CKPXQI, 5655290]
[section-title, [165.0, 864.0, 434.0, 52.5], shoonya_5sA6ESFFLQMMFD, 5655290]
[paragraph, [161.0, 954.0, 1166.0, 36.0], shoonya_1sTHQ8KTFIR71W, 5655290]
[paragraph, [161.0, 990.0, 1166.0, 36.0], shoonya_1sTHQ8KTFIR71W, 5655290]
[paragraph, [161.0, 1026.0, 1166.0, 36.0], shoonya_1sTHQ8KTFIR71W, 5655290]
[paragraph, [161.0, 1062.0, 1166.0, 36.0], shoonya_1sTHQ8KTFIR71W, 5655290]
[paragraph, [161.0, 1098.0, 1166.0, 36.0], shoonya_1sTHQ8KTFIR71W, 5655290]
[paragraph, [161.0, 1134.0, 1166.0, 36.0], shoonya_1sTHQ8KTFIR71W, 5655290]
[paragraph, [161.0, 1170.0, 1166.0, 36.0], shoonya_1sTHQ8KTFIR71W, 5655290]
[paragraph, [161.0, 1206.0, 1166.0, 36.0], shoonya_1sTHQ8KTFIR71W, 5655290]
[paragraph, [161.0, 1242.0, 1166.0, 36.0], shoonya_1sTHQ8KTFIR71W, 5655290]
[paragraph, [161.0, 1278.0, 1166.0, 36.0], shoonya_1sTHQ8KTFIR71W, 5655290]
[paragraph, [161.0, 1314.0, 1166.0, 36.0], shoonya_1sTHQ8KTFIR71W, 5655290]
[paragraph, [156.0, 1406.0, 1165.0, 36.0], shoonya_0s0LCVP9GIXGWR, 5655290]
[paragraph, [156.0, 1442.0, 1165.0, 36.0], shoonya_0s0LCVP9GIXGWR, 5655290]
[paragraph, [156.0, 1478.0, 1165.0, 36.0], shoonya_0s0LCVP9GIXGWR, 5655290]
[paragraph, [156.0, 1514.0, 1165.0, 36.0], shoonya_0s0LCVP9GIXGWR, 5655290]
[paragraph, [156.0, 1550.0, 1165.0, 36.0], shoonya_0s0LCVP9GIXGWR, 5655290]
[paragraph, [156.0, 1586.0, 1165.0, 36.0], shoonya_0s0LCVP9GIXGWR, 5655290]
[paragraph, [156.0, 1622.0, 1165.0, 36.0], shoonya_0s0LCVP9GIXGWR, 5655290]
[paragraph, [156.0, 1658.0, 1165.0, 36.0], shoonya_0s0LCVP9GIXGWR, 5655290]
[paragraph, [156.0, 1694.0, 1165.0, 36.0], shoonya_0s0LCVP9GIXGWR, 5655290]
[paragraph, [156.0, 1730.0, 1165.0, 36.0], shoonya_0s0LCVP9GIXGWR, 5655290]
[paragraph, [156.0, 1766.0, 1165.0, 36.0], shoonya_0s0LCVP9GIXGWR, 5655290]
[paragraph, [156.0, 1802.0, 1165.0, 36.0], shoonya_0s0LCVP9GIXGWR, 5655290]
[paragraph, [156.0, 1838.0, 1165.0, 36.0], shoonya_0s0LCVP9GIXGWR, 5655290]
[paragraph, [156.0, 1874.0, 1165.0, 36.0], shoonya_0s0LCVP9GIXGWR, 5655290]
[paragraph, [156.0, 1910.0, 1165.0, 36.0], shoonya_0s0LCVP9GIXGWR, 5655290]
[reference, [159.0, 1992.0, 301.0, 36.0], shoonya_2s0QI09LM6FD9Q, 5655290]
