[1418, 1063]
[section-title, [186.0, 100.0, 394.0, 30.0], K9r63AA36j, 6469313]
[unordered-list, [148.0, 450.0, 816.0, 18.0], p5464Cus4x, 6469313]
[unordered-list, [148.0, 468.0, 816.0, 18.0], p5464Cus4x, 6469313]
[unordered-list, [148.0, 486.0, 816.0, 18.0], p5464Cus4x, 6469313]
[unordered-list, [148.0, 504.0, 816.0, 18.0], p5464Cus4x, 6469313]
[unordered-list, [148.0, 522.0, 816.0, 18.0], p5464Cus4x, 6469313]
[unordered-list, [148.0, 540.0, 816.0, 18.0], p5464Cus4x, 6469313]
[unordered-list, [148.0, 558.0, 816.0, 18.0], p5464Cus4x, 6469313]
[unordered-list, [148.0, 576.0, 816.0, 18.0], p5464Cus4x, 6469313]
[unordered-list, [148.0, 594.0, 816.0, 18.0], p5464Cus4x, 6469313]
[unordered-list, [148.0, 612.0, 816.0, 18.0], p5464Cus4x, 6469313]
[unordered-list, [148.0, 630.0, 816.0, 18.0], p5464Cus4x, 6469313]
[unordered-list, [148.0, 648.0, 816.0, 18.0], p5464Cus4x, 6469313]
[unordered-list, [148.0, 666.0, 816.0, 18.0], p5464Cus4x, 6469313]
[unordered-list, [148.0, 684.0, 816.0, 18.0], p5464Cus4x, 6469313]
[unordered-list, [148.0, 702.0, 816.0, 18.0], p5464Cus4x, 6469313]
[unordered-list, [148.0, 720.0, 816.0, 18.0], p5464Cus4x, 6469313]
[unordered-list, [148.0, 738.0, 816.0, 18.0], p5464Cus4x, 6469313]
[unordered-list, [148.0, 756.0, 816.0, 18.0], p5464Cus4x, 6469313]
[unordered-list, [148.0, 774.0, 816.0, 18.0], p5464Cus4x, 6469313]
[unordered-list, [148.0, 792.0, 816.0, 18.0], p5464Cus4x, 6469313]
[unordered-list, [148.0, 810.0, 816.0, 18.0], p5464Cus4x, 6469313]
[unordered-list, [148.0, 828.0, 816.0, 18.0], p5464Cus4x, 6469313]
[unordered-list, [148.0, 846.0, 816.0, 18.0], p5464Cus4x, 6469313]
[unordered-list, [148.0, 864.0, 816.0, 18.0], p5464Cus4x, 6469313]
[unordered-list, [148.0, 882.0, 816.0, 18.0], p5464Cus4x, 6469313]
[unordered-list, [148.0, 900.0, 816.0, 18.0], p5464Cus4x, 6469313]
[unordered-list, [148.0, 918.0, 816.0, 18.0], p5464Cus4x, 6469313]
[unordered-list, [148.0, 936.0, 816.0, 18.0], p5464Cus4x, 6469313]
[unordered-list, [148.0, 954.0, 816.0, 18.0], p5464Cus4x, 6469313]
[unordered-list, [148.0, 972.0, 816.0, 18.0], p5464Cus4x, 6469313]
