[3968, 2806]
[section-title, [829.0, 168.0, 1150.0, 93.0], shoonya_0sZ2888PPSQ6V0, 5683427]
[section-title, [829.0, 261.0, 1150.0, 93.0], shoonya_0sZ2888PPSQ6V0, 5683427]
[figure-caption, [217.0, 1283.0, 658.0, 52.5], shoonya_5s8HWYHX7EVBDG, 5683427]
[figure-caption, [217.0, 1335.5, 658.0, 52.5], shoonya_5s8HWYHX7EVBDG, 5683427]
[figure-caption, [217.0, 1388.0, 658.0, 52.5], shoonya_5s8HWYHX7EVBDG, 5683427]
[figure-caption, [217.0, 1440.5, 658.0, 52.5], shoonya_5s8HWYHX7EVBDG, 5683427]
[figure-caption, [217.0, 1493.0, 658.0, 52.5], shoonya_5s8HWYHX7EVBDG, 5683427]
[figure-caption, [217.0, 1545.5, 658.0, 52.5], shoonya_5s8HWYHX7EVBDG, 5683427]
[figure-caption, [217.0, 1598.0, 658.0, 52.5], shoonya_5s8HWYHX7EVBDG, 5683427]
[figure-caption, [217.0, 1650.5, 658.0, 52.5], shoonya_5s8HWYHX7EVBDG, 5683427]
[figure-caption, [217.0, 1703.0, 658.0, 52.5], shoonya_5s8HWYHX7EVBDG, 5683427]
[figure-caption, [217.0, 1755.5, 658.0, 52.5], shoonya_5s8HWYHX7EVBDG, 5683427]
[figure-caption, [1937.0, 1289.0, 662.0, 52.5], vYLGhXSuLp, 5683427]
[figure-caption, [1937.0, 1341.5, 662.0, 52.5], vYLGhXSuLp, 5683427]
[figure-caption, [1937.0, 1394.0, 662.0, 52.5], vYLGhXSuLp, 5683427]
[figure-caption, [1937.0, 1446.5, 662.0, 52.5], vYLGhXSuLp, 5683427]
[figure-caption, [1937.0, 1499.0, 662.0, 52.5], vYLGhXSuLp, 5683427]
[figure-caption, [1937.0, 1551.5, 662.0, 52.5], vYLGhXSuLp, 5683427]
[figure-caption, [1061.0, 1313.0, 701.0, 52.5], shoonya_8sWY3JZIVIMWHR, 5683427]
[figure-caption, [1061.0, 1365.5, 701.0, 52.5], shoonya_8sWY3JZIVIMWHR, 5683427]
[figure-caption, [1061.0, 1418.0, 701.0, 52.5], shoonya_8sWY3JZIVIMWHR, 5683427]
[figure-caption, [1061.0, 1470.5, 701.0, 52.5], shoonya_8sWY3JZIVIMWHR, 5683427]
[figure-caption, [1061.0, 1523.0, 701.0, 52.5], shoonya_8sWY3JZIVIMWHR, 5683427]
[figure-caption, [1061.0, 1575.5, 701.0, 52.5], shoonya_8sWY3JZIVIMWHR, 5683427]
[section-title, [353.0, 1903.0, 2112.0, 93.0], pZ7yxerXXP, 5683427]
[section-title, [353.0, 1996.0, 2112.0, 93.0], pZ7yxerXXP, 5683427]
[section-title, [353.0, 2089.0, 2112.0, 93.0], pZ7yxerXXP, 5683427]
[sub-section-title, [546.0, 2334.0, 469.0, 73.5], ulbaTFwshI, 5683427]
[sub-section-title, [1677.0, 2345.0, 714.0, 73.5], fYwFNwB3yv, 5683427]
[figure-caption, [406.0, 3319.0, 802.0, 52.5], ZduP5VR7MB, 5683427]
[figure-caption, [406.0, 3371.5, 802.0, 52.5], ZduP5VR7MB, 5683427]
[figure-caption, [406.0, 3424.0, 802.0, 52.5], ZduP5VR7MB, 5683427]
[figure-caption, [406.0, 3476.5, 802.0, 52.5], ZduP5VR7MB, 5683427]
[figure-caption, [406.0, 3529.0, 802.0, 52.5], ZduP5VR7MB, 5683427]
[figure-caption, [1607.0, 3326.0, 844.0, 52.5], r93FHNtmiP, 5683427]
[figure-caption, [1607.0, 3378.5, 844.0, 52.5], r93FHNtmiP, 5683427]
[figure-caption, [1607.0, 3431.0, 844.0, 52.5], r93FHNtmiP, 5683427]
[figure-caption, [1607.0, 3483.5, 844.0, 52.5], r93FHNtmiP, 5683427]
[figure-caption, [1607.0, 3536.0, 844.0, 52.5], r93FHNtmiP, 5683427]
[figure-caption, [1607.0, 3588.5, 844.0, 52.5], r93FHNtmiP, 5683427]
[figure-caption, [1607.0, 3641.0, 844.0, 52.5], r93FHNtmiP, 5683427]
[folio, [291.0, 3800.0, 697.0, 52.5], FgOzf-KXYd, 5683427]
