[2339, 1653]
[paragraph, [326.0, 164.0, 1047.0, 36.0], shoonya_3sQHO1MN2B8G8J, 5733814]
[paragraph, [324.0, 220.0, 1142.0, 36.0], shoonya_1sD45U1ZH1XTPC, 5733814]
[paragraph, [324.0, 256.0, 1142.0, 36.0], shoonya_1sD45U1ZH1XTPC, 5733814]
[paragraph, [324.0, 292.0, 1142.0, 36.0], shoonya_1sD45U1ZH1XTPC, 5733814]
[paragraph, [324.0, 328.0, 1142.0, 36.0], shoonya_1sD45U1ZH1XTPC, 5733814]
[paragraph, [324.0, 364.0, 1142.0, 36.0], shoonya_1sD45U1ZH1XTPC, 5733814]
[paragraph, [324.0, 400.0, 1142.0, 36.0], shoonya_1sD45U1ZH1XTPC, 5733814]
[paragraph, [324.0, 436.0, 1142.0, 36.0], shoonya_1sD45U1ZH1XTPC, 5733814]
[paragraph, [324.0, 472.0, 1142.0, 36.0], shoonya_1sD45U1ZH1XTPC, 5733814]
[paragraph, [324.0, 508.0, 1142.0, 36.0], shoonya_1sD45U1ZH1XTPC, 5733814]
[paragraph, [324.0, 544.0, 1142.0, 36.0], shoonya_1sD45U1ZH1XTPC, 5733814]
[paragraph, [324.0, 580.0, 1142.0, 36.0], shoonya_1sD45U1ZH1XTPC, 5733814]
[paragraph, [324.0, 616.0, 1142.0, 36.0], shoonya_1sD45U1ZH1XTPC, 5733814]
[paragraph, [324.0, 652.0, 1142.0, 36.0], shoonya_1sD45U1ZH1XTPC, 5733814]
[paragraph, [374.0, 730.0, 733.0, 36.0], shoonya_4sXFSJPMSPKNI0, 5733814]
[paragraph, [374.0, 766.0, 733.0, 36.0], shoonya_4sXFSJPMSPKNI0, 5733814]
[paragraph, [374.0, 802.0, 733.0, 36.0], shoonya_4sXFSJPMSPKNI0, 5733814]
[paragraph, [374.0, 838.0, 733.0, 36.0], shoonya_4sXFSJPMSPKNI0, 5733814]
[paragraph, [374.0, 874.0, 733.0, 36.0], shoonya_4sXFSJPMSPKNI0, 5733814]
[paragraph, [374.0, 910.0, 733.0, 36.0], shoonya_4sXFSJPMSPKNI0, 5733814]
[paragraph, [374.0, 946.0, 733.0, 36.0], shoonya_4sXFSJPMSPKNI0, 5733814]
[paragraph, [374.0, 982.0, 733.0, 36.0], shoonya_4sXFSJPMSPKNI0, 5733814]
[paragraph, [374.0, 1018.0, 733.0, 36.0], shoonya_4sXFSJPMSPKNI0, 5733814]
[paragraph, [374.0, 1054.0, 733.0, 36.0], shoonya_4sXFSJPMSPKNI0, 5733814]
[paragraph, [374.0, 1090.0, 733.0, 36.0], shoonya_4sXFSJPMSPKNI0, 5733814]
[paragraph, [374.0, 1126.0, 733.0, 36.0], shoonya_4sXFSJPMSPKNI0, 5733814]
[paragraph, [374.0, 1162.0, 733.0, 36.0], shoonya_4sXFSJPMSPKNI0, 5733814]
[paragraph, [374.0, 1198.0, 733.0, 36.0], shoonya_4sXFSJPMSPKNI0, 5733814]
[paragraph, [374.0, 1234.0, 733.0, 36.0], shoonya_4sXFSJPMSPKNI0, 5733814]
[paragraph, [374.0, 1270.0, 733.0, 36.0], shoonya_4sXFSJPMSPKNI0, 5733814]
[paragraph, [374.0, 1306.0, 733.0, 36.0], shoonya_4sXFSJPMSPKNI0, 5733814]
[paragraph, [374.0, 1342.0, 733.0, 36.0], shoonya_4sXFSJPMSPKNI0, 5733814]
[paragraph, [374.0, 1378.0, 733.0, 36.0], shoonya_4sXFSJPMSPKNI0, 5733814]
[paragraph, [374.0, 1414.0, 733.0, 36.0], shoonya_4sXFSJPMSPKNI0, 5733814]
[paragraph, [374.0, 1450.0, 733.0, 36.0], shoonya_4sXFSJPMSPKNI0, 5733814]
[paragraph, [374.0, 1486.0, 733.0, 36.0], shoonya_4sXFSJPMSPKNI0, 5733814]
[paragraph, [374.0, 1522.0, 733.0, 36.0], shoonya_4sXFSJPMSPKNI0, 5733814]
[paragraph, [374.0, 1558.0, 733.0, 36.0], shoonya_4sXFSJPMSPKNI0, 5733814]
[paragraph, [324.0, 1636.0, 1141.0, 36.0], shoonya_0sN3G087H15ANY, 5733814]
[paragraph, [324.0, 1672.0, 1141.0, 36.0], shoonya_0sN3G087H15ANY, 5733814]
[paragraph, [324.0, 1708.0, 1141.0, 36.0], shoonya_0sN3G087H15ANY, 5733814]
[paragraph, [324.0, 1744.0, 1141.0, 36.0], shoonya_0sN3G087H15ANY, 5733814]
[paragraph, [324.0, 1780.0, 1141.0, 36.0], shoonya_0sN3G087H15ANY, 5733814]
[paragraph, [324.0, 1816.0, 1141.0, 36.0], shoonya_0sN3G087H15ANY, 5733814]
[paragraph, [324.0, 1852.0, 1141.0, 36.0], shoonya_0sN3G087H15ANY, 5733814]
[paragraph, [324.0, 1888.0, 1141.0, 36.0], shoonya_0sN3G087H15ANY, 5733814]
[paragraph, [324.0, 1924.0, 1141.0, 36.0], shoonya_0sN3G087H15ANY, 5733814]
[paragraph, [324.0, 1960.0, 1141.0, 36.0], shoonya_0sN3G087H15ANY, 5733814]
[paragraph, [324.0, 1996.0, 1141.0, 36.0], shoonya_0sN3G087H15ANY, 5733814]
[paragraph, [324.0, 2032.0, 1141.0, 36.0], shoonya_0sN3G087H15ANY, 5733814]
[paragraph, [324.0, 2068.0, 1141.0, 36.0], shoonya_0sN3G087H15ANY, 5733814]
[folio, [1267.0, 2161.0, 152.0, 36.0], DrptYLIZr7, 5733814]
