[1650, 1275]
[chapter-title, [70.0, 25.0, 385.0, 58.5], shoonya_0sCYNA6PUZ8KMM, 5775686]
[figure-caption, [124.0, 616.0, 983.0, 36.0], V5Wgp_c_3y, 5775686]
[figure-caption, [124.0, 652.0, 983.0, 36.0], V5Wgp_c_3y, 5775686]
[figure-caption, [124.0, 688.0, 983.0, 36.0], V5Wgp_c_3y, 5775686]
[paragraph, [124.0, 750.0, 1026.0, 36.0], -VkAM9lXhH, 5775686]
[paragraph, [124.0, 786.0, 1026.0, 36.0], -VkAM9lXhH, 5775686]
[paragraph, [124.0, 822.0, 1026.0, 36.0], -VkAM9lXhH, 5775686]
[paragraph, [124.0, 858.0, 1026.0, 36.0], -VkAM9lXhH, 5775686]
[paragraph, [124.0, 894.0, 1026.0, 36.0], -VkAM9lXhH, 5775686]
[paragraph, [119.0, 942.0, 1027.0, 36.0], -PnhYoYN4_, 5775686]
[paragraph, [119.0, 978.0, 1027.0, 36.0], -PnhYoYN4_, 5775686]
[paragraph, [119.0, 1014.0, 1027.0, 36.0], -PnhYoYN4_, 5775686]
[paragraph, [119.0, 1050.0, 1027.0, 36.0], -PnhYoYN4_, 5775686]
[paragraph, [116.0, 1104.0, 1031.0, 36.0], qBFEPnJb6H, 5775686]
[paragraph, [116.0, 1140.0, 1031.0, 36.0], qBFEPnJb6H, 5775686]
[paragraph, [116.0, 1176.0, 1031.0, 36.0], qBFEPnJb6H, 5775686]
[paragraph, [116.0, 1212.0, 1031.0, 36.0], qBFEPnJb6H, 5775686]
[paragraph, [116.0, 1248.0, 1031.0, 36.0], qBFEPnJb6H, 5775686]
[paragraph, [116.0, 1284.0, 1031.0, 36.0], qBFEPnJb6H, 5775686]
[paragraph, [116.0, 1320.0, 1031.0, 36.0], qBFEPnJb6H, 5775686]
[paragraph, [116.0, 1457.0, 984.0, 36.0], 5mLzo69bME, 5775686]
