[2806, 1983]
[contact-info, [640.0, 237.0, 707.0, 46.5], Eicg6cEgO4, 5697341]
[contact-info, [640.0, 283.5, 707.0, 46.5], Eicg6cEgO4, 5697341]
[contact-info, [640.0, 330.0, 707.0, 46.5], Eicg6cEgO4, 5697341]
[contact-info, [640.0, 376.5, 707.0, 46.5], Eicg6cEgO4, 5697341]
[contact-info, [640.0, 423.0, 707.0, 46.5], Eicg6cEgO4, 5697341]
[website-link, [842.0, 438.0, 279.0, 18.0], VP8LlOKAmN, 5697341]
[website-link, [842.0, 456.0, 279.0, 18.0], VP8LlOKAmN, 5697341]
[website-link, [842.0, 474.0, 279.0, 18.0], VP8LlOKAmN, 5697341]
[folio, [218.0, 552.0, 799.0, 46.5], shoonya_7sVLY8Y47IJ91Y, 5697341]
[dateline, [1368.0, 559.0, 403.0, 64.5], shoonya_8s8N7AJFYQHYLH, 5697341]
[paragraph, [218.0, 647.0, 1486.0, 46.5], shoonya_10sVP63WAFA2UN, 5697341]
[paragraph, [218.0, 693.5, 1486.0, 46.5], shoonya_10sVP63WAFA2UN, 5697341]
[paragraph, [213.0, 823.0, 1552.0, 46.5], shoonya_2sX0J9J2CMI5DS, 5697341]
[paragraph, [213.0, 869.5, 1552.0, 46.5], shoonya_2sX0J9J2CMI5DS, 5697341]
[paragraph, [213.0, 916.0, 1552.0, 46.5], shoonya_2sX0J9J2CMI5DS, 5697341]
[contact-info, [1198.0, 1173.0, 521.0, 46.5], shoonya_6s7AVRD8EQIKXD, 5697341]
[contact-info, [1198.0, 1219.5, 521.0, 46.5], shoonya_6s7AVRD8EQIKXD, 5697341]
[paragraph, [224.0, 1310.0, 1466.0, 46.5], shoonya_11sHIXW3I6HPU8, 5697341]
[paragraph, [224.0, 1356.5, 1466.0, 46.5], shoonya_11sHIXW3I6HPU8, 5697341]
[folio, [210.0, 1501.0, 913.0, 46.5], shoonya_4sAZLXW9ESCPU5, 5697341]
[paragraph, [211.0, 1648.0, 1222.0, 46.5], shoonya_5sXE1NG5SUNVCL, 5697341]
[ordered-list, [248.0, 1696.0, 1497.0, 46.5], shoonya_3sYYDEJIM9EJFT, 5697341]
[ordered-list, [248.0, 1742.5, 1497.0, 46.5], shoonya_3sYYDEJIM9EJFT, 5697341]
[ordered-list, [248.0, 1789.0, 1497.0, 46.5], shoonya_3sYYDEJIM9EJFT, 5697341]
[ordered-list, [248.0, 1835.5, 1497.0, 46.5], shoonya_3sYYDEJIM9EJFT, 5697341]
[ordered-list, [248.0, 1882.0, 1497.0, 46.5], shoonya_3sYYDEJIM9EJFT, 5697341]
[ordered-list, [248.0, 1928.5, 1497.0, 46.5], shoonya_3sYYDEJIM9EJFT, 5697341]
[ordered-list, [248.0, 1975.0, 1497.0, 46.5], shoonya_3sYYDEJIM9EJFT, 5697341]
[ordered-list, [248.0, 2021.5, 1497.0, 46.5], shoonya_3sYYDEJIM9EJFT, 5697341]
[ordered-list, [248.0, 2068.0, 1497.0, 46.5], shoonya_3sYYDEJIM9EJFT, 5697341]
[ordered-list, [248.0, 2114.5, 1497.0, 46.5], shoonya_3sYYDEJIM9EJFT, 5697341]
[ordered-list, [248.0, 2161.0, 1497.0, 46.5], shoonya_3sYYDEJIM9EJFT, 5697341]
[ordered-list, [248.0, 2207.5, 1497.0, 46.5], shoonya_3sYYDEJIM9EJFT, 5697341]
[ordered-list, [248.0, 2254.0, 1497.0, 46.5], shoonya_3sYYDEJIM9EJFT, 5697341]
[ordered-list, [248.0, 2300.5, 1497.0, 46.5], shoonya_3sYYDEJIM9EJFT, 5697341]
