[594, 353]
[folio, [38.0, 6.0, 265.0, 18.0], shoonya_4sIM969DBHTCPP, 5700876]
[paragraph, [21.0, 36.0, 318.0, 18.0], QsdwOefiw1, 5700876]
[paragraph, [66.0, 57.0, 278.0, 18.0], 0t29qoQUp6, 5700876]
[paragraph, [66.0, 75.0, 278.0, 18.0], 0t29qoQUp6, 5700876]
[sidebar, [3.0, 73.0, 56.0, 18.0], XrBzFsKPpM, 5700876]
[paragraph, [0.0, 112.0, 340.0, 18.0], shoonya_0s83VYUWRJDY5Q, 5700876]
[paragraph, [0.0, 130.0, 340.0, 18.0], shoonya_0s83VYUWRJDY5Q, 5700876]
[paragraph, [0.0, 148.0, 340.0, 18.0], shoonya_0s83VYUWRJDY5Q, 5700876]
[paragraph, [0.0, 166.0, 340.0, 18.0], shoonya_0s83VYUWRJDY5Q, 5700876]
[paragraph, [0.0, 184.0, 340.0, 18.0], shoonya_0s83VYUWRJDY5Q, 5700876]
[paragraph, [0.0, 202.0, 340.0, 18.0], shoonya_0s83VYUWRJDY5Q, 5700876]
[paragraph, [0.0, 220.0, 340.0, 18.0], shoonya_0s83VYUWRJDY5Q, 5700876]
[paragraph, [0.0, 238.0, 340.0, 18.0], shoonya_0s83VYUWRJDY5Q, 5700876]
[paragraph, [0.0, 256.0, 340.0, 18.0], shoonya_0s83VYUWRJDY5Q, 5700876]
[paragraph, [0.0, 274.0, 340.0, 18.0], shoonya_0s83VYUWRJDY5Q, 5700876]
[paragraph, [0.0, 292.0, 340.0, 18.0], shoonya_0s83VYUWRJDY5Q, 5700876]
[paragraph, [0.0, 310.0, 340.0, 18.0], shoonya_0s83VYUWRJDY5Q, 5700876]
[paragraph, [0.0, 328.0, 340.0, 18.0], shoonya_0s83VYUWRJDY5Q, 5700876]
[paragraph, [0.0, 346.0, 340.0, 18.0], shoonya_0s83VYUWRJDY5Q, 5700876]
[paragraph, [0.0, 364.0, 340.0, 18.0], shoonya_0s83VYUWRJDY5Q, 5700876]
[paragraph, [0.0, 382.0, 340.0, 18.0], shoonya_0s83VYUWRJDY5Q, 5700876]
[paragraph, [0.0, 400.0, 340.0, 18.0], shoonya_0s83VYUWRJDY5Q, 5700876]
[paragraph, [15.0, 440.0, 325.0, 18.0], X9hN3JOiLz, 5700876]
[paragraph, [79.0, 461.0, 258.0, 18.0], vvQbzdNZYN, 5700876]
[paragraph, [79.0, 479.0, 258.0, 18.0], vvQbzdNZYN, 5700876]
[paragraph, [79.0, 497.0, 258.0, 18.0], vvQbzdNZYN, 5700876]
[paragraph, [79.0, 515.0, 258.0, 18.0], vvQbzdNZYN, 5700876]
[sidebar, [8.0, 469.0, 69.0, 18.0], R5K-Xnz4GO, 5700876]
[sidebar, [8.0, 487.0, 69.0, 18.0], R5K-Xnz4GO, 5700876]
[sidebar, [8.0, 505.0, 69.0, 18.0], R5K-Xnz4GO, 5700876]
[paragraph, [8.0, 546.0, 326.0, 18.0], shoonya_1sRJIS27BG7GZJ, 5700876]
[paragraph, [8.0, 564.0, 326.0, 18.0], shoonya_1sRJIS27BG7GZJ, 5700876]
