[2339, 1656]
[paragraph, [188.0, 191.0, 711.0, 36.0], shoonya_0sJL9GEKKTYXW6, 5752418]
[paragraph, [188.0, 227.0, 711.0, 36.0], shoonya_0sJL9GEKKTYXW6, 5752418]
[paragraph, [188.0, 263.0, 711.0, 36.0], shoonya_0sJL9GEKKTYXW6, 5752418]
[paragraph, [188.0, 299.0, 711.0, 36.0], shoonya_0sJL9GEKKTYXW6, 5752418]
[paragraph, [188.0, 335.0, 711.0, 36.0], shoonya_0sJL9GEKKTYXW6, 5752418]
[paragraph, [188.0, 371.0, 711.0, 36.0], shoonya_0sJL9GEKKTYXW6, 5752418]
[paragraph, [188.0, 407.0, 711.0, 36.0], shoonya_0sJL9GEKKTYXW6, 5752418]
[paragraph, [188.0, 443.0, 711.0, 36.0], shoonya_0sJL9GEKKTYXW6, 5752418]
[paragraph, [188.0, 479.0, 711.0, 36.0], shoonya_0sJL9GEKKTYXW6, 5752418]
[paragraph, [188.0, 515.0, 711.0, 36.0], shoonya_0sJL9GEKKTYXW6, 5752418]
[paragraph, [180.0, 672.0, 649.0, 36.0], P0OCidpQIU, 5752418]
[paragraph, [180.0, 708.0, 649.0, 36.0], P0OCidpQIU, 5752418]
[paragraph, [180.0, 744.0, 649.0, 36.0], P0OCidpQIU, 5752418]
[paragraph, [180.0, 780.0, 649.0, 36.0], P0OCidpQIU, 5752418]
[paragraph, [180.0, 816.0, 649.0, 36.0], P0OCidpQIU, 5752418]
[paragraph, [180.0, 852.0, 649.0, 36.0], P0OCidpQIU, 5752418]
[paragraph, [180.0, 888.0, 649.0, 36.0], P0OCidpQIU, 5752418]
[paragraph, [180.0, 924.0, 649.0, 36.0], P0OCidpQIU, 5752418]
[paragraph, [180.0, 960.0, 649.0, 36.0], P0OCidpQIU, 5752418]
[paragraph, [180.0, 996.0, 649.0, 36.0], P0OCidpQIU, 5752418]
[paragraph, [178.0, 1134.0, 695.0, 36.0], ks9i0d_vaT, 5752418]
[paragraph, [178.0, 1170.0, 695.0, 36.0], ks9i0d_vaT, 5752418]
[paragraph, [178.0, 1206.0, 695.0, 36.0], ks9i0d_vaT, 5752418]
[paragraph, [178.0, 1242.0, 695.0, 36.0], ks9i0d_vaT, 5752418]
[paragraph, [178.0, 1278.0, 695.0, 36.0], ks9i0d_vaT, 5752418]
[paragraph, [178.0, 1314.0, 695.0, 36.0], ks9i0d_vaT, 5752418]
[paragraph, [178.0, 1350.0, 695.0, 36.0], ks9i0d_vaT, 5752418]
[paragraph, [178.0, 1386.0, 695.0, 36.0], ks9i0d_vaT, 5752418]
[paragraph, [178.0, 1422.0, 695.0, 36.0], ks9i0d_vaT, 5752418]
[paragraph, [178.0, 1458.0, 695.0, 36.0], ks9i0d_vaT, 5752418]
[paragraph, [178.0, 1624.0, 730.0, 36.0], eEoB32Kpb5, 5752418]
[paragraph, [178.0, 1660.0, 730.0, 36.0], eEoB32Kpb5, 5752418]
[paragraph, [178.0, 1696.0, 730.0, 36.0], eEoB32Kpb5, 5752418]
[paragraph, [178.0, 1732.0, 730.0, 36.0], eEoB32Kpb5, 5752418]
[paragraph, [178.0, 1768.0, 730.0, 36.0], eEoB32Kpb5, 5752418]
[folio, [86.0, 2165.0, 186.0, 36.0], fBM3ROs4xG, 5752418]
