[864, 612]
[ordered-list, [52.0, 71.0, 506.0, 18.0], shoonya_0sNW150MZI8RY7, 5717779]
[ordered-list, [52.0, 89.0, 506.0, 18.0], shoonya_0sNW150MZI8RY7, 5717779]
[ordered-list, [52.0, 107.0, 506.0, 18.0], shoonya_0sNW150MZI8RY7, 5717779]
[ordered-list, [52.0, 125.0, 506.0, 18.0], shoonya_0sNW150MZI8RY7, 5717779]
[ordered-list, [52.0, 143.0, 506.0, 18.0], shoonya_0sNW150MZI8RY7, 5717779]
[ordered-list, [52.0, 161.0, 506.0, 18.0], shoonya_0sNW150MZI8RY7, 5717779]
[ordered-list, [52.0, 179.0, 506.0, 18.0], shoonya_0sNW150MZI8RY7, 5717779]
[ordered-list, [52.0, 197.0, 506.0, 18.0], shoonya_0sNW150MZI8RY7, 5717779]
[ordered-list, [52.0, 215.0, 506.0, 18.0], shoonya_0sNW150MZI8RY7, 5717779]
[ordered-list, [52.0, 233.0, 506.0, 18.0], shoonya_0sNW150MZI8RY7, 5717779]
[ordered-list, [52.0, 251.0, 506.0, 18.0], shoonya_0sNW150MZI8RY7, 5717779]
[ordered-list, [52.0, 269.0, 506.0, 18.0], shoonya_0sNW150MZI8RY7, 5717779]
[ordered-list, [52.0, 287.0, 506.0, 18.0], shoonya_0sNW150MZI8RY7, 5717779]
[ordered-list, [52.0, 305.0, 506.0, 18.0], shoonya_0sNW150MZI8RY7, 5717779]
[ordered-list, [52.0, 323.0, 506.0, 18.0], shoonya_0sNW150MZI8RY7, 5717779]
[ordered-list, [52.0, 341.0, 506.0, 18.0], shoonya_0sNW150MZI8RY7, 5717779]
[ordered-list, [56.0, 410.0, 517.0, 18.0], shoonya_1sS4PFCGUXT97G, 5717779]
[ordered-list, [56.0, 428.0, 517.0, 18.0], shoonya_1sS4PFCGUXT97G, 5717779]
[ordered-list, [56.0, 446.0, 517.0, 18.0], shoonya_1sS4PFCGUXT97G, 5717779]
[ordered-list, [56.0, 464.0, 517.0, 18.0], shoonya_1sS4PFCGUXT97G, 5717779]
[ordered-list, [56.0, 482.0, 517.0, 18.0], shoonya_1sS4PFCGUXT97G, 5717779]
[ordered-list, [56.0, 500.0, 517.0, 18.0], shoonya_1sS4PFCGUXT97G, 5717779]
[ordered-list, [56.0, 518.0, 517.0, 18.0], shoonya_1sS4PFCGUXT97G, 5717779]
[ordered-list, [56.0, 536.0, 517.0, 18.0], shoonya_1sS4PFCGUXT97G, 5717779]
[ordered-list, [56.0, 554.0, 517.0, 18.0], shoonya_1sS4PFCGUXT97G, 5717779]
[ordered-list, [56.0, 572.0, 517.0, 18.0], shoonya_1sS4PFCGUXT97G, 5717779]
[ordered-list, [56.0, 590.0, 517.0, 18.0], shoonya_1sS4PFCGUXT97G, 5717779]
[ordered-list, [56.0, 608.0, 517.0, 18.0], shoonya_1sS4PFCGUXT97G, 5717779]
[ordered-list, [56.0, 626.0, 517.0, 18.0], shoonya_1sS4PFCGUXT97G, 5717779]
[ordered-list, [56.0, 644.0, 517.0, 18.0], shoonya_1sS4PFCGUXT97G, 5717779]
[ordered-list, [56.0, 662.0, 517.0, 18.0], shoonya_1sS4PFCGUXT97G, 5717779]
[ordered-list, [56.0, 680.0, 517.0, 18.0], shoonya_1sS4PFCGUXT97G, 5717779]
[ordered-list, [56.0, 698.0, 517.0, 18.0], shoonya_1sS4PFCGUXT97G, 5717779]
[ordered-list, [56.0, 716.0, 517.0, 18.0], shoonya_1sS4PFCGUXT97G, 5717779]
[ordered-list, [56.0, 734.0, 517.0, 18.0], shoonya_1sS4PFCGUXT97G, 5717779]
