[1752, 1240]
[placeholder-text, [769.0, 281.0, 322.0, 18.0], shoonya_0s78MJ2SBD2XJ8, 5707649]
[placeholder-text, [769.0, 299.0, 322.0, 18.0], shoonya_0s78MJ2SBD2XJ8, 5707649]
[placeholder-text, [769.0, 317.0, 322.0, 18.0], shoonya_0s78MJ2SBD2XJ8, 5707649]
[section-title, [428.0, 323.0, 332.0, 49.5], shoonya_2sNB1C8YGMK7LU, 5707649]
[section-title, [428.0, 372.5, 332.0, 49.5], shoonya_2sNB1C8YGMK7LU, 5707649]
[sidebar, [882.0, 475.0, 201.0, 36.0], lkDqTAgOGd, 5707649]
[second-level-question, [136.0, 522.0, 931.0, 36.0], j2znFyCbOa, 5707649]
[second-level-question, [136.0, 558.0, 931.0, 36.0], j2znFyCbOa, 5707649]
[second-level-question, [136.0, 594.0, 931.0, 36.0], j2znFyCbOa, 5707649]
[second-level-question, [136.0, 630.0, 931.0, 36.0], j2znFyCbOa, 5707649]
[second-level-question, [136.0, 666.0, 931.0, 36.0], j2znFyCbOa, 5707649]
[second-level-question, [136.0, 702.0, 931.0, 36.0], j2znFyCbOa, 5707649]
[second-level-question, [136.0, 738.0, 931.0, 36.0], j2znFyCbOa, 5707649]
[second-level-question, [136.0, 774.0, 931.0, 36.0], j2znFyCbOa, 5707649]
[second-level-question, [136.0, 810.0, 931.0, 36.0], j2znFyCbOa, 5707649]
[second-level-question, [136.0, 846.0, 931.0, 36.0], j2znFyCbOa, 5707649]
[second-level-question, [136.0, 882.0, 931.0, 36.0], j2znFyCbOa, 5707649]
[second-level-question, [136.0, 918.0, 931.0, 36.0], j2znFyCbOa, 5707649]
[third-level-question, [207.0, 865.0, 348.0, 18.0], VkQNcu7JPq, 5707649]
[third-level-question, [207.0, 883.0, 348.0, 18.0], VkQNcu7JPq, 5707649]
[third-level-question, [207.0, 904.0, 317.0, 18.0], q1H87NvU57, 5707649]
[second-level-question, [131.0, 992.0, 927.0, 36.0], 0SjQuj85ET, 5707649]
[second-level-question, [131.0, 1028.0, 927.0, 36.0], 0SjQuj85ET, 5707649]
[second-level-question, [131.0, 1064.0, 927.0, 36.0], 0SjQuj85ET, 5707649]
[second-level-question, [131.0, 1100.0, 927.0, 36.0], 0SjQuj85ET, 5707649]
[second-level-question, [131.0, 1136.0, 927.0, 36.0], 0SjQuj85ET, 5707649]
[second-level-question, [131.0, 1172.0, 927.0, 36.0], 0SjQuj85ET, 5707649]
[second-level-question, [131.0, 1208.0, 927.0, 36.0], 0SjQuj85ET, 5707649]
[second-level-question, [131.0, 1244.0, 927.0, 36.0], 0SjQuj85ET, 5707649]
[second-level-question, [131.0, 1280.0, 927.0, 36.0], 0SjQuj85ET, 5707649]
[second-level-question, [126.0, 1336.0, 755.0, 36.0], pyzSrx-ccy, 5707649]
[second-level-question, [126.0, 1372.0, 755.0, 36.0], pyzSrx-ccy, 5707649]
[second-level-question, [126.0, 1408.0, 755.0, 36.0], pyzSrx-ccy, 5707649]
[third-level-question, [198.0, 1377.0, 284.0, 18.0], GDZ6BWXIsH, 5707649]
[third-level-question, [205.0, 1405.0, 662.0, 18.0], AfXTi4i42g, 5707649]
[third-level-question, [205.0, 1445.0, 371.0, 18.0], B4L1tlsvi_, 5707649]
[second-level-question, [151.0, 1468.0, 625.0, 36.0], Lp5tSN2A5v, 5707649]
[second-level-question, [151.0, 1504.0, 625.0, 36.0], Lp5tSN2A5v, 5707649]
[second-level-question, [151.0, 1540.0, 625.0, 36.0], Lp5tSN2A5v, 5707649]
[third-level-question, [202.0, 1510.0, 371.0, 18.0], zl73RbOEYe, 5707649]
[third-level-question, [207.0, 1541.0, 371.0, 18.0], tgeYp71h9l, 5707649]
[third-level-question, [207.0, 1570.0, 280.0, 18.0], _CZLOpxfIE, 5707649]
