[1806, 1262]
[folio, [533.0, 98.0, 561.0, 36.0], shoonya_7s5WO0MJELYB17, 5681284]
[paragraph, [132.0, 177.0, 379.0, 36.0], VVz5ooKqwS, 5681284]
[paragraph, [132.0, 213.0, 379.0, 36.0], VVz5ooKqwS, 5681284]
[paragraph, [132.0, 249.0, 379.0, 36.0], VVz5ooKqwS, 5681284]
[paragraph, [132.0, 285.0, 379.0, 36.0], VVz5ooKqwS, 5681284]
[paragraph, [656.0, 178.0, 503.0, 36.0], shoonya_10sBHVHP4SO4F0, 5681284]
[paragraph, [656.0, 214.0, 503.0, 36.0], shoonya_10sBHVHP4SO4F0, 5681284]
[paragraph, [656.0, 250.0, 503.0, 36.0], shoonya_10sBHVHP4SO4F0, 5681284]
[paragraph, [694.0, 290.0, 468.0, 36.0], shoonya_5sZ50JQU0NU3SJ, 5681284]
[paragraph, [694.0, 326.0, 468.0, 36.0], shoonya_5sZ50JQU0NU3SJ, 5681284]
[paragraph, [694.0, 362.0, 468.0, 36.0], shoonya_5sZ50JQU0NU3SJ, 5681284]
[paragraph, [694.0, 398.0, 468.0, 36.0], shoonya_5sZ50JQU0NU3SJ, 5681284]
[paragraph, [694.0, 434.0, 468.0, 36.0], shoonya_5sZ50JQU0NU3SJ, 5681284]
[paragraph, [104.0, 330.0, 501.0, 36.0], shoonya_9sGU1BVANRPHOY, 5681284]
[paragraph, [104.0, 366.0, 501.0, 36.0], shoonya_9sGU1BVANRPHOY, 5681284]
[paragraph, [135.0, 438.0, 464.0, 36.0], LHPQo4_QIf, 5681284]
[paragraph, [135.0, 474.0, 464.0, 36.0], LHPQo4_QIf, 5681284]
[paragraph, [135.0, 510.0, 464.0, 36.0], LHPQo4_QIf, 5681284]
[paragraph, [696.0, 506.0, 465.0, 36.0], shoonya_3s0ZCPTV9Q109R, 5681284]
[paragraph, [696.0, 542.0, 465.0, 36.0], shoonya_3s0ZCPTV9Q109R, 5681284]
[paragraph, [101.0, 556.0, 499.0, 36.0], tBj63QFhgv, 5681284]
[paragraph, [101.0, 592.0, 499.0, 36.0], tBj63QFhgv, 5681284]
[paragraph, [101.0, 628.0, 499.0, 36.0], tBj63QFhgv, 5681284]
[paragraph, [693.0, 580.0, 473.0, 36.0], shoonya_1s03LJOZKAWD4K, 5681284]
[paragraph, [693.0, 616.0, 473.0, 36.0], shoonya_1s03LJOZKAWD4K, 5681284]
[paragraph, [693.0, 652.0, 473.0, 36.0], shoonya_1s03LJOZKAWD4K, 5681284]
[paragraph, [693.0, 688.0, 473.0, 36.0], shoonya_1s03LJOZKAWD4K, 5681284]
[paragraph, [693.0, 724.0, 473.0, 36.0], shoonya_1s03LJOZKAWD4K, 5681284]
[paragraph, [693.0, 760.0, 473.0, 36.0], shoonya_1s03LJOZKAWD4K, 5681284]
[paragraph, [693.0, 796.0, 473.0, 36.0], shoonya_1s03LJOZKAWD4K, 5681284]
[paragraph, [693.0, 832.0, 473.0, 36.0], shoonya_1s03LJOZKAWD4K, 5681284]
[paragraph, [693.0, 868.0, 473.0, 36.0], shoonya_1s03LJOZKAWD4K, 5681284]
[paragraph, [693.0, 904.0, 473.0, 36.0], shoonya_1s03LJOZKAWD4K, 5681284]
[paragraph, [693.0, 940.0, 473.0, 36.0], shoonya_1s03LJOZKAWD4K, 5681284]
[paragraph, [102.0, 668.0, 499.0, 36.0], shoonya_8sIKGBV4IA2TSD, 5681284]
[paragraph, [129.0, 740.0, 484.0, 36.0], shoonya_2sP97NHOKBPLKR, 5681284]
[paragraph, [129.0, 776.0, 484.0, 36.0], shoonya_2sP97NHOKBPLKR, 5681284]
[paragraph, [129.0, 812.0, 484.0, 36.0], shoonya_2sP97NHOKBPLKR, 5681284]
[paragraph, [129.0, 848.0, 484.0, 36.0], shoonya_2sP97NHOKBPLKR, 5681284]
[paragraph, [129.0, 884.0, 484.0, 36.0], shoonya_2sP97NHOKBPLKR, 5681284]
[paragraph, [129.0, 920.0, 484.0, 36.0], shoonya_2sP97NHOKBPLKR, 5681284]
[paragraph, [129.0, 956.0, 484.0, 36.0], shoonya_2sP97NHOKBPLKR, 5681284]
[paragraph, [129.0, 992.0, 484.0, 36.0], shoonya_2sP97NHOKBPLKR, 5681284]
[paragraph, [129.0, 1028.0, 484.0, 36.0], shoonya_2sP97NHOKBPLKR, 5681284]
[paragraph, [718.0, 1011.0, 441.0, 36.0], shoonya_0s9EXDXQDA7PLX, 5681284]
[paragraph, [718.0, 1047.0, 441.0, 36.0], shoonya_0s9EXDXQDA7PLX, 5681284]
[paragraph, [718.0, 1083.0, 441.0, 36.0], shoonya_0s9EXDXQDA7PLX, 5681284]
[paragraph, [718.0, 1119.0, 441.0, 36.0], shoonya_0s9EXDXQDA7PLX, 5681284]
[paragraph, [718.0, 1155.0, 441.0, 36.0], shoonya_0s9EXDXQDA7PLX, 5681284]
[paragraph, [718.0, 1191.0, 441.0, 36.0], shoonya_0s9EXDXQDA7PLX, 5681284]
[paragraph, [718.0, 1227.0, 441.0, 36.0], shoonya_0s9EXDXQDA7PLX, 5681284]
[paragraph, [718.0, 1263.0, 441.0, 36.0], shoonya_0s9EXDXQDA7PLX, 5681284]
[paragraph, [718.0, 1299.0, 441.0, 36.0], shoonya_0s9EXDXQDA7PLX, 5681284]
[paragraph, [718.0, 1335.0, 441.0, 36.0], shoonya_0s9EXDXQDA7PLX, 5681284]
[paragraph, [718.0, 1371.0, 441.0, 36.0], shoonya_0s9EXDXQDA7PLX, 5681284]
[paragraph, [718.0, 1407.0, 441.0, 36.0], shoonya_0s9EXDXQDA7PLX, 5681284]
[paragraph, [718.0, 1443.0, 441.0, 36.0], shoonya_0s9EXDXQDA7PLX, 5681284]
[paragraph, [718.0, 1479.0, 441.0, 36.0], shoonya_0s9EXDXQDA7PLX, 5681284]
[paragraph, [718.0, 1515.0, 441.0, 36.0], shoonya_0s9EXDXQDA7PLX, 5681284]
[paragraph, [100.0, 1098.0, 508.0, 36.0], shoonya_6s0VCJL55079DW, 5681284]
[paragraph, [100.0, 1134.0, 508.0, 36.0], shoonya_6s0VCJL55079DW, 5681284]
[paragraph, [100.0, 1170.0, 508.0, 36.0], shoonya_6s0VCJL55079DW, 5681284]
[paragraph, [100.0, 1206.0, 508.0, 36.0], shoonya_6s0VCJL55079DW, 5681284]
[paragraph, [100.0, 1242.0, 508.0, 36.0], shoonya_6s0VCJL55079DW, 5681284]
[paragraph, [100.0, 1278.0, 508.0, 36.0], shoonya_6s0VCJL55079DW, 5681284]
[paragraph, [100.0, 1314.0, 508.0, 36.0], shoonya_6s0VCJL55079DW, 5681284]
[paragraph, [100.0, 1350.0, 508.0, 36.0], shoonya_6s0VCJL55079DW, 5681284]
[paragraph, [100.0, 1386.0, 508.0, 36.0], shoonya_6s0VCJL55079DW, 5681284]
[paragraph, [100.0, 1422.0, 508.0, 36.0], shoonya_6s0VCJL55079DW, 5681284]
[paragraph, [100.0, 1458.0, 508.0, 36.0], shoonya_6s0VCJL55079DW, 5681284]
[paragraph, [100.0, 1494.0, 508.0, 36.0], shoonya_6s0VCJL55079DW, 5681284]
[paragraph, [100.0, 1530.0, 508.0, 36.0], shoonya_6s0VCJL55079DW, 5681284]
[paragraph, [100.0, 1566.0, 508.0, 36.0], shoonya_6s0VCJL55079DW, 5681284]
[paragraph, [726.0, 1591.0, 433.0, 36.0], shoonya_4sBZ21GC1X5Q9I, 5681284]
[paragraph, [726.0, 1627.0, 433.0, 36.0], shoonya_4sBZ21GC1X5Q9I, 5681284]
[paragraph, [726.0, 1663.0, 433.0, 36.0], shoonya_4sBZ21GC1X5Q9I, 5681284]
[paragraph, [102.0, 1634.0, 506.0, 36.0], daBNUsAFyp, 5681284]
[paragraph, [102.0, 1670.0, 506.0, 36.0], daBNUsAFyp, 5681284]
