[3509, 2480]
[paragraph, [355.0, 385.0, 1772.0, 52.5], shoonya_2sO8B88MC6JK8N, 5724572]
[paragraph, [355.0, 437.5, 1772.0, 52.5], shoonya_2sO8B88MC6JK8N, 5724572]
[paragraph, [355.0, 490.0, 1772.0, 52.5], shoonya_2sO8B88MC6JK8N, 5724572]
[paragraph, [355.0, 542.5, 1772.0, 52.5], shoonya_2sO8B88MC6JK8N, 5724572]
[paragraph, [355.0, 595.0, 1772.0, 52.5], shoonya_2sO8B88MC6JK8N, 5724572]
[paragraph, [355.0, 647.5, 1772.0, 52.5], shoonya_2sO8B88MC6JK8N, 5724572]
[paragraph, [355.0, 700.0, 1772.0, 52.5], shoonya_2sO8B88MC6JK8N, 5724572]
[paragraph, [355.0, 752.5, 1772.0, 52.5], shoonya_2sO8B88MC6JK8N, 5724572]
[paragraph, [355.0, 805.0, 1772.0, 52.5], shoonya_2sO8B88MC6JK8N, 5724572]
[paragraph, [355.0, 857.5, 1772.0, 52.5], shoonya_2sO8B88MC6JK8N, 5724572]
[paragraph, [355.0, 910.0, 1772.0, 52.5], shoonya_2sO8B88MC6JK8N, 5724572]
[paragraph, [355.0, 962.5, 1772.0, 52.5], shoonya_2sO8B88MC6JK8N, 5724572]
[paragraph, [355.0, 1015.0, 1772.0, 52.5], shoonya_2sO8B88MC6JK8N, 5724572]
[paragraph, [355.0, 1067.5, 1772.0, 52.5], shoonya_2sO8B88MC6JK8N, 5724572]
[paragraph, [355.0, 1120.0, 1772.0, 52.5], shoonya_2sO8B88MC6JK8N, 5724572]
[paragraph, [355.0, 1172.5, 1772.0, 52.5], shoonya_2sO8B88MC6JK8N, 5724572]
[paragraph, [355.0, 1225.0, 1772.0, 52.5], shoonya_2sO8B88MC6JK8N, 5724572]
[paragraph, [355.0, 1277.5, 1772.0, 52.5], shoonya_2sO8B88MC6JK8N, 5724572]
[paragraph, [361.0, 1551.0, 1786.0, 52.5], shoonya_1sDKUO0ARXMP0B, 5724572]
[paragraph, [361.0, 1603.5, 1786.0, 52.5], shoonya_1sDKUO0ARXMP0B, 5724572]
[paragraph, [361.0, 1656.0, 1786.0, 52.5], shoonya_1sDKUO0ARXMP0B, 5724572]
[paragraph, [361.0, 1708.5, 1786.0, 52.5], shoonya_1sDKUO0ARXMP0B, 5724572]
[paragraph, [361.0, 1761.0, 1786.0, 52.5], shoonya_1sDKUO0ARXMP0B, 5724572]
[paragraph, [361.0, 1813.5, 1786.0, 52.5], shoonya_1sDKUO0ARXMP0B, 5724572]
[paragraph, [361.0, 1866.0, 1786.0, 52.5], shoonya_1sDKUO0ARXMP0B, 5724572]
[paragraph, [361.0, 1918.5, 1786.0, 52.5], shoonya_1sDKUO0ARXMP0B, 5724572]
[paragraph, [361.0, 1971.0, 1786.0, 52.5], shoonya_1sDKUO0ARXMP0B, 5724572]
[paragraph, [361.0, 2023.5, 1786.0, 52.5], shoonya_1sDKUO0ARXMP0B, 5724572]
[paragraph, [361.0, 2076.0, 1786.0, 52.5], shoonya_1sDKUO0ARXMP0B, 5724572]
[paragraph, [361.0, 2128.5, 1786.0, 52.5], shoonya_1sDKUO0ARXMP0B, 5724572]
[paragraph, [361.0, 2181.0, 1786.0, 52.5], shoonya_1sDKUO0ARXMP0B, 5724572]
[paragraph, [361.0, 2233.5, 1786.0, 52.5], shoonya_1sDKUO0ARXMP0B, 5724572]
[paragraph, [361.0, 2286.0, 1786.0, 52.5], shoonya_1sDKUO0ARXMP0B, 5724572]
[paragraph, [361.0, 2338.5, 1786.0, 52.5], shoonya_1sDKUO0ARXMP0B, 5724572]
[paragraph, [361.0, 2391.0, 1786.0, 52.5], shoonya_1sDKUO0ARXMP0B, 5724572]
[paragraph, [361.0, 2443.5, 1786.0, 52.5], shoonya_1sDKUO0ARXMP0B, 5724572]
[paragraph, [361.0, 2496.0, 1786.0, 52.5], shoonya_1sDKUO0ARXMP0B, 5724572]
[paragraph, [361.0, 2548.5, 1786.0, 52.5], shoonya_1sDKUO0ARXMP0B, 5724572]
[paragraph, [361.0, 2601.0, 1786.0, 52.5], shoonya_1sDKUO0ARXMP0B, 5724572]
[paragraph, [361.0, 2653.5, 1786.0, 52.5], shoonya_1sDKUO0ARXMP0B, 5724572]
[paragraph, [361.0, 2706.0, 1786.0, 52.5], shoonya_1sDKUO0ARXMP0B, 5724572]
[paragraph, [361.0, 2758.5, 1786.0, 52.5], shoonya_1sDKUO0ARXMP0B, 5724572]
[paragraph, [361.0, 2811.0, 1786.0, 52.5], shoonya_1sDKUO0ARXMP0B, 5724572]
[paragraph, [361.0, 2863.5, 1786.0, 52.5], shoonya_1sDKUO0ARXMP0B, 5724572]
[paragraph, [361.0, 2916.0, 1786.0, 52.5], shoonya_1sDKUO0ARXMP0B, 5724572]
[paragraph, [361.0, 2968.5, 1786.0, 52.5], shoonya_1sDKUO0ARXMP0B, 5724572]
[paragraph, [361.0, 3021.0, 1786.0, 52.5], shoonya_1sDKUO0ARXMP0B, 5724572]
