[792, 612]
[paragraph, [225.0, 53.0, 159.0, 18.0], HDVGRSAhzi, 6515618]
[paragraph, [225.0, 71.0, 159.0, 18.0], HDVGRSAhzi, 6515618]
[paragraph, [392.0, 53.0, 160.0, 18.0], ZGWuTPlgJa, 6515618]
[paragraph, [60.0, 54.0, 160.0, 18.0], shoonya_0sBBZEFYKQ2ZXD, 6515618]
[paragraph, [60.0, 72.0, 160.0, 18.0], shoonya_0sBBZEFYKQ2ZXD, 6515618]
[paragraph, [392.0, 84.0, 160.0, 18.0], hiJDPCGqqN, 6515618]
[paragraph, [392.0, 102.0, 160.0, 18.0], hiJDPCGqqN, 6515618]
[paragraph, [392.0, 120.0, 160.0, 18.0], hiJDPCGqqN, 6515618]
[paragraph, [392.0, 138.0, 160.0, 18.0], hiJDPCGqqN, 6515618]
[paragraph, [392.0, 156.0, 160.0, 18.0], hiJDPCGqqN, 6515618]
[paragraph, [392.0, 174.0, 160.0, 18.0], hiJDPCGqqN, 6515618]
[paragraph, [392.0, 192.0, 160.0, 18.0], hiJDPCGqqN, 6515618]
[paragraph, [224.0, 98.0, 160.0, 18.0], fkBHuICb8U, 6515618]
[paragraph, [224.0, 116.0, 160.0, 18.0], fkBHuICb8U, 6515618]
[paragraph, [224.0, 134.0, 160.0, 18.0], fkBHuICb8U, 6515618]
[paragraph, [58.0, 99.0, 162.0, 18.0], VjZJB-VPw5, 6515618]
[paragraph, [58.0, 117.0, 162.0, 18.0], VjZJB-VPw5, 6515618]
[paragraph, [58.0, 135.0, 162.0, 18.0], VjZJB-VPw5, 6515618]
[paragraph, [58.0, 153.0, 162.0, 18.0], VjZJB-VPw5, 6515618]
[paragraph, [58.0, 171.0, 162.0, 18.0], VjZJB-VPw5, 6515618]
[paragraph, [58.0, 189.0, 162.0, 18.0], VjZJB-VPw5, 6515618]
[paragraph, [58.0, 207.0, 162.0, 18.0], VjZJB-VPw5, 6515618]
[paragraph, [58.0, 225.0, 162.0, 18.0], VjZJB-VPw5, 6515618]
[paragraph, [58.0, 243.0, 162.0, 18.0], VjZJB-VPw5, 6515618]
[paragraph, [225.0, 169.0, 158.0, 18.0], B-XQ8oJimv, 6515618]
[paragraph, [226.0, 197.0, 157.0, 18.0], qPyolv4OJe, 6515618]
[paragraph, [390.0, 225.0, 161.0, 18.0], LtkoYDk875, 6515618]
[paragraph, [390.0, 243.0, 161.0, 18.0], LtkoYDk875, 6515618]
[paragraph, [390.0, 261.0, 161.0, 18.0], LtkoYDk875, 6515618]
[paragraph, [390.0, 279.0, 161.0, 18.0], LtkoYDk875, 6515618]
[paragraph, [390.0, 297.0, 161.0, 18.0], LtkoYDk875, 6515618]
[paragraph, [390.0, 315.0, 161.0, 18.0], LtkoYDk875, 6515618]
[paragraph, [390.0, 333.0, 161.0, 18.0], LtkoYDk875, 6515618]
[paragraph, [390.0, 351.0, 161.0, 18.0], LtkoYDk875, 6515618]
[paragraph, [390.0, 369.0, 161.0, 18.0], LtkoYDk875, 6515618]
[paragraph, [390.0, 387.0, 161.0, 18.0], LtkoYDk875, 6515618]
[paragraph, [390.0, 405.0, 161.0, 18.0], LtkoYDk875, 6515618]
[paragraph, [390.0, 423.0, 161.0, 18.0], LtkoYDk875, 6515618]
[paragraph, [390.0, 441.0, 161.0, 18.0], LtkoYDk875, 6515618]
[paragraph, [390.0, 459.0, 161.0, 18.0], LtkoYDk875, 6515618]
[paragraph, [390.0, 477.0, 161.0, 18.0], LtkoYDk875, 6515618]
[paragraph, [390.0, 495.0, 161.0, 18.0], LtkoYDk875, 6515618]
[paragraph, [390.0, 513.0, 161.0, 18.0], LtkoYDk875, 6515618]
[paragraph, [390.0, 531.0, 161.0, 18.0], LtkoYDk875, 6515618]
[paragraph, [390.0, 549.0, 161.0, 18.0], LtkoYDk875, 6515618]
[paragraph, [390.0, 567.0, 161.0, 18.0], LtkoYDk875, 6515618]
[paragraph, [390.0, 585.0, 161.0, 18.0], LtkoYDk875, 6515618]
