[2200, 1700]
[paragraph, [373.0, 113.0, 1139.0, 36.0], shoonya_0sEPF1E9LAQO4G, 5733484]
[paragraph, [373.0, 149.0, 1139.0, 36.0], shoonya_0sEPF1E9LAQO4G, 5733484]
[paragraph, [373.0, 185.0, 1139.0, 36.0], shoonya_0sEPF1E9LAQO4G, 5733484]
[paragraph, [373.0, 221.0, 1139.0, 36.0], shoonya_0sEPF1E9LAQO4G, 5733484]
[paragraph, [373.0, 257.0, 1139.0, 36.0], shoonya_0sEPF1E9LAQO4G, 5733484]
[paragraph, [373.0, 293.0, 1139.0, 36.0], shoonya_0sEPF1E9LAQO4G, 5733484]
[paragraph, [373.0, 329.0, 1139.0, 36.0], shoonya_0sEPF1E9LAQO4G, 5733484]
[paragraph, [373.0, 365.0, 1139.0, 36.0], shoonya_0sEPF1E9LAQO4G, 5733484]
[paragraph, [373.0, 401.0, 1139.0, 36.0], shoonya_0sEPF1E9LAQO4G, 5733484]
[paragraph, [373.0, 437.0, 1139.0, 36.0], shoonya_0sEPF1E9LAQO4G, 5733484]
[paragraph, [373.0, 473.0, 1139.0, 36.0], shoonya_0sEPF1E9LAQO4G, 5733484]
[paragraph, [373.0, 509.0, 1139.0, 36.0], shoonya_0sEPF1E9LAQO4G, 5733484]
[paragraph, [373.0, 545.0, 1139.0, 36.0], shoonya_0sEPF1E9LAQO4G, 5733484]
[paragraph, [373.0, 581.0, 1139.0, 36.0], shoonya_0sEPF1E9LAQO4G, 5733484]
[paragraph, [373.0, 617.0, 1139.0, 36.0], shoonya_0sEPF1E9LAQO4G, 5733484]
[paragraph, [373.0, 653.0, 1139.0, 36.0], shoonya_0sEPF1E9LAQO4G, 5733484]
[paragraph, [373.0, 689.0, 1139.0, 36.0], shoonya_0sEPF1E9LAQO4G, 5733484]
[paragraph, [373.0, 725.0, 1139.0, 36.0], shoonya_0sEPF1E9LAQO4G, 5733484]
[paragraph, [366.0, 802.0, 1147.0, 36.0], shoonya_1sCDGAAEBDA9HD, 5733484]
[paragraph, [366.0, 838.0, 1147.0, 36.0], shoonya_1sCDGAAEBDA9HD, 5733484]
[paragraph, [366.0, 874.0, 1147.0, 36.0], shoonya_1sCDGAAEBDA9HD, 5733484]
[paragraph, [366.0, 910.0, 1147.0, 36.0], shoonya_1sCDGAAEBDA9HD, 5733484]
[paragraph, [366.0, 946.0, 1147.0, 36.0], shoonya_1sCDGAAEBDA9HD, 5733484]
[paragraph, [366.0, 982.0, 1147.0, 36.0], shoonya_1sCDGAAEBDA9HD, 5733484]
[paragraph, [366.0, 1018.0, 1147.0, 36.0], shoonya_1sCDGAAEBDA9HD, 5733484]
[paragraph, [366.0, 1054.0, 1147.0, 36.0], shoonya_1sCDGAAEBDA9HD, 5733484]
[paragraph, [366.0, 1090.0, 1147.0, 36.0], shoonya_1sCDGAAEBDA9HD, 5733484]
[paragraph, [366.0, 1126.0, 1147.0, 36.0], shoonya_1sCDGAAEBDA9HD, 5733484]
[paragraph, [366.0, 1162.0, 1147.0, 36.0], shoonya_1sCDGAAEBDA9HD, 5733484]
[paragraph, [366.0, 1198.0, 1147.0, 36.0], shoonya_1sCDGAAEBDA9HD, 5733484]
[paragraph, [366.0, 1234.0, 1147.0, 36.0], shoonya_1sCDGAAEBDA9HD, 5733484]
[paragraph, [366.0, 1270.0, 1147.0, 36.0], shoonya_1sCDGAAEBDA9HD, 5733484]
[paragraph, [366.0, 1306.0, 1147.0, 36.0], shoonya_1sCDGAAEBDA9HD, 5733484]
[paragraph, [366.0, 1342.0, 1147.0, 36.0], shoonya_1sCDGAAEBDA9HD, 5733484]
[paragraph, [366.0, 1378.0, 1147.0, 36.0], shoonya_1sCDGAAEBDA9HD, 5733484]
[paragraph, [366.0, 1414.0, 1147.0, 36.0], shoonya_1sCDGAAEBDA9HD, 5733484]
[paragraph, [366.0, 1450.0, 1147.0, 36.0], shoonya_1sCDGAAEBDA9HD, 5733484]
[paragraph, [366.0, 1486.0, 1147.0, 36.0], shoonya_1sCDGAAEBDA9HD, 5733484]
[paragraph, [366.0, 1522.0, 1147.0, 36.0], shoonya_1sCDGAAEBDA9HD, 5733484]
[paragraph, [366.0, 1558.0, 1147.0, 36.0], shoonya_1sCDGAAEBDA9HD, 5733484]
[paragraph, [366.0, 1594.0, 1147.0, 36.0], shoonya_1sCDGAAEBDA9HD, 5733484]
[paragraph, [366.0, 1630.0, 1147.0, 36.0], shoonya_1sCDGAAEBDA9HD, 5733484]
[paragraph, [366.0, 1666.0, 1147.0, 36.0], shoonya_1sCDGAAEBDA9HD, 5733484]
[paragraph, [366.0, 1702.0, 1147.0, 36.0], shoonya_1sCDGAAEBDA9HD, 5733484]
[paragraph, [366.0, 1738.0, 1147.0, 36.0], shoonya_1sCDGAAEBDA9HD, 5733484]
