[2400, 1600]
[website-link, [980.0, 110.0, 258.0, 18.0], shoonya_0s0L0DMXHM00ZY, 5660514]
[website-link, [980.0, 128.0, 258.0, 18.0], shoonya_0s0L0DMXHM00ZY, 5660514]
[website-link, [1247.0, 112.0, 172.0, 18.0], Z-GNX7NRQ9, 5660514]
[website-link, [1247.0, 130.0, 172.0, 18.0], Z-GNX7NRQ9, 5660514]
[folio, [803.0, 181.0, 564.0, 36.0], shoonya_1sSAN6FSFTLG2J, 5660514]
[paragraph, [156.0, 281.0, 1294.0, 36.0], dfsVp-ojJl, 5660514]
[paragraph, [156.0, 317.0, 1294.0, 36.0], dfsVp-ojJl, 5660514]
[paragraph, [156.0, 353.0, 1294.0, 36.0], dfsVp-ojJl, 5660514]
[paragraph, [156.0, 389.0, 1294.0, 36.0], dfsVp-ojJl, 5660514]
[paragraph, [156.0, 425.0, 1294.0, 36.0], dfsVp-ojJl, 5660514]
[paragraph, [156.0, 461.0, 1294.0, 36.0], dfsVp-ojJl, 5660514]
[paragraph, [156.0, 497.0, 1294.0, 36.0], dfsVp-ojJl, 5660514]
[paragraph, [156.0, 533.0, 1294.0, 36.0], dfsVp-ojJl, 5660514]
[paragraph, [156.0, 569.0, 1294.0, 36.0], dfsVp-ojJl, 5660514]
[paragraph, [156.0, 605.0, 1294.0, 36.0], dfsVp-ojJl, 5660514]
[paragraph, [156.0, 641.0, 1294.0, 36.0], dfsVp-ojJl, 5660514]
[paragraph, [156.0, 677.0, 1294.0, 36.0], dfsVp-ojJl, 5660514]
[paragraph, [156.0, 713.0, 1294.0, 36.0], dfsVp-ojJl, 5660514]
[paragraph, [150.0, 763.0, 1295.0, 36.0], yVIHNsVCC3, 5660514]
[paragraph, [150.0, 799.0, 1295.0, 36.0], yVIHNsVCC3, 5660514]
[paragraph, [150.0, 835.0, 1295.0, 36.0], yVIHNsVCC3, 5660514]
[paragraph, [150.0, 871.0, 1295.0, 36.0], yVIHNsVCC3, 5660514]
[paragraph, [150.0, 907.0, 1295.0, 36.0], yVIHNsVCC3, 5660514]
[paragraph, [150.0, 943.0, 1295.0, 36.0], yVIHNsVCC3, 5660514]
[paragraph, [150.0, 979.0, 1295.0, 36.0], yVIHNsVCC3, 5660514]
[paragraph, [150.0, 1015.0, 1295.0, 36.0], yVIHNsVCC3, 5660514]
[paragraph, [150.0, 1051.0, 1295.0, 36.0], yVIHNsVCC3, 5660514]
[paragraph, [150.0, 1087.0, 1295.0, 36.0], yVIHNsVCC3, 5660514]
[paragraph, [150.0, 1123.0, 1295.0, 36.0], yVIHNsVCC3, 5660514]
[paragraph, [150.0, 1159.0, 1295.0, 36.0], yVIHNsVCC3, 5660514]
[paragraph, [150.0, 1195.0, 1295.0, 36.0], yVIHNsVCC3, 5660514]
[paragraph, [150.0, 1231.0, 1295.0, 36.0], yVIHNsVCC3, 5660514]
[paragraph, [150.0, 1267.0, 1295.0, 36.0], yVIHNsVCC3, 5660514]
[paragraph, [150.0, 1303.0, 1295.0, 36.0], yVIHNsVCC3, 5660514]
[paragraph, [150.0, 1339.0, 1295.0, 36.0], yVIHNsVCC3, 5660514]
[paragraph, [150.0, 1375.0, 1295.0, 36.0], yVIHNsVCC3, 5660514]
[paragraph, [144.0, 1426.0, 1301.0, 36.0], h_i066ngAx, 5660514]
[paragraph, [144.0, 1462.0, 1301.0, 36.0], h_i066ngAx, 5660514]
[paragraph, [144.0, 1498.0, 1301.0, 36.0], h_i066ngAx, 5660514]
[paragraph, [144.0, 1534.0, 1301.0, 36.0], h_i066ngAx, 5660514]
[paragraph, [144.0, 1570.0, 1301.0, 36.0], h_i066ngAx, 5660514]
[paragraph, [144.0, 1606.0, 1301.0, 36.0], h_i066ngAx, 5660514]
[paragraph, [144.0, 1642.0, 1301.0, 36.0], h_i066ngAx, 5660514]
[paragraph, [144.0, 1678.0, 1301.0, 36.0], h_i066ngAx, 5660514]
[paragraph, [144.0, 1714.0, 1301.0, 36.0], h_i066ngAx, 5660514]
[paragraph, [144.0, 1750.0, 1301.0, 36.0], h_i066ngAx, 5660514]
[paragraph, [144.0, 1786.0, 1301.0, 36.0], h_i066ngAx, 5660514]
[paragraph, [144.0, 1822.0, 1301.0, 36.0], h_i066ngAx, 5660514]
[paragraph, [144.0, 1858.0, 1301.0, 36.0], h_i066ngAx, 5660514]
[paragraph, [144.0, 1894.0, 1301.0, 36.0], h_i066ngAx, 5660514]
[paragraph, [144.0, 1930.0, 1301.0, 36.0], h_i066ngAx, 5660514]
[paragraph, [144.0, 1966.0, 1301.0, 36.0], h_i066ngAx, 5660514]
[paragraph, [144.0, 2002.0, 1301.0, 36.0], h_i066ngAx, 5660514]
[paragraph, [144.0, 2038.0, 1301.0, 36.0], h_i066ngAx, 5660514]
[paragraph, [148.0, 2097.0, 1288.0, 36.0], PNJCNqNljX, 5660514]
[paragraph, [148.0, 2133.0, 1288.0, 36.0], PNJCNqNljX, 5660514]
[paragraph, [148.0, 2169.0, 1288.0, 36.0], PNJCNqNljX, 5660514]
[footnote, [292.0, 2291.0, 1010.0, 36.0], uvirephjUu, 5660514]
[footnote, [292.0, 2327.0, 1010.0, 36.0], uvirephjUu, 5660514]
