[1754, 1241]
[chapter-title, [428.0, 131.0, 445.0, 58.5], 1CGJRFLrIK, 5709561]
[paragraph, [108.0, 254.0, 1025.0, 36.0], shoonya_0sKFDDSVARN8LG, 5709561]
[paragraph, [108.0, 290.0, 1025.0, 36.0], shoonya_0sKFDDSVARN8LG, 5709561]
[paragraph, [108.0, 326.0, 1025.0, 36.0], shoonya_0sKFDDSVARN8LG, 5709561]
[paragraph, [108.0, 362.0, 1025.0, 36.0], shoonya_0sKFDDSVARN8LG, 5709561]
[ordered-list, [31.0, 440.0, 1124.0, 36.0], j6s0W5sqeP, 5709561]
[ordered-list, [31.0, 476.0, 1124.0, 36.0], j6s0W5sqeP, 5709561]
[ordered-list, [31.0, 512.0, 1124.0, 36.0], j6s0W5sqeP, 5709561]
[ordered-list, [31.0, 548.0, 1124.0, 36.0], j6s0W5sqeP, 5709561]
[ordered-list, [31.0, 584.0, 1124.0, 36.0], j6s0W5sqeP, 5709561]
[ordered-list, [31.0, 620.0, 1124.0, 36.0], j6s0W5sqeP, 5709561]
[ordered-list, [31.0, 656.0, 1124.0, 36.0], j6s0W5sqeP, 5709561]
[ordered-list, [31.0, 692.0, 1124.0, 36.0], j6s0W5sqeP, 5709561]
[ordered-list, [31.0, 728.0, 1124.0, 36.0], j6s0W5sqeP, 5709561]
[ordered-list, [31.0, 764.0, 1124.0, 36.0], j6s0W5sqeP, 5709561]
[ordered-list, [31.0, 800.0, 1124.0, 36.0], j6s0W5sqeP, 5709561]
[ordered-list, [31.0, 836.0, 1124.0, 36.0], j6s0W5sqeP, 5709561]
[sub-ordered-list, [181.0, 500.0, 957.0, 36.0], 9FaxagknaT, 5709561]
[sub-ordered-list, [181.0, 536.0, 957.0, 36.0], 9FaxagknaT, 5709561]
[sub-ordered-list, [181.0, 572.0, 957.0, 36.0], 9FaxagknaT, 5709561]
[sub-ordered-list, [181.0, 608.0, 957.0, 36.0], 9FaxagknaT, 5709561]
[sub-ordered-list, [181.0, 644.0, 957.0, 36.0], 9FaxagknaT, 5709561]
[sub-ordered-list, [181.0, 680.0, 957.0, 36.0], 9FaxagknaT, 5709561]
[paragraph, [107.0, 930.0, 1026.0, 36.0], 6hcESELC3f, 5709561]
[paragraph, [107.0, 966.0, 1026.0, 36.0], 6hcESELC3f, 5709561]
[paragraph, [107.0, 1002.0, 1026.0, 36.0], 6hcESELC3f, 5709561]
[paragraph, [107.0, 1038.0, 1026.0, 36.0], 6hcESELC3f, 5709561]
[paragraph, [107.0, 1074.0, 1026.0, 36.0], 6hcESELC3f, 5709561]
[ordered-list, [26.0, 1177.0, 1125.0, 36.0], 2txBBYZrPF, 5709561]
[ordered-list, [26.0, 1213.0, 1125.0, 36.0], 2txBBYZrPF, 5709561]
[ordered-list, [26.0, 1249.0, 1125.0, 36.0], 2txBBYZrPF, 5709561]
[ordered-list, [26.0, 1285.0, 1125.0, 36.0], 2txBBYZrPF, 5709561]
[ordered-list, [26.0, 1321.0, 1125.0, 36.0], 2txBBYZrPF, 5709561]
[ordered-list, [26.0, 1357.0, 1125.0, 36.0], 2txBBYZrPF, 5709561]
[ordered-list, [26.0, 1393.0, 1125.0, 36.0], 2txBBYZrPF, 5709561]
[ordered-list, [26.0, 1429.0, 1125.0, 36.0], 2txBBYZrPF, 5709561]
[ordered-list, [26.0, 1465.0, 1125.0, 36.0], 2txBBYZrPF, 5709561]
[ordered-list, [26.0, 1501.0, 1125.0, 36.0], 2txBBYZrPF, 5709561]
[ordered-list, [26.0, 1537.0, 1125.0, 36.0], 2txBBYZrPF, 5709561]
[ordered-list, [26.0, 1573.0, 1125.0, 36.0], 2txBBYZrPF, 5709561]
[sub-ordered-list, [114.0, 1301.0, 1023.0, 36.0], nhimtmkSi6, 5709561]
[sub-ordered-list, [114.0, 1337.0, 1023.0, 36.0], nhimtmkSi6, 5709561]
[sub-ordered-list, [114.0, 1373.0, 1023.0, 36.0], nhimtmkSi6, 5709561]
[sub-ordered-list, [114.0, 1409.0, 1023.0, 36.0], nhimtmkSi6, 5709561]
[sub-ordered-list, [114.0, 1445.0, 1023.0, 36.0], nhimtmkSi6, 5709561]
[sub-ordered-list, [114.0, 1481.0, 1023.0, 36.0], nhimtmkSi6, 5709561]
[sub-ordered-list, [114.0, 1517.0, 1023.0, 36.0], nhimtmkSi6, 5709561]
[sub-ordered-list, [114.0, 1553.0, 1023.0, 36.0], nhimtmkSi6, 5709561]
