[1754, 1240]
[headline, [136.0, 121.0, 217.0, 37.5], shoonya_9s3S2Y5YBLX433, 5722402]
[headline, [136.0, 158.5, 217.0, 37.5], shoonya_9s3S2Y5YBLX433, 5722402]
[paragraph, [150.0, 212.0, 491.0, 36.0], 5mmVjwVfzy, 5722402]
[headline, [671.0, 226.0, 466.0, 37.5], shoonya_8s0L50WIFP5OIX, 5722402]
[headline, [671.0, 263.5, 466.0, 37.5], shoonya_8s0L50WIFP5OIX, 5722402]
[paragraph, [148.0, 264.0, 457.0, 36.0], HN28aUo4vp, 5722402]
[paragraph, [148.0, 300.0, 457.0, 36.0], HN28aUo4vp, 5722402]
[folio, [694.0, 317.0, 406.0, 36.0], KqGlQDDZOE, 5722402]
[paragraph, [148.0, 364.0, 432.0, 36.0], Z6ukS1ztYL, 5722402]
[paragraph, [148.0, 400.0, 432.0, 36.0], Z6ukS1ztYL, 5722402]
[paragraph, [148.0, 436.0, 432.0, 36.0], Z6ukS1ztYL, 5722402]
[paragraph, [148.0, 472.0, 432.0, 36.0], Z6ukS1ztYL, 5722402]
[paragraph, [148.0, 536.0, 440.0, 36.0], M1u2F0CDHs, 5722402]
[paragraph, [148.0, 572.0, 440.0, 36.0], M1u2F0CDHs, 5722402]
[paragraph, [147.0, 612.0, 458.0, 36.0], rHs0xxHzRW, 5722402]
[paragraph, [147.0, 648.0, 458.0, 36.0], rHs0xxHzRW, 5722402]
[paragraph, [149.0, 685.0, 515.0, 36.0], shoonya_1s11OLQMY91908, 5722402]
[paragraph, [149.0, 721.0, 515.0, 36.0], shoonya_1s11OLQMY91908, 5722402]
[paragraph, [149.0, 757.0, 515.0, 36.0], shoonya_1s11OLQMY91908, 5722402]
[paragraph, [157.0, 824.0, 490.0, 36.0], shoonya_2s633JA16CZ865, 5722402]
[paragraph, [157.0, 860.0, 490.0, 36.0], shoonya_2s633JA16CZ865, 5722402]
[paragraph, [157.0, 896.0, 490.0, 36.0], shoonya_2s633JA16CZ865, 5722402]
[paragraph, [157.0, 932.0, 490.0, 36.0], shoonya_2s633JA16CZ865, 5722402]
[contact-info, [156.0, 994.0, 470.0, 36.0], shoonya_11sXSILLINFJB2, 5722402]
[contact-info, [156.0, 1030.0, 470.0, 36.0], shoonya_11sXSILLINFJB2, 5722402]
[contact-info, [156.0, 1066.0, 470.0, 36.0], shoonya_11sXSILLINFJB2, 5722402]
[contact-info, [156.0, 1102.0, 470.0, 36.0], shoonya_11sXSILLINFJB2, 5722402]
[contact-info, [156.0, 1138.0, 470.0, 36.0], shoonya_11sXSILLINFJB2, 5722402]
[contact-info, [156.0, 1174.0, 470.0, 36.0], shoonya_11sXSILLINFJB2, 5722402]
[contact-info, [156.0, 1210.0, 470.0, 36.0], shoonya_11sXSILLINFJB2, 5722402]
[contact-info, [156.0, 1246.0, 470.0, 36.0], shoonya_11sXSILLINFJB2, 5722402]
[contact-info, [156.0, 1282.0, 470.0, 36.0], shoonya_11sXSILLINFJB2, 5722402]
[contact-info, [156.0, 1318.0, 470.0, 36.0], shoonya_11sXSILLINFJB2, 5722402]
[contact-info, [156.0, 1354.0, 470.0, 36.0], shoonya_11sXSILLINFJB2, 5722402]
[contact-info, [156.0, 1390.0, 470.0, 36.0], shoonya_11sXSILLINFJB2, 5722402]
[paragraph, [630.0, 1034.0, 182.0, 36.0], shoonya_12sIKNAHUARO45, 5722402]
[paragraph, [630.0, 1070.0, 182.0, 36.0], shoonya_12sIKNAHUARO45, 5722402]
[paragraph, [630.0, 1106.0, 182.0, 36.0], shoonya_12sIKNAHUARO45, 5722402]
[paragraph, [630.0, 1142.0, 182.0, 36.0], shoonya_12sIKNAHUARO45, 5722402]
[paragraph, [630.0, 1178.0, 182.0, 36.0], shoonya_12sIKNAHUARO45, 5722402]
[paragraph, [630.0, 1214.0, 182.0, 36.0], shoonya_12sIKNAHUARO45, 5722402]
[paragraph, [630.0, 1250.0, 182.0, 36.0], shoonya_12sIKNAHUARO45, 5722402]
[paragraph, [630.0, 1286.0, 182.0, 36.0], shoonya_12sIKNAHUARO45, 5722402]
[contact-info, [635.0, 1330.0, 164.0, 36.0], Wa8D10KlDC, 5722402]
[contact-info, [635.0, 1366.0, 164.0, 36.0], Wa8D10KlDC, 5722402]
[contact-info, [635.0, 1402.0, 164.0, 36.0], Wa8D10KlDC, 5722402]
[folio, [848.0, 1446.0, 241.0, 36.0], LBDWcVoGAK, 5722402]
