[1152, 739]
[paragraph, [97.0, 183.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [97.0, 201.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [97.0, 219.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [97.0, 237.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [97.0, 255.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [97.0, 273.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [97.0, 291.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [97.0, 309.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [97.0, 327.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [97.0, 345.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [97.0, 363.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [97.0, 381.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [97.0, 399.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [97.0, 417.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [97.0, 435.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [97.0, 453.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [97.0, 471.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [97.0, 489.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [97.0, 507.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [97.0, 525.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [97.0, 543.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [97.0, 561.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [97.0, 579.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [97.0, 597.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [97.0, 615.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [97.0, 633.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [97.0, 651.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [97.0, 669.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [97.0, 687.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [97.0, 705.0, 562.0, 18.0], CN2eq_B7Lv, 5741310]
[paragraph, [88.0, 741.0, 583.0, 18.0], LUCH_YikDP, 5741310]
[paragraph, [88.0, 759.0, 583.0, 18.0], LUCH_YikDP, 5741310]
[paragraph, [88.0, 777.0, 583.0, 18.0], LUCH_YikDP, 5741310]
[paragraph, [88.0, 795.0, 583.0, 18.0], LUCH_YikDP, 5741310]
[paragraph, [88.0, 813.0, 583.0, 18.0], LUCH_YikDP, 5741310]
[paragraph, [88.0, 831.0, 583.0, 18.0], LUCH_YikDP, 5741310]
[paragraph, [88.0, 849.0, 583.0, 18.0], LUCH_YikDP, 5741310]
[paragraph, [88.0, 867.0, 583.0, 18.0], LUCH_YikDP, 5741310]
[paragraph, [88.0, 885.0, 583.0, 18.0], LUCH_YikDP, 5741310]
[paragraph, [88.0, 903.0, 583.0, 18.0], LUCH_YikDP, 5741310]
[paragraph, [88.0, 921.0, 583.0, 18.0], LUCH_YikDP, 5741310]
[paragraph, [88.0, 939.0, 583.0, 18.0], LUCH_YikDP, 5741310]
[paragraph, [88.0, 957.0, 583.0, 18.0], LUCH_YikDP, 5741310]
[paragraph, [88.0, 975.0, 583.0, 18.0], LUCH_YikDP, 5741310]
[paragraph, [88.0, 993.0, 583.0, 18.0], LUCH_YikDP, 5741310]
[paragraph, [88.0, 1011.0, 583.0, 18.0], LUCH_YikDP, 5741310]
[footnote, [416.0, 1114.0, 268.0, 18.0], MEit1M3LUa, 5741310]
