[1818, 1374]
[folio, [459.0, 103.0, 434.0, 36.0], shoonya_1s65ISMS352QZ3, 5682545]
[paragraph, [693.0, 176.0, 571.0, 36.0], Q7dH2ULpZH, 5682545]
[paragraph, [693.0, 212.0, 571.0, 36.0], Q7dH2ULpZH, 5682545]
[paragraph, [693.0, 248.0, 571.0, 36.0], Q7dH2ULpZH, 5682545]
[paragraph, [693.0, 284.0, 571.0, 36.0], Q7dH2ULpZH, 5682545]
[paragraph, [693.0, 320.0, 571.0, 36.0], Q7dH2ULpZH, 5682545]
[paragraph, [693.0, 356.0, 571.0, 36.0], Q7dH2ULpZH, 5682545]
[paragraph, [693.0, 392.0, 571.0, 36.0], Q7dH2ULpZH, 5682545]
[paragraph, [693.0, 428.0, 571.0, 36.0], Q7dH2ULpZH, 5682545]
[paragraph, [693.0, 464.0, 571.0, 36.0], Q7dH2ULpZH, 5682545]
[paragraph, [693.0, 500.0, 571.0, 36.0], Q7dH2ULpZH, 5682545]
[paragraph, [693.0, 536.0, 571.0, 36.0], Q7dH2ULpZH, 5682545]
[paragraph, [693.0, 572.0, 571.0, 36.0], Q7dH2ULpZH, 5682545]
[paragraph, [693.0, 608.0, 571.0, 36.0], Q7dH2ULpZH, 5682545]
[paragraph, [693.0, 644.0, 571.0, 36.0], Q7dH2ULpZH, 5682545]
[paragraph, [693.0, 680.0, 571.0, 36.0], Q7dH2ULpZH, 5682545]
[paragraph, [693.0, 716.0, 571.0, 36.0], Q7dH2ULpZH, 5682545]
[paragraph, [693.0, 752.0, 571.0, 36.0], Q7dH2ULpZH, 5682545]
[paragraph, [693.0, 788.0, 571.0, 36.0], Q7dH2ULpZH, 5682545]
[paragraph, [693.0, 824.0, 571.0, 36.0], Q7dH2ULpZH, 5682545]
[paragraph, [693.0, 860.0, 571.0, 36.0], Q7dH2ULpZH, 5682545]
[paragraph, [693.0, 896.0, 571.0, 36.0], Q7dH2ULpZH, 5682545]
[paragraph, [693.0, 932.0, 571.0, 36.0], Q7dH2ULpZH, 5682545]
[paragraph, [693.0, 968.0, 571.0, 36.0], Q7dH2ULpZH, 5682545]
[paragraph, [693.0, 1004.0, 571.0, 36.0], Q7dH2ULpZH, 5682545]
[paragraph, [693.0, 1040.0, 571.0, 36.0], Q7dH2ULpZH, 5682545]
[paragraph, [693.0, 1076.0, 571.0, 36.0], Q7dH2ULpZH, 5682545]
[paragraph, [693.0, 1112.0, 571.0, 36.0], Q7dH2ULpZH, 5682545]
[paragraph, [693.0, 1148.0, 571.0, 36.0], Q7dH2ULpZH, 5682545]
[paragraph, [114.0, 178.0, 564.0, 36.0], shoonya_3sKL0MK0COITPS, 5682545]
[paragraph, [114.0, 214.0, 564.0, 36.0], shoonya_3sKL0MK0COITPS, 5682545]
[paragraph, [114.0, 250.0, 564.0, 36.0], shoonya_3sKL0MK0COITPS, 5682545]
[paragraph, [114.0, 286.0, 564.0, 36.0], shoonya_3sKL0MK0COITPS, 5682545]
[paragraph, [114.0, 322.0, 564.0, 36.0], shoonya_3sKL0MK0COITPS, 5682545]
[paragraph, [114.0, 358.0, 564.0, 36.0], shoonya_3sKL0MK0COITPS, 5682545]
