[1747, 1230]
[placeholder-text, [119.0, 197.0, 1066.0, 18.0], shoonya_3sAWOSHENAAM8G, 5718881]
[placeholder-text, [119.0, 215.0, 1066.0, 18.0], shoonya_3sAWOSHENAAM8G, 5718881]
[placeholder-text, [119.0, 233.0, 1066.0, 18.0], shoonya_3sAWOSHENAAM8G, 5718881]
[placeholder-text, [119.0, 251.0, 1066.0, 18.0], shoonya_3sAWOSHENAAM8G, 5718881]
[placeholder-text, [119.0, 269.0, 1066.0, 18.0], shoonya_3sAWOSHENAAM8G, 5718881]
[placeholder-text, [119.0, 287.0, 1066.0, 18.0], shoonya_3sAWOSHENAAM8G, 5718881]
[placeholder-text, [119.0, 305.0, 1066.0, 18.0], shoonya_3sAWOSHENAAM8G, 5718881]
[placeholder-text, [126.0, 433.0, 1064.0, 18.0], shoonya_5sLJUVHT96FJ8X, 5718881]
[placeholder-text, [126.0, 451.0, 1064.0, 18.0], shoonya_5sLJUVHT96FJ8X, 5718881]
[placeholder-text, [126.0, 469.0, 1064.0, 18.0], shoonya_5sLJUVHT96FJ8X, 5718881]
[placeholder-text, [126.0, 487.0, 1064.0, 18.0], shoonya_5sLJUVHT96FJ8X, 5718881]
[placeholder-text, [126.0, 505.0, 1064.0, 18.0], shoonya_5sLJUVHT96FJ8X, 5718881]
[placeholder-text, [126.0, 523.0, 1064.0, 18.0], shoonya_5sLJUVHT96FJ8X, 5718881]
[placeholder-text, [126.0, 541.0, 1064.0, 18.0], shoonya_5sLJUVHT96FJ8X, 5718881]
[placeholder-text, [126.0, 559.0, 1064.0, 18.0], shoonya_5sLJUVHT96FJ8X, 5718881]
[placeholder-text, [125.0, 657.0, 1062.0, 18.0], shoonya_7s4NDC3YV4T6JO, 5718881]
[placeholder-text, [125.0, 675.0, 1062.0, 18.0], shoonya_7s4NDC3YV4T6JO, 5718881]
[placeholder-text, [125.0, 693.0, 1062.0, 18.0], shoonya_7s4NDC3YV4T6JO, 5718881]
[placeholder-text, [125.0, 711.0, 1062.0, 18.0], shoonya_7s4NDC3YV4T6JO, 5718881]
[placeholder-text, [125.0, 729.0, 1062.0, 18.0], shoonya_7s4NDC3YV4T6JO, 5718881]
[placeholder-text, [125.0, 747.0, 1062.0, 18.0], shoonya_7s4NDC3YV4T6JO, 5718881]
[placeholder-text, [125.0, 765.0, 1062.0, 18.0], shoonya_7s4NDC3YV4T6JO, 5718881]
[placeholder-text, [125.0, 783.0, 1062.0, 18.0], shoonya_7s4NDC3YV4T6JO, 5718881]
[placeholder-text, [135.0, 891.0, 1048.0, 18.0], shoonya_12s5QMPZTLP5ND, 5718881]
[placeholder-text, [135.0, 909.0, 1048.0, 18.0], shoonya_12s5QMPZTLP5ND, 5718881]
[placeholder-text, [135.0, 927.0, 1048.0, 18.0], shoonya_12s5QMPZTLP5ND, 5718881]
[placeholder-text, [135.0, 945.0, 1048.0, 18.0], shoonya_12s5QMPZTLP5ND, 5718881]
[placeholder-text, [135.0, 963.0, 1048.0, 18.0], shoonya_12s5QMPZTLP5ND, 5718881]
[placeholder-text, [135.0, 981.0, 1048.0, 18.0], shoonya_12s5QMPZTLP5ND, 5718881]
[placeholder-text, [135.0, 999.0, 1048.0, 18.0], shoonya_12s5QMPZTLP5ND, 5718881]
[placeholder-text, [135.0, 1017.0, 1048.0, 18.0], shoonya_12s5QMPZTLP5ND, 5718881]
[placeholder-text, [123.0, 1122.0, 1059.0, 18.0], shoonya_19sIUBVBT0A1QQ, 5718881]
[placeholder-text, [123.0, 1140.0, 1059.0, 18.0], shoonya_19sIUBVBT0A1QQ, 5718881]
[placeholder-text, [123.0, 1158.0, 1059.0, 18.0], shoonya_19sIUBVBT0A1QQ, 5718881]
[placeholder-text, [123.0, 1176.0, 1059.0, 18.0], shoonya_19sIUBVBT0A1QQ, 5718881]
[placeholder-text, [123.0, 1194.0, 1059.0, 18.0], shoonya_19sIUBVBT0A1QQ, 5718881]
[placeholder-text, [123.0, 1212.0, 1059.0, 18.0], shoonya_19sIUBVBT0A1QQ, 5718881]
[placeholder-text, [123.0, 1230.0, 1059.0, 18.0], shoonya_19sIUBVBT0A1QQ, 5718881]
[placeholder-text, [123.0, 1248.0, 1059.0, 18.0], shoonya_19sIUBVBT0A1QQ, 5718881]
[placeholder-text, [126.0, 1356.0, 1057.0, 18.0], shoonya_29sK6E4W0UXK9A, 5718881]
[placeholder-text, [126.0, 1374.0, 1057.0, 18.0], shoonya_29sK6E4W0UXK9A, 5718881]
[placeholder-text, [126.0, 1392.0, 1057.0, 18.0], shoonya_29sK6E4W0UXK9A, 5718881]
[placeholder-text, [126.0, 1410.0, 1057.0, 18.0], shoonya_29sK6E4W0UXK9A, 5718881]
[placeholder-text, [126.0, 1428.0, 1057.0, 18.0], shoonya_29sK6E4W0UXK9A, 5718881]
[placeholder-text, [126.0, 1446.0, 1057.0, 18.0], shoonya_29sK6E4W0UXK9A, 5718881]
[placeholder-text, [126.0, 1464.0, 1057.0, 18.0], shoonya_29sK6E4W0UXK9A, 5718881]
[placeholder-text, [126.0, 1482.0, 1057.0, 18.0], shoonya_29sK6E4W0UXK9A, 5718881]
[folio, [70.0, 1541.0, 322.0, 36.0], shoonya_34s3VL8977FVUA, 5718881]
