[814, 624]
[unordered-list, [82.0, 57.0, 461.0, 18.0], shoonya_2sIVOYRNHVRHM1, 5690324]
[unordered-list, [82.0, 75.0, 461.0, 18.0], shoonya_2sIVOYRNHVRHM1, 5690324]
[unordered-list, [82.0, 93.0, 461.0, 18.0], shoonya_2sIVOYRNHVRHM1, 5690324]
[unordered-list, [82.0, 111.0, 461.0, 18.0], shoonya_2sIVOYRNHVRHM1, 5690324]
[unordered-list, [82.0, 129.0, 461.0, 18.0], shoonya_2sIVOYRNHVRHM1, 5690324]
[unordered-list, [82.0, 147.0, 461.0, 18.0], shoonya_2sIVOYRNHVRHM1, 5690324]
[unordered-list, [82.0, 165.0, 461.0, 18.0], shoonya_2sIVOYRNHVRHM1, 5690324]
[unordered-list, [82.0, 183.0, 461.0, 18.0], shoonya_2sIVOYRNHVRHM1, 5690324]
[unordered-list, [82.0, 201.0, 461.0, 18.0], shoonya_2sIVOYRNHVRHM1, 5690324]
[unordered-list, [82.0, 219.0, 461.0, 18.0], shoonya_2sIVOYRNHVRHM1, 5690324]
[unordered-list, [82.0, 237.0, 461.0, 18.0], shoonya_2sIVOYRNHVRHM1, 5690324]
[unordered-list, [77.0, 304.0, 471.0, 18.0], shoonya_1sM4Y63AY6TSV3, 5690324]
[unordered-list, [77.0, 322.0, 471.0, 18.0], shoonya_1sM4Y63AY6TSV3, 5690324]
[unordered-list, [77.0, 340.0, 471.0, 18.0], shoonya_1sM4Y63AY6TSV3, 5690324]
[unordered-list, [77.0, 358.0, 471.0, 18.0], shoonya_1sM4Y63AY6TSV3, 5690324]
[unordered-list, [77.0, 376.0, 471.0, 18.0], shoonya_1sM4Y63AY6TSV3, 5690324]
[unordered-list, [77.0, 394.0, 471.0, 18.0], shoonya_1sM4Y63AY6TSV3, 5690324]
[unordered-list, [77.0, 412.0, 471.0, 18.0], shoonya_1sM4Y63AY6TSV3, 5690324]
[unordered-list, [77.0, 430.0, 471.0, 18.0], shoonya_1sM4Y63AY6TSV3, 5690324]
[unordered-list, [77.0, 448.0, 471.0, 18.0], shoonya_1sM4Y63AY6TSV3, 5690324]
[unordered-list, [77.0, 466.0, 471.0, 18.0], shoonya_1sM4Y63AY6TSV3, 5690324]
[unordered-list, [77.0, 484.0, 471.0, 18.0], shoonya_1sM4Y63AY6TSV3, 5690324]
[unordered-list, [77.0, 502.0, 471.0, 18.0], shoonya_1sM4Y63AY6TSV3, 5690324]
[unordered-list, [77.0, 520.0, 471.0, 18.0], shoonya_1sM4Y63AY6TSV3, 5690324]
[unordered-list, [77.0, 538.0, 471.0, 18.0], shoonya_1sM4Y63AY6TSV3, 5690324]
[unordered-list, [77.0, 556.0, 471.0, 18.0], shoonya_1sM4Y63AY6TSV3, 5690324]
[unordered-list, [77.0, 574.0, 471.0, 18.0], shoonya_1sM4Y63AY6TSV3, 5690324]
[unordered-list, [77.0, 592.0, 471.0, 18.0], shoonya_1sM4Y63AY6TSV3, 5690324]
[unordered-list, [77.0, 610.0, 471.0, 18.0], shoonya_1sM4Y63AY6TSV3, 5690324]
[sub-unordered-list, [106.0, 469.0, 436.0, 18.0], QmJVCCazpI, 5690324]
[sub-unordered-list, [106.0, 487.0, 436.0, 18.0], QmJVCCazpI, 5690324]
[sub-unordered-list, [106.0, 505.0, 436.0, 18.0], QmJVCCazpI, 5690324]
[sub-unordered-list, [106.0, 523.0, 436.0, 18.0], QmJVCCazpI, 5690324]
[sub-unordered-list, [106.0, 541.0, 436.0, 18.0], QmJVCCazpI, 5690324]
[sub-unordered-list, [106.0, 559.0, 436.0, 18.0], QmJVCCazpI, 5690324]
[sub-unordered-list, [106.0, 577.0, 436.0, 18.0], QmJVCCazpI, 5690324]
[sub-unordered-list, [106.0, 595.0, 436.0, 18.0], QmJVCCazpI, 5690324]
[paragraph, [77.0, 665.0, 465.0, 18.0], shoonya_5s0EGMK1A52EB3, 5690324]
[paragraph, [77.0, 683.0, 465.0, 18.0], shoonya_5s0EGMK1A52EB3, 5690324]
