[2339, 1656]
[paragraph, [190.0, 183.0, 1274.0, 36.0], shoonya_2sUDK1APQ7X2LW, 5731656]
[paragraph, [190.0, 219.0, 1274.0, 36.0], shoonya_2sUDK1APQ7X2LW, 5731656]
[paragraph, [190.0, 255.0, 1274.0, 36.0], shoonya_2sUDK1APQ7X2LW, 5731656]
[paragraph, [190.0, 291.0, 1274.0, 36.0], shoonya_2sUDK1APQ7X2LW, 5731656]
[paragraph, [190.0, 327.0, 1274.0, 36.0], shoonya_2sUDK1APQ7X2LW, 5731656]
[paragraph, [190.0, 363.0, 1274.0, 36.0], shoonya_2sUDK1APQ7X2LW, 5731656]
[paragraph, [190.0, 399.0, 1274.0, 36.0], shoonya_2sUDK1APQ7X2LW, 5731656]
[paragraph, [190.0, 435.0, 1274.0, 36.0], shoonya_2sUDK1APQ7X2LW, 5731656]
[paragraph, [190.0, 471.0, 1274.0, 36.0], shoonya_2sUDK1APQ7X2LW, 5731656]
[paragraph, [190.0, 507.0, 1274.0, 36.0], shoonya_2sUDK1APQ7X2LW, 5731656]
[paragraph, [190.0, 543.0, 1274.0, 36.0], shoonya_2sUDK1APQ7X2LW, 5731656]
[paragraph, [190.0, 579.0, 1274.0, 36.0], shoonya_2sUDK1APQ7X2LW, 5731656]
[paragraph, [190.0, 615.0, 1274.0, 36.0], shoonya_2sUDK1APQ7X2LW, 5731656]
[paragraph, [190.0, 651.0, 1274.0, 36.0], shoonya_2sUDK1APQ7X2LW, 5731656]
[paragraph, [190.0, 687.0, 1274.0, 36.0], shoonya_2sUDK1APQ7X2LW, 5731656]
[paragraph, [190.0, 723.0, 1274.0, 36.0], shoonya_2sUDK1APQ7X2LW, 5731656]
[paragraph, [190.0, 759.0, 1274.0, 36.0], shoonya_2sUDK1APQ7X2LW, 5731656]
[paragraph, [190.0, 795.0, 1274.0, 36.0], shoonya_2sUDK1APQ7X2LW, 5731656]
[paragraph, [187.0, 869.0, 1279.0, 36.0], shoonya_0sO3VG54DZS69Z, 5731656]
[paragraph, [187.0, 905.0, 1279.0, 36.0], shoonya_0sO3VG54DZS69Z, 5731656]
[paragraph, [187.0, 941.0, 1279.0, 36.0], shoonya_0sO3VG54DZS69Z, 5731656]
[paragraph, [187.0, 977.0, 1279.0, 36.0], shoonya_0sO3VG54DZS69Z, 5731656]
[paragraph, [187.0, 1013.0, 1279.0, 36.0], shoonya_0sO3VG54DZS69Z, 5731656]
[paragraph, [187.0, 1049.0, 1279.0, 36.0], shoonya_0sO3VG54DZS69Z, 5731656]
[paragraph, [187.0, 1085.0, 1279.0, 36.0], shoonya_0sO3VG54DZS69Z, 5731656]
[paragraph, [187.0, 1121.0, 1279.0, 36.0], shoonya_0sO3VG54DZS69Z, 5731656]
[paragraph, [187.0, 1157.0, 1279.0, 36.0], shoonya_0sO3VG54DZS69Z, 5731656]
[paragraph, [187.0, 1193.0, 1279.0, 36.0], shoonya_0sO3VG54DZS69Z, 5731656]
[paragraph, [187.0, 1229.0, 1279.0, 36.0], shoonya_0sO3VG54DZS69Z, 5731656]
[paragraph, [187.0, 1265.0, 1279.0, 36.0], shoonya_0sO3VG54DZS69Z, 5731656]
[paragraph, [186.0, 1366.0, 1277.0, 36.0], shoonya_1s8NU0FQG7IX9U, 5731656]
[paragraph, [186.0, 1402.0, 1277.0, 36.0], shoonya_1s8NU0FQG7IX9U, 5731656]
[paragraph, [186.0, 1438.0, 1277.0, 36.0], shoonya_1s8NU0FQG7IX9U, 5731656]
[paragraph, [186.0, 1474.0, 1277.0, 36.0], shoonya_1s8NU0FQG7IX9U, 5731656]
[paragraph, [186.0, 1510.0, 1277.0, 36.0], shoonya_1s8NU0FQG7IX9U, 5731656]
[paragraph, [186.0, 1546.0, 1277.0, 36.0], shoonya_1s8NU0FQG7IX9U, 5731656]
[paragraph, [186.0, 1582.0, 1277.0, 36.0], shoonya_1s8NU0FQG7IX9U, 5731656]
[paragraph, [186.0, 1618.0, 1277.0, 36.0], shoonya_1s8NU0FQG7IX9U, 5731656]
[paragraph, [186.0, 1654.0, 1277.0, 36.0], shoonya_1s8NU0FQG7IX9U, 5731656]
[paragraph, [186.0, 1690.0, 1277.0, 36.0], shoonya_1s8NU0FQG7IX9U, 5731656]
[paragraph, [186.0, 1726.0, 1277.0, 36.0], shoonya_1s8NU0FQG7IX9U, 5731656]
[paragraph, [739.0, 1797.0, 378.0, 36.0], shoonya_3s5B2IE79JJ2LJ, 5731656]
