[2339, 1653]
[paragraph, [324.0, 163.0, 1145.0, 36.0], shoonya_0sFZRLLEQCYZJU, 5733769]
[paragraph, [324.0, 199.0, 1145.0, 36.0], shoonya_0sFZRLLEQCYZJU, 5733769]
[paragraph, [324.0, 235.0, 1145.0, 36.0], shoonya_0sFZRLLEQCYZJU, 5733769]
[paragraph, [324.0, 271.0, 1145.0, 36.0], shoonya_0sFZRLLEQCYZJU, 5733769]
[paragraph, [324.0, 307.0, 1145.0, 36.0], shoonya_0sFZRLLEQCYZJU, 5733769]
[paragraph, [324.0, 343.0, 1145.0, 36.0], shoonya_0sFZRLLEQCYZJU, 5733769]
[paragraph, [324.0, 379.0, 1145.0, 36.0], shoonya_0sFZRLLEQCYZJU, 5733769]
[paragraph, [321.0, 444.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 480.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 516.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 552.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 588.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 624.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 660.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 696.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 732.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 768.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 804.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 840.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 876.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 912.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 948.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 984.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 1020.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 1056.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 1092.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 1128.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 1164.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 1200.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 1236.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 1272.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 1308.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 1344.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 1380.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 1416.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 1452.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 1488.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 1524.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 1560.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 1596.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 1632.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [321.0, 1668.0, 1158.0, 36.0], shoonya_2s1MS685PCWMZ3, 5733769]
[paragraph, [324.0, 1720.0, 1139.0, 36.0], shoonya_1sINGVHNYA9I4U, 5733769]
[paragraph, [324.0, 1756.0, 1139.0, 36.0], shoonya_1sINGVHNYA9I4U, 5733769]
[paragraph, [324.0, 1792.0, 1139.0, 36.0], shoonya_1sINGVHNYA9I4U, 5733769]
[paragraph, [324.0, 1828.0, 1139.0, 36.0], shoonya_1sINGVHNYA9I4U, 5733769]
[paragraph, [324.0, 1864.0, 1139.0, 36.0], shoonya_1sINGVHNYA9I4U, 5733769]
[paragraph, [324.0, 1900.0, 1139.0, 36.0], shoonya_1sINGVHNYA9I4U, 5733769]
[paragraph, [324.0, 1936.0, 1139.0, 36.0], shoonya_1sINGVHNYA9I4U, 5733769]
[paragraph, [324.0, 1972.0, 1139.0, 36.0], shoonya_1sINGVHNYA9I4U, 5733769]
[paragraph, [324.0, 2008.0, 1139.0, 36.0], shoonya_1sINGVHNYA9I4U, 5733769]
[paragraph, [324.0, 2044.0, 1139.0, 36.0], shoonya_1sINGVHNYA9I4U, 5733769]
[folio, [798.0, 2155.0, 590.0, 36.0], uRLE2yzIeB, 5733769]
